,,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Year,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2016,1,1,PHI,Ben Simmons,LSU,3,207,7131,3396,1720,1661,0.56,0.091,0.591,34.4,16.4,8.3,8,24.1,0.162,4.6,11.8
2016,2,2,LAL,Brandon Ingram,Duke,4,234,7520,3733,1175,740,0.461,0.358,0.714,32.1,16,5,3.2,8.8,0.056,-1.7,0.5
2016,3,3,BOS,Jaylen Brown,California,4,261,6711,3278,1135,371,0.469,0.371,0.681,25.7,12.6,4.3,1.4,12.8,0.092,-1.2,1.3
2016,4,4,PHO,Dragan Bender,,4,178,3560,933,667,218,0.396,0.323,0.647,20,5.2,3.7,1.2,0.4,0.005,-3.1,-1
2016,5,5,MIN,Kris Dunn,Providence,4,227,5516,1884,760,948,0.422,0.306,0.726,24.3,8.3,3.3,4.2,4,0.035,-0.8,1.6
2016,6,6,NOP,Buddy Hield,Oklahoma,4,292,8151,4615,1231,631,0.442,0.407,0.864,27.9,15.8,4.2,2.2,12,0.07,-0.4,3.3
2016,7,7,DEN,Jamal Murray,Kentucky,4,278,8055,4234,991,990,0.434,0.356,0.886,29,15.2,3.6,3.6,14.8,0.088,-0.5,3
2016,8,8,SAC,Marquese Chriss,Washington,4,241,4564,1833,1120,242,0.444,0.293,0.655,18.9,7.6,4.6,1,4.2,0.045,-1.8,0.2
2016,9,9,TOR,Jakob Pöltl,Utah,4,260,4250,1402,1235,249,0.636,0.5,0.55,16.3,5.4,4.8,1,15.1,0.171,3.3,5.7
2016,10,10,MIL,Thon Maker,,4,240,3290,1088,647,138,0.431,0.325,0.675,13.7,4.5,2.7,0.6,5.9,0.086,-1.6,0.4
2016,11,11,ORL,Domantas Sabonis,Gonzaga,4,274,6829,3193,2125,651,0.518,0.324,0.723,24.9,11.7,7.8,2.4,18.5,0.13,0.7,4.6
2016,12,12,UTA,Taurean Waller-Prince,Baylor,4,243,6404,2826,1048,486,0.418,0.375,0.819,26.4,11.6,4.3,2,5.6,0.042,-1.5,0.8
2016,13,13,PHO,Georgios Papagiannis,,2,39,477,160,123,29,0.514,0,0.857,12.2,4.1,3.2,0.7,0.4,0.044,-3,-0.1
2016,14,14,CHI,Denzel Valentine,Michigan State,3,163,3423,1244,600,339,0.401,0.372,0.77,21,7.6,3.7,2.1,3.6,0.051,-1.2,0.7
2016,15,15,DEN,Juan Hernangómez,,4,189,2859,893,585,117,0.426,0.351,0.742,15.1,4.7,3.1,0.6,5.3,0.089,-1.8,0.1
2016,16,16,BOS,Guerschon Yabusele,,2,74,486,173,105,31,0.442,0.323,0.682,6.6,2.3,1.4,0.4,1.1,0.105,-1.5,0.1
2016,17,17,MEM,Wade Baldwin,Vanderbilt,3,56,579,174,69,78,0.355,0.25,0.776,10.3,3.1,1.2,1.4,-0.3,-0.028,-5.7,-0.5
2016,18,18,DET,Henry Ellenson,Marquette,4,81,749,327,194,44,0.372,0.343,0.774,9.2,4,2.4,0.5,0.3,0.018,-6.3,-0.8
2016,19,19,DEN,Malik Beasley,Florida State,4,204,3325,1495,360,181,0.444,0.383,0.825,16.3,7.3,1.8,0.9,5.6,0.082,-2.1,-0.1
2016,20,20,IND,Caris LeVert,Michigan,4,190,4746,2174,678,638,0.429,0.33,0.697,25,11.4,3.6,3.4,5.4,0.055,-1.2,1
2016,21,21,ATL,DeAndre' Bembry,Saint Joseph's,4,189,3672,1173,641,360,0.448,0.269,0.592,19.4,6.2,3.4,1.9,1.1,0.014,-2.7,-0.6
2016,22,22,CHO,Malachi Richardson,Syracuse,3,70,625,198,70,24,0.358,0.301,0.783,8.9,2.8,1,0.3,-0.1,-0.009,-6.8,-0.8
2016,23,23,BOS,Ante Žižić,,3,107,1455,647,435,61,0.582,,0.722,13.6,6,4.1,0.6,3.5,0.115,-2.7,-0.3
2016,24,24,PHI,Timothé Luwawu-Cabarrot,,4,195,3024,1093,367,169,0.391,0.328,0.815,15.5,5.6,1.9,0.9,2.3,0.036,-4.4,-1.8
2016,25,25,LAC,Brice Johnson,UNC,2,21,107,47,34,3,0.449,0,0.6,5.1,2.2,1.6,0.1,0.1,0.062,-2.5,0
2016,26,26,PHI,Furkan Korkmaz,,3,110,1756,721,219,97,0.408,0.359,0.744,16,6.6,2,0.9,2.6,0.072,-2.6,-0.3
2016,27,27,TOR,Pascal Siakam,New Mexico State,4,254,6414,3078,1387,553,0.51,0.333,0.759,25.3,12.1,5.5,2.2,19.2,0.144,2.1,6.7
2016,28,28,PHO,Skal Labissière,Kentucky,4,148,2595,1069,662,152,0.492,0.353,0.748,17.5,7.2,4.5,1,4.4,0.082,-1.7,0.2
2016,29,29,SAS,Dejounte Murray,Washington,3,162,3104,1219,744,447,0.457,0.336,0.728,19.2,7.5,4.6,2.8,5,0.077,0.7,2.1
2016,30,30,GSW,Damian Jones,Vanderbilt,4,93,1300,438,270,56,0.67,0.286,0.662,14,4.7,2.9,0.6,4,0.146,0.2,0.7
2016,31,31,BOS,Deyonta Davis,Michigan State,3,107,1299,454,346,47,0.599,0,0.635,12.1,4.2,3.2,0.4,3.6,0.131,-1.4,0.2
2016,32,32,LAL,Ivica Zubac,,4,188,2908,1356,981,167,0.55,0,0.753,15.5,7.2,5.2,0.9,9.1,0.151,-0.1,1.4
2016,33,33,LAC,Cheick Diallo,Kansas,4,164,1953,858,692,71,0.594,0.333,0.762,11.9,5.2,4.2,0.4,5.9,0.145,-2.4,-0.2
2016,34,34,PHO,Tyler Ulis,Kentucky,3,133,2782,998,223,537,0.403,0.28,0.808,20.9,7.5,1.7,4,0.5,0.008,-4.7,-1.9
2016,35,35,BOS,Rade Zagorac,,,,,,,,,,,,,,,,,,
2016,36,36,MIL,Malcolm Brogdon,Virginia,4,221,6280,2971,807,924,0.476,0.395,0.899,28.4,13.4,3.7,4.2,16.2,0.124,0.3,3.6
2016,37,37,HOU,Chinanu Onuaku,Louisville,2,6,74,18,14,4,0.583,,1,12.3,3,2.3,0.7,0.1,0.043,-4.1,0
2016,38,38,MIL,Patrick McCaw,UNLV,4,182,3058,714,284,247,0.425,0.305,0.781,16.8,3.9,1.6,1.4,3.9,0.06,-2.1,0
2016,39,39,NOP,David Michineau,,,,,,,,,,,,,,,,,,
2016,40,40,NOP,Diamond Stone,Maryland,1,7,24,10,6,0,0.231,,1,3.4,1.4,0.9,0,-0.1,-0.211,-24.1,-0.1
2016,41,41,ORL,Stephen Zimmerman,UNLV,1,19,108,23,35,4,0.323,,0.6,5.7,1.2,1.8,0.2,0,-0.005,-7.3,-0.1
2016,42,42,UTA,Isaiah Whitehead,Seton Hall,2,89,1823,643,210,212,0.411,0.305,0.788,20.5,7.2,2.4,2.4,-0.9,-0.025,-4.9,-1.4
2016,43,43,HOU,Zhou Qi,,2,19,125,24,22,2,0.212,0.105,0.667,6.6,1.3,1.2,0.1,-0.2,-0.093,-7.1,-0.2
2016,44,44,ATL,Isaïa Cordinier,,,,,,,,,,,,,,,,,,
2016,45,45,BOS,Demetrius Jackson,Notre Dame,3,26,136,48,19,17,0.486,0.286,0.667,5.2,1.8,0.7,0.7,0.2,0.087,-2.2,0
2016,46,46,DAL,A.J. Hammons,Purdue,1,22,163,48,36,4,0.405,0.5,0.45,7.4,2.2,1.6,0.2,0,-0.001,-5.6,-0.1
2016,47,47,ORL,Jake Layman,Maryland,4,155,2105,800,298,86,0.458,0.31,0.703,13.6,5.2,1.9,0.6,2.9,0.066,-2,0
2016,48,48,CHI,Paul Zipser,,2,98,1667,458,256,82,0.371,0.335,0.769,17,4.7,2.6,0.8,0,-0.001,-4.8,-1.2
2016,49,49,DET,Michael Gbinije,Syracuse,1,9,32,4,3,2,0.1,0,1,3.6,0.4,0.3,0.2,-0.1,-0.136,-10.5,-0.1
2016,50,50,IND,Georges Niang,Iowa State,4,133,1217,513,190,72,0.453,0.406,0.826,9.2,3.9,1.4,0.5,2.6,0.103,-1.2,0.3
2016,51,51,BOS,Ben Bentil,Providence,1,3,10,0,2,0,0,0,,3.3,0,0.7,0,-0.1,-0.473,-26.9,-0.1
2016,52,52,UTA,Joel Bolomboy,Weber State,2,18,91,31,27,2,0.545,0.2,0.5,5.1,1.7,1.5,0.1,0.3,0.132,-3.7,0
2016,53,53,DEN,Petr Cornelie,,,,,,,,,,,,,,,,,,
2016,54,54,ATL,Kay Felder,Oakland,2,58,526,223,59,78,0.364,0.268,0.754,9.1,3.8,1,1.3,-0.4,-0.041,-7.7,-0.8
2016,55,55,BRK,Marcus Paige,UNC,1,5,28,12,4,3,0.286,0.25,1,5.6,2.4,0.8,0.6,0,-0.006,-6.9,0
2016,56,56,DEN,Daniel Hamilton,UConn,2,25,232,69,52,30,0.394,0.357,0.5,9.3,2.8,2.1,1.2,0,0,-5.3,-0.2
2016,57,57,MEM,Wang Zhelin,,,,,,,,,,,,,,,,,,
2016,58,58,BOS,Abdel Nader,Iowa State,3,143,1749,587,238,70,0.411,0.34,0.709,12.2,4.1,1.7,0.5,1.4,0.039,-4.5,-1.1
2016,59,59,SAC,Isaiah Cousins,Oklahoma,,,,,,,,,,,,,,,,,
