,,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Year,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2018,1,1,PHO,Deandre Ayton,Arizona,2,89,2772,1479,937,158,0.574,0,0.762,31.1,16.6,10.5,1.8,7.5,0.131,0.2,1.5
2018,2,2,SAC,Marvin Bagley,Duke,2,75,1901,1108,568,72,0.497,0.288,0.703,25.3,14.8,7.6,1,4,0.101,-2.5,-0.2
2018,3,3,ATL,Luka Dončić,,2,115,3729,2764,971,802,0.442,0.325,0.735,32.4,24,8.4,7,11.9,0.153,6.8,8.3
2018,4,4,MEM,Jaren Jackson,Michigan State,2,105,2833,1628,491,129,0.492,0.391,0.757,27,15.5,4.7,1.2,6,0.102,0.5,1.8
2018,5,5,DAL,Trae Young,Oklahoma,2,125,4046,2844,503,1059,0.43,0.345,0.835,32.4,22.8,4,8.5,7.8,0.093,1.4,3.5
2018,6,6,ORL,Mohamed Bamba,Texas,2,91,1440,532,458,68,0.469,0.315,0.613,15.8,5.8,5,0.7,3.4,0.112,0.4,0.9
2018,7,7,CHI,Wendell Carter,Duke,2,81,2219,888,673,122,0.509,0.2,0.763,27.4,11,8.3,1.5,5.1,0.111,-0.3,0.9
2018,8,8,CLE,Collin Sexton,Alabama,2,131,4175,2329,397,367,0.442,0.382,0.845,31.9,17.8,3,2.8,0.8,0.009,-4.4,-2.5
2018,9,9,NYK,Kevin Knox,Kentucky,2,123,3058,1304,480,132,0.37,0.339,0.699,24.9,10.6,3.9,1.1,-0.9,-0.014,-5.3,-2.6
2018,10,10,PHI,Mikal Bridges,Villanova,2,130,3593,1042,450,245,0.454,0.33,0.808,27.6,8,3.5,1.9,5.6,0.075,0.3,2.1
2018,11,11,CHO,Shai Gilgeous-Alexander,Kentucky,2,132,3950,1858,540,430,0.467,0.349,0.811,29.9,14.1,4.1,3.3,7.4,0.09,-0.1,1.9
2018,12,12,LAC,Miles Bridges,Michigan State,2,128,3139,1182,580,180,0.451,0.336,0.783,24.5,9.2,4.5,1.4,4,0.062,-1.4,0.5
2018,13,13,LAC,Jerome Robinson,Boston College,2,73,792,234,101,64,0.366,0.298,0.607,10.8,3.2,1.4,0.9,0,0.002,-4.4,-0.5
2018,14,14,DEN,Michael Porter,Missouri,1,39,556,311,171,29,0.508,0.432,0.795,14.3,8,4.4,0.7,1.9,0.168,0.6,0.4
2018,15,15,WAS,Troy Brown,Oregon,2,96,1884,716,405,175,0.447,0.339,0.737,19.6,7.5,4.2,1.8,2.3,0.058,-2.1,-0.1
2018,16,16,PHO,Zhaire Smith,Texas Tech,2,9,132,44,15,12,0.375,0.333,0.667,14.7,4.9,1.7,1.3,0.1,0.025,-4.7,-0.1
2018,17,17,MIL,Donte DiVincenzo,Villanova,2,70,1389,518,266,130,0.443,0.316,0.766,19.8,7.4,3.8,1.9,3.7,0.129,1.4,1.2
2018,18,18,SAS,Lonnie Walker,Miami (FL),2,56,613,270,92,34,0.427,0.403,0.736,10.9,4.8,1.6,0.6,0.4,0.033,-4.7,-0.4
2018,19,19,ATL,Kevin Huerter,Maryland,2,113,3140,1161,408,337,0.417,0.387,0.762,27.8,10.3,3.6,3,2.5,0.038,-1.7,0.2
2018,20,20,MIN,Josh Okogie,Georgia Tech,2,119,2838,929,419,163,0.389,0.271,0.743,23.8,7.8,3.5,1.4,2.4,0.041,-1.6,0.3
2018,21,21,UTA,Grayson Allen,Duke,2,68,914,432,89,68,0.412,0.342,0.789,13.4,6.4,1.3,1,0.6,0.033,-5,-0.7
2018,22,22,CHI,Chandler Hutchison,Boise State,2,68,1303,400,269,53,0.473,0.299,0.621,19.2,5.9,4,0.8,1.3,0.049,-3.8,-0.6
2018,23,23,IND,Aaron Holiday,UCLA,2,95,1698,760,170,246,0.415,0.388,0.846,17.9,8,1.8,2.6,2.7,0.076,-1.7,0.1
2018,24,24,POR,Anfernee Simons,,2,69,1250,514,132,85,0.409,0.318,0.756,18.1,7.4,1.9,1.2,0.2,0.006,-4.9,-0.9
2018,25,25,LAL,Moritz Wagner,Michigan,2,64,875,451,212,52,0.495,0.331,0.823,13.7,7,3.3,0.8,1.2,0.066,-2.4,-0.1
2018,26,26,PHI,Landry Shamet,Wichita State,2,110,2679,1036,203,172,0.429,0.415,0.844,24.4,9.4,1.8,1.6,5.4,0.097,-0.7,0.9
2018,27,27,BOS,Robert Williams,Texas A&M,2,51,552,155,168,28,0.69,,0.586,10.8,3,3.3,0.5,2.3,0.199,5,1
