,,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Year,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2010,1,1,WAS,John Wall,Kentucky,9,573,20545,10879,2483,5282,0.433,0.324,0.781,35.9,19,4.3,9.2,44.3,0.104,2.3,22.1
2010,2,2,PHI,Evan Turner,Ohio State,10,704,18917,6822,3276,2460,0.434,0.294,0.782,26.9,9.7,4.7,3.5,20.2,0.051,-2,-0.2
2010,3,3,NJN,Derrick Favors,Georgia Tech,10,662,16992,7615,4846,757,0.529,0.211,0.662,25.7,11.5,7.3,1.1,52.1,0.147,1.5,15
2010,4,4,MIN,Wesley Johnson,Syracuse,9,609,13472,4235,1924,645,0.404,0.337,0.741,22.1,7,3.2,1.1,10.7,0.038,-1.2,2.9
2010,5,5,SAC,DeMarcus Cousins,Kentucky,9,565,18078,12006,6131,1832,0.461,0.332,0.737,32,21.2,10.9,3.2,44.1,0.117,2.9,22.5
2010,6,6,GSW,Ekpe Udoh,Baylor,7,384,5694,1353,1100,260,0.453,0,0.718,14.8,3.5,2.9,0.7,10.4,0.088,0.2,3.2
2010,7,7,DET,Greg Monroe,Georgetown,9,632,17475,8326,5229,1354,0.514,0.059,0.704,27.7,13.2,8.3,2.1,49.7,0.136,1.9,17.2
2010,8,8,LAC,Al-Farouq Aminu,Wake Forest,10,688,17264,5248,4170,848,0.421,0.335,0.745,25.1,7.6,6.1,1.2,27.5,0.077,-0.1,8.5
2010,9,9,UTA,Gordon Hayward,Butler,10,620,19038,9438,2667,2128,0.45,0.365,0.823,30.7,15.2,4.3,3.4,51.5,0.13,1.9,18.7
2010,10,10,IND,Paul George,Fresno State,10,631,21243,12601,4050,2101,0.433,0.379,0.846,33.7,20,6.4,3.3,67.6,0.153,3.8,31.1
2010,11,11,NOH,Cole Aldrich,Kansas,8,339,3389,1050,1131,183,0.527,,0.738,10,3.1,3.3,0.5,9.6,0.135,1,2.6
2010,12,12,MEM,Xavier Henry,Kansas,5,185,2905,1050,351,120,0.406,0.325,0.635,15.7,5.7,1.9,0.6,0.8,0.013,-5.1,-2.3
2010,13,13,TOR,Ed Davis,UNC,10,664,13208,4193,4423,507,0.567,0,0.583,19.9,6.3,6.7,0.8,41.7,0.151,0.9,9.6
2010,14,14,HOU,Patrick Patterson,Kentucky,10,665,14133,4509,2688,695,0.448,0.367,0.752,21.3,6.8,4,1,30.2,0.102,0.2,7.9
2010,15,15,MIL,Larry Sanders,Virginia Commonwealth,6,238,4635,1520,1345,174,0.48,0,0.553,19.5,6.4,5.7,0.7,10.3,0.107,0.6,3
2010,16,16,MIN,Luke Babbitt,Nevada,8,381,5332,1818,846,224,0.408,0.402,0.747,14,4.8,2.2,0.6,7.2,0.065,-2.8,-1
2010,17,17,CHI,Kevin Séraphin,,7,423,6430,2516,1462,246,0.489,0,0.715,15.2,5.9,3.5,0.6,5.9,0.044,-3.9,-3.1
2010,18,18,OKC,Eric Bledsoe,Kentucky,10,610,16961,8652,2409,2933,0.457,0.336,0.796,27.8,14.2,3.9,4.8,41.1,0.116,2.2,17.9
2010,19,19,BOS,Avery Bradley,Texas,10,555,15717,6536,1629,985,0.436,0.361,0.778,28.3,11.8,2.9,1.8,15.1,0.046,-1.9,0.3
2010,20,20,SAS,James Anderson,Oklahoma State,5,247,4320,1422,560,291,0.411,0.321,0.755,17.5,5.8,2.3,1.2,3.3,0.037,-2.8,-0.9
2010,21,21,OKC,Craig Brackins,Iowa State,2,17,121,30,19,9,0.265,0.214,0.5,7.1,1.8,1.1,0.5,-0.2,-0.089,-9.1,-0.2
2010,22,22,POR,Elliot Williams,Memphis,4,109,1470,537,161,94,0.421,0.31,0.669,13.5,4.9,1.5,0.9,0.7,0.024,-5.3,-1.2
2010,23,23,MIN,Trevor Booker,Clemson,8,532,10872,3679,2932,566,0.515,0.305,0.636,20.4,6.9,5.5,1.1,26.2,0.116,0.2,6
2010,24,24,ATL,Damion James,Texas,4,39,623,150,131,26,0.415,0,0.667,16,3.8,3.4,0.7,0,-0.001,-4.3,-0.4
2010,25,25,MEM,Dominique Jones,South Florida,3,80,741,246,114,144,0.366,0.095,0.729,9.3,3.1,1.4,1.8,0.3,0.017,-3.6,-0.3
2010,26,26,OKC,Quincy Pondexter,Washington,7,355,5530,1609,640,263,0.423,0.356,0.746,15.6,4.5,1.8,0.7,9.7,0.084,-1.2,1.1
2010,27,27,NJN,Jordan Crawford,Xavier,6,281,6843,3432,703,883,0.411,0.317,0.826,24.4,12.2,2.5,3.1,6.3,0.044,-2.1,-0.2
2010,28,28,MEM,Greivis Vásquez,Maryland,7,401,9520,3591,1021,1935,0.418,0.349,0.817,23.7,9,2.5,4.8,12.6,0.064,-1.5,1.1
2010,29,29,ORL,Daniel Orton,Kentucky,3,51,542,143,126,24,0.485,0,0.597,10.6,2.8,2.5,0.5,1,0.093,-1.7,0
2010,30,30,WAS,Lazar Hayward,Marquette,3,72,591,207,90,35,0.347,0.269,0.767,8.2,2.9,1.3,0.5,0.2,0.02,-4.6,-0.4
2010,31,31,NJN,Tibor Pleiß,,1,12,82,24,15,2,0.44,0,1,6.8,2,1.3,0.2,-0.1,-0.041,-8.1,-0.1
2010,32,32,MIA,Dexter Pittman,Texas,4,50,347,116,89,9,0.45,,0.545,6.9,2.3,1.8,0.2,0.5,0.068,-6,-0.4
2010,33,33,SAC,Hassan Whiteside,Marshall,8,388,10309,5300,4536,257,0.579,0.273,0.61,26.6,13.7,11.7,0.7,42.9,0.2,0.8,7.4
2010,34,34,POR,Armon Johnson,Nevada,2,47,401,157,49,56,0.458,0.4,0.679,8.5,3.3,1,1.2,-0.1,-0.015,-6.2,-0.4
2010,35,35,WAS,Nemanja Bjelica,,5,317,6777,2494,1483,525,0.466,0.394,0.773,21.4,7.9,4.7,1.7,14.5,0.102,1.1,5.2
2010,36,36,DET,Terrico White,Ole Miss,,,,,,,,,,,,,,,,,
2010,37,37,MIL,Darington Hobson,New Mexico,1,5,39,4,3,6,0.154,0,,7.8,0.8,0.6,1.2,-0.2,-0.225,-14.1,-0.1
2010,38,38,NYK,Andy Rautins,Syracuse,1,5,24,8,1,3,0.429,0.25,0.5,4.8,1.6,0.2,0.6,-0.2,-0.314,-16,-0.1
2010,39,39,NYK,Landry Fields,Stanford,5,255,6010,1731,1092,419,0.473,0.332,0.666,23.6,6.8,4.3,1.6,10.5,0.084,-0.1,2.8
2010,40,40,IND,Lance Stephenson,Cincinnati,9,508,11866,4354,2124,1456,0.444,0.315,0.685,23.4,8.6,4.2,2.9,16.7,0.068,-0.8,3.6
2010,41,41,MIA,Jarvis Varnado,Mississippi State,2,37,397,107,72,16,0.582,,0.518,10.7,2.9,1.9,0.4,0.7,0.089,-1.9,0
2010,42,42,MIA,Da'Sean Butler,West Virginia,,,,,,,,,,,,,,,,,
2010,43,43,LAL,Devin Ebanks,West Virginia,3,63,711,224,122,24,0.385,0.222,0.722,11.3,3.6,1.9,0.4,0.5,0.035,-4.7,-0.5
2010,44,44,MIL,Jerome Jordan,Tulsa,2,65,491,180,132,17,0.528,,0.852,7.6,2.8,2,0.3,1.7,0.168,0,0.2
2010,45,45,MIN,Paulo Prestes,,,,,,,,,,,,,,,,,,
2010,46,46,PHO,Gani Lawal,Georgia Tech,1,1,2,0,0,0,,,,2,0,0,0,0,-0.009,-4.9,0
2010,47,47,MIL,Tiny Gallon,Oklahoma,,,,,,,,,,,,,,,,,
2010,48,48,MIA,Latavious Williams,,,,,,,,,,,,,,,,,,
2010,49,49,SAS,Ryan Richards,,,,,,,,,,,,,,,,,,
2010,50,50,DAL,Solomon Alabi,Florida State,2,26,181,39,61,5,0.314,,0.7,7,1.5,2.3,0.2,0,0.01,-5.4,-0.2
2010,51,51,OKC,Magnum Rolle,Louisiana Tech,,,,,,,,,,,,,,,,,
2010,52,52,BOS,Luke Harangody,Notre Dame,2,70,871,253,196,36,0.376,0.241,0.737,12.4,3.6,2.8,0.5,0.9,0.048,-3.3,-0.3
2010,53,53,ATL,Pape Sy,,1,3,21,7,3,2,0.333,0,1,7,2.3,1,0.7,0,-0.047,-6,0
2010,54,54,LAC,Willie Warren,Oklahoma,1,19,134,37,12,27,0.371,0.333,0.75,7.1,1.9,0.6,1.4,0.2,0.065,-4.5,-0.1
2010,55,55,UTA,Jeremy Evans,Western Kentucky,7,250,2626,879,641,107,0.569,0.231,0.687,10.5,3.5,2.6,0.4,8.2,0.15,1,2
2010,56,56,MIN,Hamady N'Diaye,Rutgers University,3,33,157,20,25,3,0.467,,0.462,4.8,0.6,0.8,0.1,0,0.013,-4.9,-0.1
2010,57,57,IND,Ryan Reid,Florida State,1,5,17,8,2,0,0.8,,,3.4,1.6,0.4,0,0.1,0.142,-5.5,0
2010,58,58,LAL,Derrick Caracter,Texas-El Paso,1,41,215,81,43,7,0.485,,0.739,5.2,2,1,0.2,0.3,0.057,-4.9,-0.2
2010,59,59,ORL,Stanley Robinson,UConn,,,,,,,,,,,,,,,,,
2010,60,60,PHO,Dwayne Collins,Miami (FL),,,,,,,,,,,,,,,,,
