,,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Year,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2009,1,1,LAC,Blake Griffin,Oklahoma,10,622,21671,13479,5501,2749,0.498,0.333,0.694,34.8,21.7,8.8,4.4,75.3,0.167,3.8,32
2009,2,2,MEM,Hasheem Thabeet,UConn,5,224,2357,483,595,27,0.567,,0.578,10.5,2.2,2.7,0.1,4.8,0.099,-1.4,0.4
2009,3,3,OKC,James Harden,Arizona State,11,810,27775,20231,4287,5067,0.442,0.364,0.858,34.3,25,5.3,6.3,130.6,0.226,7.2,64.5
2009,4,4,SAC,Tyreke Evans,Memphis,10,594,18242,9347,2720,2852,0.44,0.323,0.757,30.7,15.7,4.6,4.8,28.4,0.075,0.7,12.6
2009,5,5,MIN,Ricky Rubio,,9,539,16684,6047,2280,4176,0.389,0.323,0.836,31,11.2,4.2,7.7,34.7,0.1,1,12.8
2009,6,6,MIN,Jonny Flynn,Syracuse,3,163,3738,1504,307,634,0.4,0.338,0.809,22.9,9.2,1.9,3.9,-1.1,-0.015,-4.9,-2.7
2009,7,7,GSW,Stephen Curry,Davidson,11,698,23971,16396,3152,4614,0.476,0.435,0.905,34.3,23.5,4.5,6.6,103.1,0.206,6.5,51.2
2009,8,8,NYK,Jordan Hill,Arizona,8,409,7692,3232,2389,322,0.497,0.136,0.699,18.8,7.9,5.8,0.8,16.4,0.102,-2,0
2009,9,9,TOR,DeMar DeRozan,USC,11,799,27291,16014,3470,2796,0.456,0.283,0.829,34.2,20,4.3,3.5,65.6,0.115,-0.3,11.5
2009,10,10,MIL,Brandon Jennings,,9,555,16844,7801,1659,3151,0.387,0.345,0.796,30.3,14.1,3,5.7,29.9,0.085,0.4,10.4
2009,11,11,NJN,Terrence Williams,Louisville,4,153,2922,1085,545,364,0.412,0.317,0.659,19.1,7.1,3.6,2.4,-0.2,-0.004,-3.8,-1.4
2009,12,12,CHA,Gerald Henderson,Duke,8,535,13854,5987,1716,1009,0.44,0.327,0.793,25.9,11.2,3.2,1.9,18.3,0.063,-2.2,-0.9
