player_id,name,class,college,assists,blocks,effective_field_goal_percentage,field_goal_percentage,free_throw_attempt_rate,free_throw_percentage,games_played,height,minutes_played,points,steals,three_point_percentage,three_pointers,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_shares_per_40_minutes,assists_per_40,blocks_per_40,points_per_40,steals_per_40,three_pointers_per_40,total_rebounds_per_40,turnovers_per_40
kenyon-martin-1,Kenyon Martin,Player,cincinnati,142,292,0.5870000000000001,0.586,0.494,0.581,116,81,2042.0,1279,124,0.222,2.0,869,0.5920000000000001,14.3,139.0,0.34600000000000003,2.7815866797257587,5.719882468168462,25.05386875612145,2.428991185112635,0.03917727717923605,17.02252693437806,2.7228207639569053
aj-guyton-1,A.J. Guyton,Player,indiana,403,52,0.541,0.455,0.249,0.79,128,73,3260.0,2100,129,0.414,283.0,429,0.5720000000000001,13.6,218.0,0.145,4.94478527607362,0.638036809815951,25.766871165644172,1.5828220858895703,3.4723926380368098,5.263803680981595,2.6748466257668717
jake-voskuhl-1,Jake Voskuhl,Player,uconn,124,193,0.542,0.542,0.555,0.6559999999999999,138,83,2184.0,863,86,0.3291631116687577,0.0,880,0.573,23.0,160.0,0.237,2.271062271062271,3.534798534798535,15.805860805860805,1.575091575091575,0.0,16.117216117216113,2.9304029304029307
khalid-el-amin-1,Khalid El-Amin,Bust,uconn,479,10,0.486,0.41600000000000004,0.257,0.8220000000000001,108,70,2149.0,1650,186,0.355,195.0,319,0.527,15.6,188.0,0.158,8.915774778966961,0.18613308515588647,30.711959050721266,3.4620753838994887,3.629595160539786,5.937645416472777,3.499302000930665
mike-smith-1,Mike Smith,Bust,louisiana monroe,147,42,0.507,0.428,0.35700000000000004,0.769,55,80,1938.0,1062,90,0.318,130.0,449,0.551,20.0,241.0,0.165,3.0340557275541795,0.8668730650154799,21.91950464396285,1.8575851393188856,2.683178534571724,9.267285861713106,4.974200206398349
eddie-house-1,Eddie House,Player,arizona state,405,19,0.495,0.425,0.187,0.7979999999999999,124,73,4136.0,2044,258,0.366,250.0,502,0.523,10.8,195.0,0.113,3.9168278529980665,0.18375241779497095,19.767891682785297,2.495164410058027,2.4177949709864603,4.8549323017408135,1.885880077369439
eduardo-najera-1,Eduardo Najera,Player,oklahoma,215,89,0.46,0.43,0.354,0.669,126,80,3001.0,1646,193,0.28800000000000003,85.0,910,0.495,13.1,201.0,0.183,2.865711429523492,1.186271242919027,21.939353548817056,2.572475841386205,1.13295568143952,12.129290236587806,2.6791069643452183
lavor-postell-1,Lavor Postell,Player,st johns ny,205,58,0.47,0.43,0.38299999999999995,0.789,129,77,2845.0,1427,129,0.326,92.0,716,0.526,13.8,172.0,0.115,2.882249560632689,0.8154657293497364,20.063268892794376,1.8137082601054484,1.2934973637961336,10.066783831282953,2.4182776801405974
hanno-mottola-1,Hanno Mottola,Bust,utah,139,50,0.5329999999999999,0.5,0.415,0.774,120,83,2162.0,1492,37,0.33299999999999996,71.0,551,0.58,14.9,159.0,0.207,2.5716928769657725,0.9250693802035151,27.604070305272888,0.6845513413506013,1.3135985198889917,10.19426456984274,2.9417206290471785
chris-carrawell-1,Chris Carrawell,Bust,duke,309,114,0.514,0.486,0.415,0.667,136,78,2497.458432304038,1455,105,0.36,62.0,608,0.545,15.209338061465706,177.27895981087468,0.1817158145065398,3.018493870905798,1.3578315676800246,18.738179731842656,1.5052593604379534,1.2885494493869851,8.322599998937564,2.9019745207547336
michael-redd-1,Michael Redd,Player,ohio state,238,11,0.488,0.44799999999999995,0.35,0.649,96,78,2187.0,1879,149,0.319,126.0,593,0.516,11.4,151.0,0.16399999999999998,4.352994970278921,0.2011888431641518,34.36671239140375,2.7251943301326014,2.3045267489711936,10.845907636031091,2.7617741197988113
dan-langhi-1,Dan Langhi,Player,vanderbilt,82,26,0.508,0.445,0.434,0.831,121,83,2464.0,1502,58,0.38299999999999995,138.0,559,0.5710000000000001,11.7,150.0,0.163,1.331168831168831,0.4220779220779221,24.383116883116887,0.9415584415584416,2.24025974025974,9.074675324675324,2.435064935064935
jabari-smith-1,Jabari Smith,Player,lsu,126,65,0.557,0.532,0.615,0.639,61,83,1777.0,767,56,0.298,25.0,501,0.583,21.8,183.0,0.196,2.8362408553742258,1.4631401238041644,17.265053460889142,1.2605514912774338,0.5627462014631401,11.277433877321329,4.119302194710185
mark-karcher-1,Mark Karcher,Bust,temple,148,9,0.455,0.373,0.265,0.613,67,77,2497.458432304038,972,110,0.322,149.0,349,0.47600000000000003,15.209338061465706,177.27895981087468,0.1817158145065398,3.018493870905798,1.3578315676800246,18.738179731842656,1.5052593604379534,1.2885494493869851,8.322599998937564,2.9019745207547336
jason-hart-1,Jason Hart,Player,syracuse,709,14,0.445,0.39299999999999996,0.33,0.7120000000000001,132,75,3293.0,1503,329,0.326,139.0,433,0.486,21.3,313.0,0.11800000000000001,8.612207713331307,0.1700576981475858,18.256908593987244,3.9963559064682657,1.6884300030367447,5.259641664136047,3.8020042514424537
kaniel-dickens-1,Kaniel Dickens,Player,idaho,34,39,0.5,0.483,0.5539999999999999,0.63,55,80,1223.0,514,47,0.35100000000000003,13.0,316,0.534,18.9,112.0,0.131,1.1120196238757154,1.2755519215044973,16.811120196238758,1.5372035977105478,0.4251839738348324,10.335241210139005,3.6631234668847097
