Win Shares,Mins Played (per game),Player,Games,Year,Rank,Points(per game),WS/48,Box +/-,Value Overall Replacement Player,Team,College,Years,Mins Played (Total),Points (Total),Class
76.0,29.3,David Lee,829,2005,30,13.5,0.15,1.6,22.3,NYK,Florida,12,24293,11232,Player
0.9,9.9,Wayne Simien,51,2005,29,3.3,0.083,-4.8,-0.4,MIA,Kansas,2,507,169,Bust
64.1,28.3,Marvin Williams,1053,2005,2,10.3,0.103,-0.2,13.2,ATL,UNC,15,29796,10891,Player
77.3,34.2,Deron Williams,845,2005,3,16.3,0.129,1.3,23.8,UTA,Illinois,12,28865,13804,Player
177.7,34.9,Chris Paul,999,2005,4,18.5,0.244,7.2,80.9,NOH,Wake Forest,15,34900,18436,Player
40.2,29.7,Raymond Felton,971,2005,5,11.2,0.067,-0.6,9.9,CHA,UNC,14,28829,10853,Player
22.6,20.7,Charlie Villanueva,656,2005,7,10.4,0.08,-1.8,0.6,TOR,UConn,11,13578,6808,Player
38.9,22.2,Channing Frye,890,2005,8,8.7,0.094,-0.2,8.9,NYK,Arizona,13,19772,7786,Player
6.5,12.4,Ike Diogu,225,2005,9,6.0,0.112,-4.8,-2.0,GSW,Arizona State,6,2795,1348,Player
2.6,15.7,Sean May,119,2005,13,6.9,0.068,-2.4,-0.2,CHA,UNC,4,1868,821,Player
3.6,20.2,Rashad McCants,249,2005,14,10.0,0.035,-2.5,-0.6,MIN,UNC,4,5037,2479,Player
50.6,28.1,Andrew Bogut,706,2005,1,9.6,0.122,2.3,21.6,MIL,Utah,14,19862,6808,Player
7.8,16.2,Joey Graham,377,2005,16,5.9,0.061,-3.8,-2.8,TOR,Oklahoma State,6,6117,2239,Player
3.1,19.2,Antoine Wright,297,2005,15,5.4,0.026,-3.1,-1.5,NJN,Texas A&M,6,5714,1614,Player
13.6,20.0,Linas Kleiza,409,2005,27,8.7,0.08,-2.4,-0.9,POR,Missouri,7,8185,3561,Player
20.3,18.4,Jason Maxiell,618,2005,26,5.6,0.086,-2.0,0.1,DET,Cincinnati,10,11379,3481,Player
14.7,22.4,Luther Head,348,2005,24,8.2,0.09,-0.4,3.2,HOU,Illinois,6,7797,2842,Player
18.2,21.6,Francisco García,549,2005,23,7.9,0.074,-0.3,4.9,SAC,Louisville,10,11853,4323,Player
27.8,22.5,Nate Robinson,618,2005,21,11.0,0.096,0.2,7.8,PHO,Washington,11,13878,6807,Player
0.0,4.3,Julius Hodge,23,2005,20,1.2,0.003,-4.5,-0.1,DEN,NC State,2,98,28,Bust
20.4,20.2,Hakim Warrick,526,2005,19,9.4,0.092,-3.1,-2.9,MEM,Syracuse,8,10624,4947,Player
48.5,31.5,Danny Granger,586,2005,17,16.8,0.126,1.5,16.1,IND,New Mexico,10,18487,9855,Player
36.8,27.8,Jarrett Jack,867,2005,22,10.8,0.073,-1.2,5.1,DEN,Georgia Tech,13,24140,9349,Player
0.0,0.0,Denham Brown,0,2006,40,0.0,0.0,0.0,0.0,SEA,UConn,0,0,0,Bust
16.0,23.5,Daniel Gibson,397,2006,42,7.8,0.082,-1.0,2.3,CLE,Texas,7,9316,3115,Player
0.3,5.8,James Augustine,27,2006,41,1.6,0.101,-2.2,0.0,ORL,Illinois,2,156,42,Bust
0.4,11.6,David Noel,68,2006,39,2.7,0.024,-3.4,-0.3,MIL,UNC,1,792,184,Bust
5.0,11.0,Solomon Jones,281,2006,33,3.0,0.078,-2.9,-0.7,ATL,South Florida,8,3092,839,Player
1.1,9.5,Bobby Jones,91,2006,37,3.2,0.06,-3.5,-0.3,MIN,Washington,2,867,288,Bust
16.0,16.9,Craig Smith,403,2006,36,7.6,0.113,-1.5,0.9,MIN,Boston College,6,6826,3080,Player
33.1,29.2,P.J. Tucker,630,2006,35,7.4,0.086,0.9,13.4,TOR,Texas,9,18407,4663,Player
0.5,8.6,Paul Davis,82,2006,34,2.6,0.035,-4.7,-0.5,LAC,Michigan State,4,702,217,Player
1.5,12.8,Alexander Johnson,102,2006,45,4.3,0.056,-4.3,-0.7,IND,Florida State,2,1302,439,Bust
0.0,3.0,Guillermo Díaz,6,2006,52,0.8,0.033,-5.9,0.0,LAC,Miami (FL),1,18,5,Bust
90.8,29.2,Paul Millsap,977,2006,47,14.0,0.153,3.1,37.0,UTA,Louisiana Tech,14,28519,13708,Player
12.0,13.9,Leon Powe,239,2006,49,6.2,0.174,-2.3,-0.2,DEN,California,5,3320,1484,Player
10.4,11.8,Ryan Hollins,518,2006,50,3.7,0.081,-2.6,-1.0,CHA,UCLA,10,6134,1913,Player
0.8,7.5,Hassan Adams,73,2006,54,2.5,0.072,-4.4,-0.3,NJN,Arizona,2,547,185,Bust
0.0,0.0,J.R. Pinnock,0,2006,58,0.0,0.0,0.0,0.0,DAL,George Washington,0,0,0,Bust
14.5,12.1,Steve Novak,467,2006,32,4.7,0.123,-0.9,1.6,HOU,Marquette,11,5657,2177,Player
0.1,10.5,Dee Brown,68,2006,46,2.1,0.008,-4.1,-0.4,UTA,Illinois,2,711,140,Bust
0.8,8.7,James White,67,2006,31,2.7,0.062,-3.4,-0.2,POR,Cincinnati,3,583,182,Player
-0.1,11.9,Will Blalock,14,2006,60,1.8,-0.032,-5.7,-0.2,DET,Iowa State,1,166,25,Bust
-1.6,14.7,Mardy Collins,189,2006,29,3.9,-0.027,-4.9,-2.0,NYK,Temple,4,2771,742,Player
111.3,34.4,LaMarcus Aldridge,993,2006,2,19.6,0.156,1.5,29.8,CHI,Texas,14,34190,19420,Player
-1.4,20.4,Adam Morrison,161,2006,3,7.5,-0.021,-5.5,-2.9,CHA,Gonzaga,3,3278,1200,Player
13.0,19.7,Tyrus Thomas,402,2006,4,7.7,0.078,-1.1,1.7,POR,LSU,8,7932,3093,Player
9.9,15.5,Shelden Williams,361,2006,5,4.5,0.085,-2.8,-1.2,ATL,Duke,6,5586,1618,Player
37.4,35.5,Brandon Roy,326,2006,6,18.8,0.155,3.2,15.2,MIN,Washington,6,11561,6136,Player
23.5,25.6,Randy Foye,752,2006,7,10.3,0.058,-1.3,3.4,BOS,Villanova,11,19279,7729,Player
56.2,33.4,Rudy Gay,923,2006,8,17.2,0.087,0.4,19.0,HOU,UConn,14,30852,15909,Player
0.5,5.8,Patrick O'Bryant,90,2006,9,2.1,0.046,-3.1,-0.2,GSW,Bradley,4,524,186,Player
62.1,26.0,J.J. Redick,880,2006,11,13.0,0.13,0.0,11.5,ORL,Duke,14,22881,11470,Player
3.9,11.6,Hilton Armstrong,292,2006,12,3.0,0.055,-2.8,-0.7,NOK,UConn,6,3378,880,Player
30.4,23.0,Ronnie Brewer,502,2006,14,7.8,0.127,1.7,10.7,UTA,Arkansas,8,11539,3940,Player
6.2,15.4,Rodney Carney,299,2006,16,5.9,0.064,-2.7,-0.8,CHI,Memphis,5,4600,1778,Player
0.1,9.4,Cedric Simmons,75,2006,15,2.2,0.005,-5.7,-0.7,NOK,NC State,3,705,163,Player
-0.9,6.2,Maurice Ager,82,2006,28,2.1,-0.089,-10.4,-1.1,DAL,Michigan State,4,505,169,Player
13.9,19.5,Jordan Farmar,504,2006,26,7.7,0.068,-1.4,1.6,LAL,UCLA,10,9840,3888,Player
91.5,31.5,Kyle Lowry,894,2006,24,14.7,0.156,3.8,41.0,MEM,Villanova,14,28178,13098,Player
9.1,17.5,Josh Boone,256,2006,23,5.2,0.097,-1.9,0.1,NJN,UConn,4,4482,1340,Player
9.2,18.0,Shannon Brown,408,2006,25,7.6,0.06,-2.3,-0.6,CLE,Michigan State,9,7329,3118,Player
59.4,31.3,Rajon Rondo,857,2006,21,10.3,0.106,1.3,22.6,PHO,Kentucky,14,26791,8804,Player
7.2,13.9,Renaldo Balkman,221,2006,20,4.0,0.113,0.9,2.2,NYK,South Carolina,6,3064,894,Player
0.0,10.7,Quincy Douby,143,2006,19,4.1,0.0,-5.4,-1.3,SAC,Rutgers University,3,1535,588,Player
6.7,17.1,Shawne Williams,314,2006,17,5.6,0.06,-2.0,0.0,IND,Memphis,7,5368,1769,Player
0.0,15.2,Marcus Williams,203,2006,22,5.6,-0.001,-4.6,-2.0,NJN,UConn,4,3095,1128,Player
0.0,0.0,Adam Haluska,0,2007,43,0.0,0.0,0.0,0.0,NOK,Iowa,0,0,0,Bust
0.1,18.5,Derrick Byars,2,2007,42,5.0,0.147,0.6,0.0,POR,Vanderbilt,1,37,10,Bust
0.7,11.1,Chris Richard,70,2007,41,1.9,0.045,-3.5,-0.3,MIN,Florida,2,780,135,Bust
-0.1,3.0,Marcus Williams,13,2007,33,1.1,-0.084,-7.5,-0.1,SAS,Arizona,2,39,14,Bust
18.5,19.1,Josh McRoberts,433,2007,37,5.4,0.107,1.0,6.2,POR,Duke,11,8271,2333,Player
0.0,8.3,Jermareo Davidson,52,2007,36,3.1,0.0,-7.6,-0.6,GSW,Alabama,2,433,162,Bust
18.6,21.1,Glen Davis,514,2007,35,8.0,0.082,-2.3,-0.8,SEA,LSU,8,10865,4111,Player
0.8,10.3,Nick Fazekas,26,2007,34,4.1,0.148,-0.1,0.1,DAL,Nevada,1,269,107,Bust
0.0,0.0,Reyshawn Terry,0,2007,44,0.0,0.0,0.0,0.0,ORL,UNC,0,0,0,Bust
0.0,0.0,Jared Jordan,0,2007,45,0.0,0.0,0.0,0.0,LAC,Marist College,0,0,0,Bust
-0.1,4.4,Taurean Green,17,2007,52,1.6,-0.066,-8.2,-0.1,POR,Florida,1,74,27,Bust
4.1,15.6,Dominic McGuire,342,2007,47,2.7,0.037,-1.6,0.6,WAS,Fresno State,6,5348,939,Player
6.2,12.1,Aaron Gray,318,2007,49,3.4,0.077,-1.8,0.2,CHI,Pitt,7,3851,1066,Player
0.0,0.0,JamesOn Curry,1,2007,51,0.0,0.0,0.0,0.0,CHI,Oklahoma State,1,0,0,Bust
-0.2,3.2,Demetris Nichols,18,2007,53,1.2,-0.203,-15.3,-0.2,POR,Syracuse,2,58,22,Bust
0.0,0.0,Herbert Hill,0,2007,55,0.0,0.0,0.0,0.0,UTA,Providence,0,0,0,Bust
28.8,23.3,Ramon Sessions,691,2007,56,10.3,0.086,-1.9,0.5,MIL,Nevada,11,16119,7141,Player
0.0,0.0,Sammy Mejia,0,2007,57,0.0,0.0,0.0,0.0,DET,DePaul,0,0,0,Bust
-0.2,8.2,D.J. Strawberry,33,2007,59,2.2,-0.031,-5.1,-0.2,PHO,Maryland,1,270,73,Bust
0.4,7.4,Gabe Pruitt,62,2007,32,2.0,0.043,-3.1,-0.1,BOS,USC,2,461,125,Bust
0.3,18.9,Stéphane Lasme,16,2007,46,5.2,0.041,-2.8,-0.1,GSW,UMass,1,303,83,Bust
35.9,22.5,Carl Landry,513,2007,31,10.8,0.149,-1.1,2.6,SEA,Purdue,9,11524,5541,Player
0.4,8.4,Alando Tucker,51,2007,29,4.1,0.045,-6.7,-0.5,PHO,Wisconsin,3,426,211,Player
7.3,19.3,Greg Oden,105,2007,1,8.0,0.174,1.1,1.6,POR,Ohio State,3,2028,840,Player
141.7,36.9,Kevin Durant,849,2007,2,27.0,0.217,5.1,55.7,SEA,Texas,12,31305,22940,Player
89.7,32.7,Al Horford,830,2007,3,14.0,0.158,3.2,35.7,ATL,Florida,13,27155,11644,Player
72.3,32.4,Mike Conley,816,2007,4,14.8,0.131,1.9,25.7,MEM,Ohio State,13,26464,12085,Player
40.9,29.6,Jeff Green,890,2007,5,13.0,0.074,-1.3,4.3,BOS,Georgetown,12,26372,11553,Player
22.5,23.0,Corey Brewer,814,2007,7,8.7,0.058,-1.0,4.8,MIN,Florida,12,18738,7092,Player
26.2,16.2,Brandan Wright,428,2007,8,7.0,0.181,1.6,6.4,CHA,UNC,10,6949,2976,Player
61.8,27.9,Joakim Noah,667,2007,9,8.8,0.16,4.1,28.4,CHI,Florida,12,18596,5867,Player
22.6,22.7,Spencer Hawes,684,2007,10,8.7,0.07,-0.7,5.0,SAC,Washington,10,15541,5932,Player
1.6,12.7,Acie Law,188,2007,11,3.9,0.032,-5.4,-2.0,ATL,Texas A&M,4,2385,725,Player
60.9,30.3,Thaddeus Young,951,2007,12,13.2,0.101,0.6,19.2,PHI,Georgia Tech,13,28855,12514,Player
3.9,13.2,Julian Wright,231,2007,13,3.9,0.061,-1.3,0.5,NOK,Kansas,4,3049,907,Player
6.1,28.0,Al Thornton,296,2007,14,11.9,0.035,-3.5,-3.1,LAC,Florida State,4,8274,3527,Player
18.6,22.8,Nick Young,720,2007,16,11.4,0.054,-3.4,-5.8,WAS,USC,12,16419,8194,Player
33.5,27.3,Arron Afflalo,762,2007,27,10.8,0.077,-1.1,4.5,DET,UCLA,11,20829,8198,Player
19.2,20.8,Aaron Brooks,645,2007,26,9.7,0.069,-1.8,0.8,HOU,Oregon,10,13439,6259,Player
28.7,27.5,Rodney Stuckey,651,2007,15,12.6,0.077,-1.4,2.7,DET,Eastern Washington,10,17890,8185,Player
28.8,30.2,Wilson Chandler,660,2007,23,12.7,0.069,-0.8,6.1,NYK,DePaul,12,19942,8383,Player
0.0,9.5,Morris Almond,38,2007,25,3.1,0.005,-6.4,-0.4,UTA,Rice University,3,361,119,Player
4.9,18.3,Daequan Cook,328,2007,21,6.4,0.039,-3.6,-2.4,PHI,Ohio State,6,5993,2114,Player
14.1,16.3,Jason Smith,616,2007,20,6.1,0.067,-2.7,-1.6,MIA,Colorado State,11,10029,3777,Player
0.1,16.4,Javaris Crittenton,113,2007,19,5.3,0.002,-4.3,-1.1,LAL,Georgia Tech,2,1853,595,Bust
3.0,14.4,Sean Williams,137,2007,17,4.2,0.073,-2.0,0.0,NJN,Boston College,4,1978,581,Player
42.8,22.7,Jared Dudley,880,2007,22,7.5,0.103,1.0,15.3,CHA,Boston College,13,19958,6617,Player
-0.1,2.7,Patrick Ewing,7,2008,43,0.4,-0.158,-9.3,0.0,SAC,Georgetown,1,19,3,Bust
0.0,8.2,Sean Singletary,37,2008,42,2.4,0.006,-4.9,-0.2,SAC,Virginia,1,303,90,Bust
5.4,19.7,Chris Douglas-Roberts,222,2008,40,7.1,0.059,-2.9,-1.0,NJN,Memphis,6,4381,1571,Player
0.0,18.2,Sonny Weems,183,2008,39,6.5,0.001,-4.2,-1.9,CHI,Arkansas,4,3335,1189,Player
-0.1,2.5,Walter Sharpe,8,2008,32,1.0,-0.131,-16.5,-0.1,SEA,University of Alabama at Birmingham,1,20,8,Bust
26.0,23.3,Luc Mbah a Moute,686,2008,37,6.4,0.078,-0.8,4.9,MIL,UCLA,11,16013,4375,Player
86.9,27.9,DeAndre Jordan,858,2008,35,9.5,0.175,2.2,25.4,LAC,Texas A&M,12,23906,8141,Player
32.3,26.7,Mario Chalmers,646,2008,34,8.9,0.09,0.3,9.8,MIN,Kansas,9,17245,5743,Player
2.9,11.4,Joey Dorsey,130,2008,33,2.6,0.092,-1.3,0.3,POR,Memphis,4,1488,344,Player
1.5,18.9,Kyle Weaver,73,2008,38,5.0,0.051,-1.3,0.3,CHA,Washington State,3,1379,363,Player
1.3,7.5,Darnell Jackson,138,2008,52,2.2,0.059,-4.9,-0.7,MIA,Kansas,3,1039,308,Player
5.0,16.7,Henry Walker,181,2008,47,6.0,0.079,-1.3,0.5,WAS,Kansas State,5,3016,1079,Player
0.8,7.6,Malik Hairston,62,2008,48,2.4,0.086,-1.9,0.0,PHO,Oregon,2,472,149,Bust
0.0,0.0,Richard Hendrix,0,2008,49,0.0,0.0,0.0,0.0,GSW,Alabama,0,0,0,Bust
0.0,0.0,DeVon Hardin,0,2008,50,0.0,0.0,0.0,0.0,SEA,California,0,0,0,Bust
0.0,0.0,Shan Foster,0,2008,51,0.0,0.0,0.0,0.0,DAL,Vanderbilt,0,0,0,Bust
0.0,0.0,Maarty Leunen,0,2008,54,0.0,0.0,0.0,0.0,HOU,Oregon,0,0,0,Bust
-0.4,15.1,Mike Taylor,51,2008,55,5.7,-0.028,-5.5,-0.7,POR,Iowa State,1,771,289,Bust
0.2,3.8,Sasha Kaun,25,2008,56,0.9,0.096,-0.8,0.0,SEA,Kansas,1,95,23,Bust
0.0,0.0,James Gist,0,2008,57,0.0,0.0,0.0,0.0,SAS,Maryland,0,0,0,Bust
0.0,11.5,Joe Crawford,2,2008,58,4.5,0.037,-5.6,0.0,LAL,Kentucky,1,23,9,Bust
0.0,0.0,Deron Washington,0,2008,59,0.0,0.0,0.0,0.0,DET,Virginia Tech,0,0,0,Bust
0.0,0.0,Trent Plaisted,0,2008,46,0.0,0.0,0.0,0.0,SEA,Brigham Young University Hawaii,0,0,0,Bust
0.1,6.5,J.R. Giddens,38,2008,30,1.9,0.027,-4.6,-0.2,BOS,New Mexico,2,247,73,Bust
1.5,16.8,Donté Greene,253,2008,28,6.1,0.017,-3.8,-2.0,MEM,Syracuse,4,4259,1541,Player
3.8,15.3,D.J. White,138,2008,29,5.9,0.087,-3.4,-0.7,DET,Indiana,6,2111,810,Player
40.1,32.7,Derrick Rose,589,2008,1,18.8,0.1,0.3,11.3,CHI,Memphis,11,19254,11094,Player
15.6,22.8,Michael Beasley,609,2008,2,12.4,0.054,-3.2,-4.3,MIA,Kansas State,11,13903,7568,Player
21.8,30.9,O.J. Mayo,547,2008,3,13.8,0.062,-0.8,5.1,MIN,USC,8,16919,7574,Player
100.2,34.6,Russell Westbrook,862,2008,4,23.1,0.161,6.4,63.1,SEA,UCLA,12,29803,19944,Player
80.8,31.9,Kevin Love,699,2008,5,18.2,0.174,2.6,25.7,MEM,UCLA,12,22332,12741,Player
34.4,32.9,Eric Gordon,653,2008,7,16.7,0.077,-1.0,5.4,LAC,Indiana,12,21503,10880,Player
44.3,24.2,D.J. Augustin,846,2008,9,9.9,0.104,-1.5,2.7,CHA,Texas,12,20432,8345,Player
63.4,30.7,Brook Lopez,763,2008,10,16.9,0.13,1.1,18.5,NJN,Stanford,12,23386,12878,Player
18.6,21.3,Jerryd Bayless,586,2008,11,8.4,0.072,-2.0,0.0,IND,Arizona,11,12486,4909,Player
23.8,25.2,Jason Thompson,588,2008,12,8.9,0.077,-1.7,1.3,SAC,Rider University,8,14819,5210,Player
11.2,22.0,Brandon Rush,481,2008,13,6.8,0.051,-1.7,0.7,POR,Kansas,9,10564,3250,Player
0.5,11.1,Joe Alexander,67,2008,8,4.2,0.03,-3.3,-0.2,MIL,West Virginia,2,745,282,Bust
44.2,22.6,Robin Lopez,810,2008,15,8.9,0.116,0.0,9.3,PHO,Stanford,12,18274,7191,Player
5.8,15.2,Anthony Randolph,252,2008,14,7.1,0.072,-2.1,-0.1,GSW,LSU,6,3841,1789,Player
64.3,27.8,George Hill,770,2008,26,11.2,0.144,1.7,20.2,SAS,IUPUI,12,21399,8592,Player
28.3,16.4,Kosta Koufos,686,2008,23,5.7,0.12,-0.9,3.3,UTA,Ohio State,11,11271,3913,Player
38.8,27.2,Courtney Lee,797,2008,22,9.6,0.086,-0.2,9.8,ORL,Western Kentucky,12,21673,7691,Player
12.3,17.8,Darrell Arthur,503,2008,27,6.5,0.066,-1.9,0.3,NOH,Kansas,9,8945,3282,Player
21.9,22.3,J.J. Hickson,534,2008,19,9.5,0.088,-2.3,-0.9,CLE,NC State,8,11925,5081,Player
35.5,17.4,JaVale McGee,678,2008,18,8.0,0.145,0.2,6.5,WAS,Nevada,12,11765,5400,Player
35.9,24.8,Roy Hibbert,662,2008,17,10.0,0.105,0.2,9.1,TOR,Georgetown,9,16389,6611,Player
25.8,15.1,Marreese Speights,705,2008,16,7.9,0.116,-2.8,-2.2,PHI,Florida,10,10640,5592,Player
46.7,25.8,Ryan Anderson,649,2008,21,12.3,0.134,0.6,11.0,NJN,California,12,16769,8001,Player
13.9,19.7,Chase Budinger,407,2009,44,7.9,0.083,-1.4,1.2,DET,Arizona,7,7998,3198,Player
20.0,23.4,Marcus Thornton,483,2009,43,11.9,0.085,-0.8,3.4,MIA,LSU,8,11299,5750,Player
27.7,28.3,Patrick Beverley,417,2009,42,9.0,0.113,2.1,12.3,LAL,Arkansas,8,11806,3747,Player
24.3,22.5,Jodie Meeks,539,2009,41,9.3,0.096,-0.6,4.2,MIL,Kentucky,10,12110,4988,Player
4.5,14.9,Derrick Brown,171,2009,40,5.2,0.085,-1.6,0.2,CHA,Xavier,3,2554,895,Player
19.0,16.6,DeJuan Blair,424,2009,37,6.8,0.129,0.4,4.2,SAS,Pitt,7,7054,2865,Player
3.7,10.5,Jon Brockman,150,2009,38,2.1,0.113,-2.1,0.0,POR,Washington,3,1570,320,Player
5.2,15.9,Sam Young,249,2009,36,5.8,0.063,-2.9,-0.9,MEM,Pitt,4,3966,1436,Player
24.9,20.8,Dante Cunningham,715,2009,33,5.8,0.08,-1.0,3.7,POR,Villanova,10,14875,4133,Player
2.6,15.6,Nick Calathes,129,2009,45,4.6,0.063,-0.7,0.6,MIN,Florida,2,2011,590,Bust
41.8,25.4,Danny Green,666,2009,46,9.0,0.119,2.9,20.9,CLE,UNC,11,16920,5978,Player
0.2,12.1,Jermaine Taylor,65,2009,32,5.4,0.014,-4.6,-0.5,WAS,Central Florida,2,786,351,Bust
0.0,4.0,Taylor Griffin,8,2009,48,1.3,-0.039,-7.3,0.0,PHO,Oklahoma,1,32,10,Bust
0.0,0.0,Goran Suton,0,2009,50,0.0,0.0,0.0,0.0,UTA,Michigan State,0,0,0,Bust
0.0,0.0,Jack McClinton,0,2009,51,0.0,0.0,0.0,0.0,SAS,Miami (FL),0,0,0,Bust
4.7,15.1,A.J. Price,261,2009,52,5.8,0.058,-2.4,-0.4,IND,UConn,6,3929,1523,Player
0.0,0.0,Robert Vaden,0,2009,54,0.0,0.0,0.0,0.0,CHA,University of Alabama at Birmingham,0,0,0,Bust
29.6,19.3,Patty Mills,652,2009,55,8.7,0.113,0.4,7.6,POR,Saint Mary's,11,12596,5648,Player
0.0,0.0,Ahmad Nivins,0,2009,56,0.0,0.0,0.0,0.0,DAL,Saint Joseph's,0,0,0,Bust
0.2,10.4,Lester Hudson,57,2009,58,4.7,0.016,-2.7,-0.1,BOS,University of Tennessee at Martin,4,594,268,Player
0.0,0.0,Chinemelu Elonu,0,2009,59,0.0,0.0,0.0,0.0,LAL,Texas A&M,0,0,0,Bust
0.0,0.0,Robert Dozier,0,2009,60,0.0,0.0,0.0,0.0,MIA,Memphis,0,0,0,Bust
6.3,9.8,Jeff Ayres,237,2009,31,2.9,0.131,-1.4,0.4,SAC,Arizona State,6,2322,690,Player
-0.1,9.9,DaJuan Summers,83,2009,35,3.3,-0.008,-6.4,-0.9,DET,Georgetown,4,820,278,Player
12.1,19.1,Toney Douglas,394,2009,29,7.6,0.077,-0.6,2.6,LAL,Florida State,8,7511,3009,Player
4.8,10.5,Hasheem Thabeet,224,2009,2,2.2,0.099,-1.4,0.4,MEM,UConn,5,2357,483,Player
130.6,34.3,James Harden,810,2009,3,25.0,0.226,7.2,64.5,OKC,Arizona State,11,27775,20231,Player
28.4,30.7,Tyreke Evans,594,2009,4,15.7,0.075,0.7,12.6,SAC,Memphis,10,18242,9347,Player
-1.1,22.9,Jonny Flynn,163,2009,6,9.2,-0.015,-4.9,-2.7,MIN,Syracuse,3,3738,1504,Player
103.1,34.3,Stephen Curry,698,2009,7,23.5,0.206,6.5,51.2,GSW,Davidson,11,23971,16396,Player
16.4,18.8,Jordan Hill,409,2009,8,7.9,0.102,-2.0,0.0,NYK,Arizona,8,7692,3232,Player
65.6,34.2,DeMar DeRozan,799,2009,9,20.0,0.115,-0.3,11.5,TOR,USC,11,27291,16014,Player
-0.2,19.1,Terrence Williams,153,2009,11,7.1,-0.004,-3.8,-1.4,NJN,Louisville,4,2922,1085,Player
18.3,25.9,Gerald Henderson,535,2009,12,11.2,0.063,-2.2,-0.9,CHA,Duke,8,13854,5987,Player
20.2,16.9,Tyler Hansbrough,428,2009,13,6.7,0.134,-2.5,-1.0,IND,UNC,7,7233,2881,Player
2.9,13.9,Earl Clark,261,2009,14,4.4,0.038,-3.6,-1.5,PHO,Louisville,6,3630,1138,Player
4.5,14.1,Austin Daye,293,2009,15,5.2,0.053,-2.6,-0.6,DET,Gonzaga,6,4132,1522,Player
75.3,34.8,Blake Griffin,622,2009,1,21.7,0.167,3.8,32.0,LAC,Oklahoma,10,21671,13479,Player
41.5,33.2,Jrue Holiday,692,2009,17,15.8,0.087,1.3,19.2,PHI,UCLA,11,22997,10946,Player
17.7,21.0,Wayne Ellington,669,2009,28,8.0,0.06,-2.1,-0.3,MIN,UNC,11,14058,5373,Player
29.2,23.8,DeMarre Carroll,569,2009,27,9.0,0.104,0.6,8.9,MEM,Missouri,11,13520,5096,Player
51.4,25.3,Taj Gibson,783,2009,26,9.6,0.124,0.1,10.3,CHI,USC,11,19828,7486,Player
23.9,20.6,James Johnson,619,2009,16,7.9,0.09,1.0,9.7,CHI,Wake Forest,11,12728,4883,Player
0.6,18.2,Byron Mullens,189,2009,24,7.4,0.008,-4.6,-2.3,DAL,Ohio State,5,3446,1398,Player
49.9,29.4,Darren Collison,708,2009,21,12.5,0.115,0.1,11.1,NOH,UCLA,10,20796,8857,Player
3.3,14.6,Eric Maynor,267,2009,20,4.3,0.041,-4.7,-2.7,UTA,Virginia Commonwealth,5,3896,1141,Player
50.5,27.7,Jeff Teague,753,2009,19,12.7,0.116,-0.1,9.7,ATL,Wake Forest,11,20836,9539,Player
42.1,29.2,Ty Lawson,551,2009,18,12.7,0.126,0.7,10.9,MIN,UNC,8,16088,6977,Player
1.7,7.6,Jerome Jordan,65,2010,44,2.8,0.168,0.0,0.2,MIL,Tulsa,2,491,180,Bust
0.5,11.3,Devin Ebanks,63,2010,43,3.6,0.035,-4.7,-0.5,LAL,West Virginia,3,711,224,Player
0.0,0.0,Da'Sean Butler,0,2010,42,0.0,0.0,0.0,0.0,MIA,West Virginia,0,0,0,Bust
0.7,10.7,Jarvis Varnado,37,2010,41,2.9,0.089,-1.9,0.0,MIA,Mississippi State,2,397,107,Bust
16.7,23.4,Lance Stephenson,508,2010,40,8.6,0.068,-0.8,3.6,IND,Cincinnati,9,11866,4354,Player
42.9,26.6,Hassan Whiteside,388,2010,33,13.7,0.2,0.8,7.4,SAC,Marshall,8,10309,5300,Player
-0.2,4.8,Andy Rautins,5,2010,38,1.6,-0.314,-16.0,-0.1,NYK,Syracuse,1,24,8,Bust
-0.2,7.8,Darington Hobson,5,2010,37,0.8,-0.225,-14.1,-0.1,MIL,New Mexico,1,39,4,Bust
0.0,0.0,Terrico White,0,2010,36,0.0,0.0,0.0,0.0,DET,Ole Miss,0,0,0,Bust
-0.1,8.5,Armon Johnson,47,2010,34,3.3,-0.015,-6.2,-0.4,POR,Nevada,2,401,157,Bust
10.5,23.6,Landry Fields,255,2010,39,6.8,0.084,-0.1,2.8,NYK,Stanford,5,6010,1731,Player
0.0,2.0,Gani Lawal,1,2010,46,0.0,-0.009,-4.9,0.0,PHO,Georgia Tech,1,2,0,Bust
0.0,7.0,Solomon Alabi,26,2010,50,1.5,0.01,-5.4,-0.2,DAL,Florida State,2,181,39,Bust
0.0,0.0,Magnum Rolle,0,2010,51,0.0,0.0,0.0,0.0,OKC,Louisiana Tech,0,0,0,Bust
0.9,12.4,Luke Harangody,70,2010,52,3.6,0.048,-3.3,-0.3,BOS,Notre Dame,2,871,253,Bust
0.2,7.1,Willie Warren,19,2010,54,1.9,0.065,-4.5,-0.1,LAC,Oklahoma,1,134,37,Bust
8.2,10.5,Jeremy Evans,250,2010,55,3.5,0.15,1.0,2.0,UTA,Western Kentucky,7,2626,879,Player
0.0,4.8,Hamady N'Diaye,33,2010,56,0.6,0.013,-4.9,-0.1,MIN,Rutgers University,3,157,20,Player
0.1,3.4,Ryan Reid,5,2010,57,1.6,0.142,-5.5,0.0,IND,Florida State,1,17,8,Bust
