Win Shares,Mins Played (per game),Player,Games,Year,Rank,Points(per game),WS/48,Box +/-,Value Overall Replacement Player,Team,College,Years,Mins Played (Total),Points (Total),Class
19.2,22.2,Earl Watson,878,2001,40,6.4,0.047,-1.8,1.0,SEA,UCLA,13,19494,5593,Player
-0.1,9.7,Omar Cook,22,2001,32,1.7,-0.021,-6.1,-0.2,ORL,St. John's,2,213,37,Bust
-0.2,8.7,Jeff Trepagnier,31,2001,36,2.8,-0.038,-4.8,-0.2,CLE,USC,3,270,88,Player
7.6,13.0,Brian Scalabrine,520,2001,35,3.1,0.054,-2.6,-1.1,NJN,USC,11,6772,1594,Player
1.0,13.9,Terence Morris,139,2001,34,3.4,0.025,-3.6,-0.8,ATL,Maryland,3,1934,472,Player
0.0,13.8,Will Solomon,115,2001,33,5.1,0.0,-4.7,-1.1,MEM,Clemson,2,1584,584,Bust
0.0,0.0,Eric Chenowith,0,2001,43,0.0,0.0,0.0,0.0,NYK,Kansas,0,0,0,Bust
-0.7,9.0,Damone Brown,39,2001,37,2.8,-0.1,-10.3,-0.7,PHI,Syracuse,4,351,108,Player
0.0,0.0,Kyle Hill,0,2001,44,0.0,0.0,0.0,0.0,DAL,Eastern Illinois University,0,0,0,Bust
0.0,0.0,Bryan Bracey,0,2001,58,0.0,0.0,0.0,0.0,SAS,Oregon,0,0,0,Bust
3.1,11.3,Loren Woods,215,2001,46,2.6,0.062,-2.9,-0.6,MIN,Arizona,6,2428,555,Player
0.0,9.8,Ken Johnson,16,2001,49,2.0,-0.002,-10.0,-0.3,MIA,Ohio State,1,156,32,Bust
0.2,6.3,Ruben Boumtje-Boumtje,44,2001,50,1.0,0.027,-4.5,-0.2,POR,Georgetown,3,276,43,Player
0.8,7.2,Alton Ford,73,2001,51,2.5,0.074,-6.5,-0.6,PHO,Houston,3,524,186,Player
0.0,0.0,Andre Hutson,0,2001,52,0.0,0.0,0.0,0.0,MIL,Michigan State,0,0,0,Bust
15.7,15.8,Jarron Collins,542,2001,53,3.9,0.088,-1.8,0.5,UTA,Stanford,10,8542,2095,Player
-1.1,14.2,Kenny Satterfield,75,2001,54,4.3,-0.051,-6.1,-1.1,DAL,Cincinnati,2,1062,321,Bust
0.0,0.0,Maurice Jeffers,0,2001,55,0.0,0.0,0.0,0.0,SAC,Saint Louis,0,0,0,Bust
0.1,5.5,Alvin Jones,23,2001,57,1.1,0.034,-4.5,-0.1,PHI,Georgia Tech,1,126,26,Bust
51.3,35.1,Gilbert Arenas,552,2001,31,20.7,0.127,2.9,24.1,GSW,Arizona,11,19351,11402,Player
1.1,12.2,Sean Lampley,45,2001,45,4.5,0.096,-3.2,-0.2,CHI,California,2,550,203,Bust
13.8,25.3,Trenton Hassell,644,2001,30,5.8,0.041,-2.3,-1.3,CHI,Austin Peay State University,9,16278,3741,Player
10.6,15.0,Steven Hunter,400,2001,15,4.5,0.085,-2.8,-1.3,ORL,DePaul,8,5993,1817,Player
59.1,34.1,Jason Richardson,857,2001,5,17.1,0.097,1.3,24.4,GSW,Michigan State,13,29241,14644,Player
75.7,30.7,Shane Battier,977,2001,6,8.6,0.121,2.9,37.0,MEM,Duke,13,30004,8408,Player
10.9,22.2,Eddie Griffin,303,2001,7,7.2,0.078,-1.0,1.7,NJN,Seton Hall,5,6729,2171,Player
1.8,15.4,Rodney White,218,2001,9,7.1,0.026,-3.8,-1.5,DET,UNC Charlotte,4,3354,1540,Player
82.8,34.7,Joe Johnson,1276,2001,10,16.0,0.09,0.4,26.4,BOS,Arkansas,17,44234,20405,Player
3.0,13.5,Kedrick Brown,143,2001,11,3.6,0.074,-2.2,-0.1,BOS,Okaloosa-Walton Community College,4,1935,509,Player
83.0,29.0,Richard Jefferson,1181,2001,13,12.6,0.116,0.3,19.8,HOU,Arizona,17,34293,14904,Player
51.3,24.4,Samuel Dalembert,886,2001,26,7.7,0.114,-0.7,7.2,PHI,Seton Hall,13,21646,6814,Player
17.2,26.4,Jamaal Tinsley,547,2001,27,8.5,0.057,-0.4,5.7,MEM,Iowa State,11,14443,4652,Player
50.3,27.3,Troy Murphy,729,2001,14,10.8,0.121,-0.1,9.5,GSW,Notre Dame,12,19921,7860,Player
59.7,29.7,Gerald Wallace,832,2001,25,11.9,0.116,2.4,27.3,SAC,Alabama,14,24731,9933,Player
-0.6,6.5,Brandon Armstrong,108,2001,23,2.2,-0.039,-8.6,-1.2,HOU,Pepperdine,3,699,239,Player
-0.4,5.0,Joseph Forte,25,2001,21,1.2,-0.166,-10.1,-0.3,BOS,UNC,2,125,30,Bust
0.7,12.9,Jeryl Sasser,82,2001,22,2.5,0.032,-2.9,-0.2,ORL,SMU,2,1061,204,Bust
81.1,31.0,Zach Randolph,1116,2001,19,16.6,0.112,-0.4,13.6,POR,Michigan State,17,34616,18578,Player
20.1,20.4,Jason Collins,735,2001,18,3.6,0.064,-2.0,0.2,HOU,Stanford,13,14974,2621,Player
2.0,11.7,Michael Bradley,173,2001,17,2.8,0.047,-3.7,-0.9,TOR,Villanova,5,2016,483,Player
-0.5,5.0,Kirk Haston,27,2001,16,1.2,-0.197,-13.5,-0.4,CHH,Indiana,2,134,32,Bust
43.8,22.9,Brendan Haywood,816,2001,20,6.8,0.113,-0.2,8.4,CLE,UNC,13,18680,5538,Player
0.0,0.0,Rod Grizzard,0,2002,39,0.0,0.0,0.0,0.0,WAS,Alabama,0,0,0,Bust
8.5,22.7,Ronald Murray,487,2002,42,9.9,0.037,-2.9,-2.6,MIL,Shaw,8,11077,4817,Player
0.0,3.9,Tito Maddox,9,2002,38,1.2,-0.011,-2.2,0.0,HOU,Fresno State,1,35,11,Bust
0.0,7.5,Robert Archibald,44,2002,32,1.2,-0.004,-5.0,-0.2,MEM,Illinois,2,328,51,Bust
80.3,31.2,Carlos Boozer,861,2002,35,16.2,0.143,1.2,22.1,CLE,Duke,13,26901,13976,Player
15.8,14.8,Dan Gadzuric,527,2002,34,4.7,0.097,-1.3,1.3,MIL,UCLA,10,7793,2465,Player
1.0,23.4,Vincent Yarbrough,59,2002,33,6.9,0.035,-2.4,-0.1,DEN,Tennessee,1,1381,406,Bust
0.0,0.0,Jason Jennings,0,2002,43,0.0,0.0,0.0,0.0,POR,Arkansas State University,0,0,0,Bust
2.9,11.6,Lonny Baxter,162,2002,44,3.9,0.075,-5.1,-1.5,CHI,Maryland,4,1884,637,Player
0.1,11.0,Corsley Edwards,10,2002,58,2.7,0.026,-5.2,-0.1,SAC,Central Connecticut State University,1,110,27,Bust
42.8,23.6,Matt Barnes,929,2002,46,8.2,0.093,1.0,16.7,MEM,UCLA,14,21967,7589,Player
1.4,8.8,Jamal Sampson,72,2002,47,2.0,0.106,-2.1,0.0,UTA,California,5,631,142,Player
0.0,6.0,Chris Owens,1,2002,48,4.0,-0.032,-10.7,0.0,MIL,Texas,1,6,4,Bust
15.9,18.6,Darius Songaila,495,2002,50,6.9,0.083,-1.7,0.7,BOS,Wake Forest,8,9229,3415,Player
0.0,0.0,Marcus Taylor,0,2002,52,0.0,0.0,0.0,0.0,MIN,Michigan State,0,0,0,Bust
20.8,21.3,Rasual Butler,809,2002,53,7.5,0.058,-2.1,-0.4,MIA,La Salle,13,17219,6092,Player
-0.3,7.8,Tamar Slay,66,2002,54,2.6,-0.029,-6.0,-0.5,NJN,Marshall,3,517,173,Player
0.0,2.8,Randy Holcomb,4,2002,57,0.5,0.15,-1.8,0.0,SAS,San Diego State,1,11,2,Bust
13.0,17.7,Roger Mason,518,2002,31,6.3,0.068,-1.8,0.5,CHI,Virginia,10,9147,3289,Player
0.0,0.0,Sam Clancy,0,2002,45,0.0,0.0,0.0,0.0,PHI,USC,0,0,0,Bust
0.0,0.0,Steve Logan,0,2002,30,0.0,0.0,0.0,0.0,GSW,Cincinnati,0,0,0,Bust
5.9,15.4,Dan Dickau,300,2002,28,5.8,0.061,-2.3,-0.4,SAC,Gonzaga,6,4617,1745,Player
0.8,26.1,Jay Williams,75,2002,2,9.5,0.02,-2.2,-0.1,CHI,Duke,1,1961,714,Bust
