,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
17,17,MIL,Rashad Vaughn,UNLV,3,139,1671,423,158,75,0.337,0.313,0.692,12,3,1.1,0.5,-0.6,-0.017,-5.6,-1.5
18,18,HOU,Sam Dekker,Wisconsin,4,200,3096,1094,607,160,0.478,0.288,0.606,15.5,5.5,3,0.8,5.4,0.083,-1.9,0.1
19,19,WAS,Jerian Grant,Notre Dame,4,273,4918,1665,524,796,0.412,0.324,0.771,18,6.1,1.9,2.9,8.3,0.081,-2,0
20,20,TOR,Delon Wright,Utah,5,244,4765,1800,727,681,0.452,0.34,0.793,19.5,7.4,3,2.8,13.8,0.139,2,4.8
21,21,DAL,Justin Anderson,Virginia,5,219,2874,1157,556,143,0.418,0.3,0.776,13.1,5.3,2.5,0.7,4.6,0.077,-1.9,0.1
22,22,CHI,Bobby Portis,Arkansas,5,298,6065,3013,1796,359,0.454,0.359,0.748,20.4,10.1,6,1.2,10.2,0.081,-2,0
23,23,POR,Rondae Hollis-Jefferson,Arizona,5,272,6277,2605,1564,526,0.447,0.217,0.738,23.1,9.6,5.8,1.9,11.5,0.088,-0.7,2
24,24,CLE,Tyus Jones,Duke,5,296,5298,1561,458,1044,0.425,0.338,0.812,17.9,5.3,1.5,3.5,10.1,0.091,-1.7,0.4
25,25,MEM,Jarell Martin,LSU,4,184,2927,998,639,114,0.434,0.346,0.766,15.9,5.4,3.5,0.6,3.2,0.053,-3.8,-1.3
26,26,SAS,Nikola Milutinov,,,,,,,,,,,,,,,,,,
27,27,LAL,Larry Nance,Wyoming,5,299,6900,2356,1974,509,0.537,0.317,0.693,23.1,7.9,6.6,1.7,19,0.132,2.1,7.2
28,28,BOS,R.J. Hunter,Georgia State University,4,45,395,133,46,19,0.371,0.295,0.818,8.8,3,1,0.4,0.4,0.051,-3.3,-0.1
29,29,BRK,Chris McCullough,Syracuse,3,59,532,194,112,15,0.426,0.306,0.548,9,3.3,1.9,0.3,0.6,0.054,-2.3,0
30,30,GSW,Kevon Looney,UCLA,5,214,2964,937,795,198,0.583,0.214,0.593,13.9,4.4,3.7,0.9,10.2,0.165,1.9,2.9
31,31,MIN,Cedi Osman,,3,186,4535,1765,643,350,0.44,0.364,0.719,24.4,9.5,3.5,1.9,3.8,0.04,-2,0
32,32,HOU,Montrezl Harrell,Louisville,5,302,6244,3772,1462,403,0.613,0.106,0.629,20.7,12.5,4.8,1.3,24.2,0.186,2.5,7
33,33,BOS,Jordan Mickey,LSU,3,64,482,152,128,17,0.449,0.118,0.605,7.5,2.4,2,0.3,0.5,0.05,-4.8,-0.3
34,34,LAL,Anthony Brown,Stanford,3,41,762,161,103,28,0.328,0.286,0.85,18.6,3.9,2.5,0.7,-0.2,-0.016,-4.8,-0.5
35,35,PHI,Willy Hernangómez,,4,197,2796,1355,1055,197,0.534,0.363,0.682,14.2,6.9,5.4,1,8.2,0.141,0,1.4
36,36,MIN,Rakeem Christmas,Syracuse,2,30,225,63,57,4,0.467,,0.724,7.5,2.1,1.9,0.1,0.5,0.105,-4,-0.1
37,37,PHI,Richaun Holmes,Bowling Green,5,263,4912,2213,1302,249,0.584,0.257,0.727,18.7,8.4,5,0.9,17,0.166,1.6,4.5
38,38,DET,Darrun Hilliard,Villanova,3,91,859,295,85,71,0.377,0.304,0.747,9.4,3.2,0.9,0.8,0.3,0.016,-5.1,-0.7
39,39,CHO,Juan Pablo Vaulet,,,,,,,,,,,,,,,,,,
40,40,MIA,Josh Richardson,Tennessee,5,297,9147,3703,948,871,0.427,0.363,0.82,30.8,12.5,3.2,2.9,17.7,0.093,0.5,5.8
41,41,BRK,Pat Connaughton,Notre Dame,5,260,3989,1209,692,322,0.439,0.34,0.78,15.3,4.7,2.7,1.2,8.6,0.104,-0.4,1.6
42,42,UTA,Olivier Hanlan,Boston College,,,,,,,,,,,,,,,,,
43,43,IND,Joe Young,Oregon,3,127,1077,429,130,119,0.393,0.296,0.768,8.5,3.4,1,0.9,0.4,0.016,-5.3,-0.9
44,44,PHO,Andrew Harrison,Kentucky,3,145,2987,1012,287,399,0.373,0.294,0.779,20.6,7,2,2.8,3.2,0.051,-2.7,-0.5
45,45,BOS,Marcus Thornton,College of William & Mary,,,,,,,,,,,,,,,,,
46,46,MIL,Norman Powell,UCLA,5,293,5353,2391,685,373,0.454,0.358,0.815,18.3,8.2,2.3,1.3,10.7,0.096,-0.8,1.6
47,47,PHI,Artūras Gudaitis,,,,,,,,,,,,,,,,,,
48,48,OKC,Dakari Johnson,Kentucky,1,31,161,55,34,8,0.564,,0.55,5.2,1.8,1.1,0.3,0.6,0.178,0.3,0.1
49,49,WAS,Aaron White,Iowa,,,,,,,,,,,,,,,,,
50,50,ATL,Marcus Eriksson,,,,,,,,,,,,,,,,,,
51,51,ORL,Tyler Harvey,Eastern Washington,,,,,,,,,,,,,,,,,
52,52,DAL,Satnam Singh Bhamara,,,,,,,,,,,,,,,,,,
53,53,CLE,Sir'Dominic Pointer,St. John's,,,,,,,,,,,,,,,,,
54,54,UTA,Dani Díez de la Faya,,,,,,,,,,,,,,,,,,
55,55,SAS,Cady Lalanne,UMass,,,,,,,,,,,,,,,,,
56,56,NOP,Branden Dawson,Michigan State,1,6,29,5,4,0,0.4,,1,4.8,0.8,0.7,0,0,0.069,-6.6,0
57,57,DEN,Nikola Radičević,,,,,,,,,,,,,,,,,,
58,58,PHI,J.P. Tokoto,UNC,,,,,,,,,,,,,,,,,
59,59,ATL,Dimitrios Agravanis,,,,,,,,,,,,,,,,,,
60,60,PHI,Luka Mitrović,,,,,,,,,,,,,,,,,,
