,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIN,Karl-Anthony Towns,Kentucky,5,353,12124,7993,4153,966,0.534,0.396,0.833,34.3,22.6,11.8,2.7,50,0.198,5.3,22.3
2,2,LAL,D'Angelo Russell,Ohio State,5,303,8751,5236,1111,1576,0.421,0.357,0.766,28.9,17.3,3.7,5.2,8,0.044,0.5,5.6
3,3,PHI,Jahlil Okafor,Duke,5,215,4416,2386,1089,210,0.536,0.235,0.676,20.5,11.1,5.1,1,6.4,0.069,-3.2,-1.3
4,4,NYK,Kristaps Porziņģis,,4,223,6892,3950,1649,300,0.431,0.356,0.794,30.9,17.7,7.4,1.3,14.1,0.098,-0.3,2.9
5,5,ORL,Mario Hezonja,,5,312,5813,2181,974,392,0.414,0.318,0.814,18.6,7,3.1,1.3,2.7,0.022,-3.1,-1.6
6,6,SAC,Willie Cauley-Stein,Kentucky,5,338,8054,3300,2143,546,0.536,0.222,0.612,23.8,9.8,6.3,1.6,19.8,0.118,0.7,5.5
7,7,DEN,Emmanuel Mudiay,,5,288,7020,3211,862,1124,0.4,0.323,0.741,24.4,11.1,3,3.9,-0.2,-0.001,-3.6,-2.8
8,8,DET,Stanley Johnson,Arizona,5,301,6240,2006,980,428,0.373,0.291,0.764,20.7,6.7,3.3,1.4,3.2,0.024,-2.2,-0.3
9,9,CHO,Frank Kaminsky,Wisconsin,5,314,6970,3110,1280,523,0.423,0.349,0.749,22.2,9.9,4.1,1.7,12.4,0.086,-1.1,1.5
10,10,MIA,Justise Winslow,Duke,5,241,6848,2181,1295,657,0.417,0.337,0.646,28.4,9,5.4,2.7,7.8,0.055,-0.9,1.9
11,11,IND,Myles Turner,Texas,5,318,8962,4063,2098,393,0.489,0.356,0.768,28.2,12.8,6.6,1.2,24.6,0.132,1.4,7.8
12,12,UTA,Trey Lyles,Kentucky,5,335,5863,2419,1395,359,0.428,0.33,0.702,17.5,7.2,4.2,1.1,9.2,0.075,-2.3,-0.5
13,13,PHO,Devin Booker,Kentucky,5,317,10568,7038,1127,1441,0.448,0.355,0.866,33.3,22.2,3.6,4.5,15,0.068,-0.6,3.7
14,14,OKC,Cameron Payne,Murray State,4,153,2454,914,274,382,0.397,0.331,0.775,16,6,1.8,2.5,2.2,0.044,-2.9,-0.6
15,15,ATL,Kelly Oubre,Kansas,5,338,8013,3590,1387,313,0.431,0.326,0.779,23.7,10.6,4.1,0.9,11.6,0.07,-1.9,0.2
16,16,BOS,Terry Rozier,Louisville,5,320,7076,2961,1188,837,0.391,0.364,0.805,22.1,9.3,3.7,2.6,12.1,0.082,-0.5,2.6
