,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CHI,Derrick Rose,Memphis,11,589,19254,11094,2020,3310,0.457,0.305,0.827,32.7,18.8,3.4,5.6,40.1,0.1,0.3,11.3
2,2,MIA,Michael Beasley,Kansas State,11,609,13903,7568,2861,788,0.465,0.349,0.759,22.8,12.4,4.7,1.3,15.6,0.054,-3.2,-4.3
3,3,MIN,O.J. Mayo,USC,8,547,16919,7574,1706,1607,0.429,0.373,0.82,30.9,13.8,3.1,2.9,21.8,0.062,-0.8,5.1
4,4,SEA,Russell Westbrook,UCLA,12,862,29803,19944,6090,7200,0.436,0.304,0.801,34.6,23.1,7.1,8.4,100.2,0.161,6.4,63.1
5,5,MEM,Kevin Love,UCLA,12,699,22332,12741,7806,1639,0.443,0.371,0.828,31.9,18.2,11.2,2.3,80.8,0.174,2.6,25.7
6,6,NYK,Danilo Gallinari,,11,591,18337,9526,2907,1215,0.427,0.38,0.873,31,16.1,4.9,2.1,55.2,0.144,1.3,15.1
7,7,LAC,Eric Gordon,Indiana,12,653,21503,10880,1619,1878,0.426,0.372,0.811,32.9,16.7,2.5,2.9,34.4,0.077,-1,5.4
8,8,MIL,Joe Alexander,West Virginia,2,67,745,282,120,44,0.41,0.34,0.698,11.1,4.2,1.8,0.7,0.5,0.03,-3.3,-0.2
9,9,CHA,D.J. Augustin,Texas,12,846,20432,8345,1616,3388,0.412,0.38,0.864,24.2,9.9,1.9,4,44.3,0.104,-1.5,2.7
10,10,NJN,Brook Lopez,Stanford,12,763,23386,12878,4905,1165,0.494,0.339,0.793,30.7,16.9,6.4,1.5,63.4,0.13,1.1,18.5
11,11,IND,Jerryd Bayless,Arizona,11,586,12486,4909,1235,1674,0.411,0.361,0.818,21.3,8.4,2.1,2.9,18.6,0.072,-2,0
12,12,SAC,Jason Thompson,Rider University,8,588,14819,5210,3880,635,0.496,0.143,0.657,25.2,8.9,6.6,1.1,23.8,0.077,-1.7,1.3
13,13,POR,Brandon Rush,Kansas,9,481,10564,3250,1413,468,0.426,0.402,0.706,22,6.8,2.9,1,11.2,0.051,-1.7,0.7
14,14,GSW,Anthony Randolph,LSU,6,252,3841,1789,1078,187,0.453,0.241,0.74,15.2,7.1,4.3,0.7,5.8,0.072,-2.1,-0.1
15,15,PHO,Robin Lopez,Stanford,12,810,18274,7191,4162,670,0.53,0.25,0.751,22.6,8.9,5.1,0.8,44.2,0.116,0,9.3
16,16,PHI,Marreese Speights,Florida,10,705,10640,5592,2875,461,0.459,0.356,0.797,15.1,7.9,4.1,0.7,25.8,0.116,-2.8,-2.2
17,17,TOR,Roy Hibbert,Georgetown,9,662,16389,6611,4173,885,0.465,0.25,0.755,24.8,10,6.3,1.3,35.9,0.105,0.2,9.1
18,18,WAS,JaVale McGee,Nevada,12,678,11765,5400,3481,271,0.574,0.156,0.59,17.4,8,5.1,0.4,35.5,0.145,0.2,6.5
19,19,CLE,J.J. Hickson,NC State,8,534,11925,5081,3639,449,0.505,0,0.617,22.3,9.5,6.8,0.8,21.9,0.088,-2.3,-0.9
20,20,CHA,Alexis Ajinça,,7,293,3905,1553,1150,143,0.503,0.286,0.797,13.3,5.3,3.9,0.5,7.5,0.093,-2.5,-0.5
21,21,NJN,Ryan Anderson,California,12,649,16769,8001,3413,586,0.422,0.38,0.854,25.8,12.3,5.3,0.9,46.7,0.134,0.6,11
