,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
22,22,ORL,Courtney Lee,Western Kentucky,12,797,21673,7691,2100,1344,0.451,0.388,0.853,27.2,9.6,2.6,1.7,38.8,0.086,-0.2,9.8
23,23,UTA,Kosta Koufos,Ohio State,11,686,11271,3913,3452,359,0.534,0,0.582,16.4,5.7,5,0.5,28.3,0.12,-0.9,3.3
24,24,SEA,Serge Ibaka,,11,792,22656,9900,5806,596,0.514,0.36,0.76,28.6,12.5,7.3,0.8,66.9,0.142,0.6,14.8
25,25,HOU,Nicolas Batum,,12,789,24733,9118,4137,2967,0.434,0.357,0.841,31.3,11.6,5.2,3.8,54.7,0.106,2.3,26.8
26,26,SAS,George Hill,IUPUI,12,770,21399,8592,2386,2456,0.457,0.385,0.802,27.8,11.2,3.1,3.2,64.3,0.144,1.7,20.2
27,27,NOH,Darrell Arthur,Kansas,9,503,8945,3282,1768,409,0.444,0.352,0.765,17.8,6.5,3.5,0.8,12.3,0.066,-1.9,0.3
28,28,MEM,Donté Greene,Syracuse,4,253,4259,1541,600,183,0.406,0.304,0.701,16.8,6.1,2.4,0.7,1.5,0.017,-3.8,-2
29,29,DET,D.J. White,Indiana,6,138,2111,810,437,80,0.507,0.333,0.72,15.3,5.9,3.2,0.6,3.8,0.087,-3.4,-0.7
30,30,BOS,J.R. Giddens,New Mexico,2,38,247,73,54,13,0.476,0,0.565,6.5,1.9,1.4,0.3,0.1,0.027,-4.6,-0.2
31,31,MIN,Nikola Peković,,6,271,6744,3405,1807,199,0.518,,0.76,24.9,12.6,6.7,0.7,18.8,0.134,-0.8,2
32,32,SEA,Walter Sharpe,University of Alabama at Birmingham,1,8,20,8,3,0,0.364,0,0,2.5,1,0.4,0,-0.1,-0.131,-16.5,-0.1
33,33,POR,Joey Dorsey,Memphis,4,130,1488,344,513,55,0.534,0,0.375,11.4,2.6,3.9,0.4,2.9,0.092,-1.3,0.3
34,34,MIN,Mario Chalmers,Kansas,9,646,17245,5743,1585,2412,0.417,0.351,0.793,26.7,8.9,2.5,3.7,32.3,0.09,0.3,9.8
35,35,LAC,DeAndre Jordan,Texas A&M,12,858,23906,8141,9266,788,0.669,0.091,0.471,27.9,9.5,10.8,0.9,86.9,0.175,2.2,25.4
36,36,POR,Ömer Aşık,,8,471,9216,2479,3362,280,0.528,0,0.551,19.6,5.3,7.1,0.6,20.9,0.109,-1.5,1.1
37,37,MIL,Luc Mbah a Moute,UCLA,11,686,16013,4375,2798,588,0.454,0.335,0.66,23.3,6.4,4.1,0.9,26,0.078,-0.8,4.9
38,38,CHA,Kyle Weaver,Washington State,3,73,1379,363,158,119,0.441,0.353,0.736,18.9,5,2.2,1.6,1.5,0.051,-1.3,0.3
39,39,CHI,Sonny Weems,Arkansas,4,183,3335,1189,402,257,0.465,0.283,0.702,18.2,6.5,2.2,1.4,0,0.001,-4.2,-1.9
40,40,NJN,Chris Douglas-Roberts,Memphis,6,222,4381,1571,472,254,0.439,0.329,0.831,19.7,7.1,2.1,1.1,5.4,0.059,-2.9,-1
41,41,IND,Nathan Jawai,,2,45,431,126,106,24,0.435,0,0.684,9.6,2.8,2.4,0.5,0.2,0.02,-4,-0.2
42,42,SAC,Sean Singletary,Virginia,1,37,303,90,35,29,0.365,0.4,0.857,8.2,2.4,0.9,0.8,0,0.006,-4.9,-0.2
43,43,SAC,Patrick Ewing,Georgetown,1,7,19,3,2,2,0,0,0.75,2.7,0.4,0.3,0.3,-0.1,-0.158,-9.3,0
44,44,UTA,Ante Tomić,,,,,,,,,,,,,,,,,,
45,45,SAS,Goran Dragić,,12,794,22243,10995,2421,3827,0.465,0.365,0.761,28,13.8,3,4.8,53.2,0.115,1,17
46,46,SEA,Trent Plaisted,Brigham Young University Hawaii,,,,,,,,,,,,,,,,,
47,47,WAS,Henry Walker,Kansas State,5,181,3016,1079,401,153,0.446,0.369,0.76,16.7,6,2.2,0.8,5,0.079,-1.3,0.5
48,48,PHO,Malik Hairston,Oregon,2,62,472,149,77,29,0.512,0.167,0.514,7.6,2.4,1.2,0.5,0.8,0.086,-1.9,0
49,49,GSW,Richard Hendrix,Alabama,,,,,,,,,,,,,,,,,
50,50,SEA,DeVon Hardin,California,,,,,,,,,,,,,,,,,
51,51,DAL,Shan Foster,Vanderbilt,,,,,,,,,,,,,,,,,
52,52,MIA,Darnell Jackson,Kansas,3,138,1039,308,203,26,0.449,0.235,0.644,7.5,2.2,1.5,0.2,1.3,0.059,-4.9,-0.7
53,53,UTA,Tadija Dragićević,,,,,,,,,,,,,,,,,,
54,54,HOU,Maarty Leunen,Oregon,,,,,,,,,,,,,,,,,
55,55,POR,Mike Taylor,Iowa State,1,51,771,289,87,106,0.412,0.325,0.691,15.1,5.7,1.7,2.1,-0.4,-0.028,-5.5,-0.7
56,56,SEA,Sasha Kaun,Kansas,1,25,95,23,26,3,0.529,,0.455,3.8,0.9,1,0.1,0.2,0.096,-0.8,0
57,57,SAS,James Gist,Maryland,,,,,,,,,,,,,,,,,
58,58,LAL,Joe Crawford,Kentucky,1,2,23,9,4,1,0.3,0.25,1,11.5,4.5,2,0.5,0,0.037,-5.6,0
59,59,DET,Deron Washington,Virginia Tech,,,,,,,,,,,,,,,,,
60,60,BOS,Semih Erden,,2,69,928,262,190,29,0.546,,0.594,13.4,3.8,2.8,0.4,1.8,0.094,-2,0
