,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Kyrie Irving,Duke,9,527,17798,11831,1951,3008,0.466,0.39,0.877,33.8,22.4,3.7,5.7,61.4,0.166,3.9,26.5
2,2,MIN,Derrick Williams,Arizona,7,428,8864,3809,1693,293,0.434,0.3,0.71,20.7,8.9,4,0.7,14.1,0.076,-3.2,-2.6
3,3,UTA,Enes Kanter,,9,619,13616,7288,4730,528,0.543,0.291,0.776,22,11.8,7.6,0.9,42.8,0.151,-1.1,3
4,4,CLE,Tristan Thompson,Texas,9,609,17111,5720,5304,601,0.518,0.167,0.612,28.1,9.4,8.7,1,42.5,0.119,-0.5,6.4
5,5,TOR,Jonas Valančiūnas,,8,535,13485,6593,4629,482,0.562,0.369,0.783,25.2,12.3,8.7,0.9,49.4,0.176,0.2,7.4
6,6,WAS,Jan Veselý,,3,162,2455,590,562,96,0.521,0,0.408,15.2,3.6,3.5,0.6,4,0.078,-0.6,0.9
7,7,SAC,Bismack Biyombo,,9,626,12657,3201,3912,324,0.519,0,0.575,20.2,5.1,6.2,0.5,24.8,0.094,-2,0.1
8,8,DET,Brandon Knight,Kentucky,8,437,12916,6165,1356,1731,0.411,0.352,0.807,29.6,14.1,3.1,4,11.3,0.042,-1.6,1.5
9,9,CHA,Kemba Walker,UConn,9,647,21954,12935,2483,3520,0.419,0.36,0.837,33.9,20,3.8,5.4,53.8,0.118,2.6,25.4
10,10,MIL,Jimmer Fredette,BYU,6,241,3213,1438,243,331,0.409,0.372,0.879,13.3,6,1,1.4,2.2,0.033,-4.2,-1.8
11,11,GSW,Klay Thompson,Washington State,8,615,20340,11995,2130,1416,0.459,0.419,0.848,33.1,19.5,3.5,2.3,46.8,0.11,0.2,11.3
12,12,UTA,Alec Burks,Colorado,9,475,10389,4817,1524,875,0.42,0.357,0.789,21.9,10.1,3.2,1.8,15.4,0.071,-2,-0.1
13,13,PHO,Markieff Morris,Kansas,9,621,15986,7188,3349,1045,0.449,0.344,0.778,25.7,11.6,5.4,1.7,24.7,0.074,-0.9,4.4
14,14,HOU,Marcus Morris,Kansas,9,586,15770,7080,2739,886,0.432,0.369,0.757,26.9,12.1,4.7,1.5,29.5,0.09,-0.7,5.3
15,15,IND,Kawhi Leonard,San Diego State,9,503,15572,9237,3225,1309,0.492,0.381,0.853,31,18.4,6.4,2.6,70.9,0.219,6.2,32.2
16,16,PHI,Nikola Vučević,USC,9,573,17274,9101,5845,1438,0.497,0.338,0.747,30.1,15.9,10.2,2.5,45.4,0.126,1.9,17
17,17,NYK,Iman Shumpert,Georgia Tech,9,459,11459,3318,1533,845,0.392,0.338,0.764,25,7.2,3.3,1.8,12.9,0.054,-0.6,4.1
18,18,WAS,Chris Singleton,Florida State,3,148,2605,612,472,92,0.376,0.319,0.633,17.6,4.1,3.2,0.6,2.3,0.042,-2.3,-0.2
