,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,TOR,Andrea Bargnani,,10,550,15806,7873,2541,653,0.439,0.354,0.824,28.7,14.3,4.6,1.2,18.9,0.057,-2.2,-0.9
2,2,CHI,LaMarcus Aldridge,Texas,14,993,34190,19420,8290,1957,0.492,0.315,0.811,34.4,19.6,8.3,2,111.3,0.156,1.5,29.8
3,3,CHA,Adam Morrison,Gonzaga,3,161,3278,1200,342,222,0.373,0.331,0.71,20.4,7.5,2.1,1.4,-1.4,-0.021,-5.5,-2.9
4,4,POR,Tyrus Thomas,LSU,8,402,7932,3093,1938,347,0.438,0.235,0.732,19.7,7.7,4.8,0.9,13,0.078,-1.1,1.7
5,5,ATL,Shelden Williams,Duke,6,361,5586,1618,1562,163,0.462,0.222,0.74,15.5,4.5,4.3,0.5,9.9,0.085,-2.8,-1.2
6,6,MIN,Brandon Roy,Washington,6,326,11561,6136,1388,1517,0.459,0.348,0.8,35.5,18.8,4.3,4.7,37.4,0.155,3.2,15.2
7,7,BOS,Randy Foye,Villanova,11,752,19279,7729,1686,2112,0.401,0.366,0.852,25.6,10.3,2.2,2.8,23.5,0.058,-1.3,3.4
8,8,HOU,Rudy Gay,UConn,14,923,30852,15909,5463,2045,0.456,0.346,0.797,33.4,17.2,5.9,2.2,56.2,0.087,0.4,19
9,9,GSW,Patrick O'Bryant,Bradley,4,90,524,186,127,25,0.494,0,0.583,5.8,2.1,1.4,0.3,0.5,0.046,-3.1,-0.2
10,10,SEA,Mouhamed Sene,,3,47,260,103,75,1,0.427,,0.589,5.5,2.2,1.6,0,0.3,0.052,-9.3,-0.5
11,11,ORL,J.J. Redick,Duke,14,880,22881,11470,1810,1775,0.448,0.416,0.891,26,13,2.1,2,62.1,0.13,0,11.5
12,12,NOK,Hilton Armstrong,UConn,6,292,3378,880,766,102,0.501,0.286,0.582,11.6,3,2.6,0.3,3.9,0.055,-2.8,-0.7
13,13,PHI,Thabo Sefolosha,,14,860,18956,4973,3233,1192,0.45,0.35,0.732,22,5.8,3.8,1.4,39.1,0.099,1,14.5
14,14,UTA,Ronnie Brewer,Arkansas,8,502,11539,3940,1427,828,0.49,0.254,0.675,23,7.8,2.8,1.6,30.4,0.127,1.7,10.7
15,15,NOK,Cedric Simmons,NC State,3,75,705,163,141,14,0.409,,0.39,9.4,2.2,1.9,0.2,0.1,0.005,-5.7,-0.7
16,16,CHI,Rodney Carney,Memphis,5,299,4600,1778,588,132,0.422,0.338,0.704,15.4,5.9,2,0.4,6.2,0.064,-2.7,-0.8
17,17,IND,Shawne Williams,Memphis,7,314,5368,1769,945,220,0.403,0.339,0.755,17.1,5.6,3,0.7,6.7,0.06,-2,0
18,18,WAS,Oleksiy Pecherov,,3,111,1044,438,266,20,0.386,0.29,0.793,9.4,3.9,2.4,0.2,0.5,0.025,-7,-1.3
19,19,SAC,Quincy Douby,Rutgers University,3,143,1535,588,152,93,0.389,0.312,0.884,10.7,4.1,1.1,0.7,0,0,-5.4,-1.3
20,20,NYK,Renaldo Balkman,South Carolina,6,221,3064,894,769,132,0.51,0.172,0.542,13.9,4,3.5,0.6,7.2,0.113,0.9,2.2
21,21,PHO,Rajon Rondo,Kentucky,14,857,26791,8804,4100,7147,0.458,0.317,0.608,31.3,10.3,4.8,8.3,59.4,0.106,1.3,22.6
22,22,NJN,Marcus Williams,UConn,4,203,3095,1128,361,574,0.386,0.321,0.767,15.2,5.6,1.8,2.8,0,-0.001,-4.6,-2
23,23,NJN,Josh Boone,UConn,4,256,4482,1340,1258,125,0.544,,0.445,17.5,5.2,4.9,0.5,9.1,0.097,-1.9,0.1
24,24,MEM,Kyle Lowry,Villanova,14,894,28178,13098,3827,5501,0.423,0.366,0.808,31.5,14.7,4.3,6.2,91.5,0.156,3.8,41
25,25,CLE,Shannon Brown,Michigan State,9,408,7329,3118,760,458,0.42,0.332,0.807,18,7.6,1.9,1.1,9.2,0.06,-2.3,-0.6
26,26,LAL,Jordan Farmar,UCLA,10,504,9840,3888,958,1453,0.423,0.374,0.739,19.5,7.7,1.9,2.9,13.9,0.068,-1.4,1.6
27,27,PHO,Sergio Rodríguez,,5,353,5281,1747,525,1183,0.409,0.337,0.739,15,4.9,1.5,3.4,4.3,0.039,-3.2,-1.6
28,28,DAL,Maurice Ager,Michigan State,4,82,505,169,46,19,0.339,0.25,0.566,6.2,2.1,0.6,0.2,-0.9,-0.089,-10.4,-1.1
29,29,NYK,Mardy Collins,Temple,4,189,2771,742,336,327,0.38,0.299,0.599,14.7,3.9,1.8,1.7,-1.6,-0.027,-4.9,-2
30,30,POR,Joel Freeland,,3,151,1821,477,518,65,0.459,0,0.728,12.1,3.2,3.4,0.4,3.2,0.084,-2.5,-0.2
31,31,POR,James White,Cincinnati,3,67,583,182,68,35,0.438,0.34,0.676,8.7,2.7,1,0.5,0.8,0.062,-3.4,-0.2
32,32,HOU,Steve Novak,Marquette,11,467,5657,2177,591,132,0.437,0.43,0.877,12.1,4.7,1.3,0.3,14.5,0.123,-0.9,1.6
33,33,ATL,Solomon Jones,South Florida,8,281,3092,839,654,99,0.467,0.111,0.717,11,3,2.3,0.4,5,0.078,-2.9,-0.7
34,34,LAC,Paul Davis,Michigan State,4,82,702,217,158,32,0.402,0,0.732,8.6,2.6,1.9,0.4,0.5,0.035,-4.7,-0.5
35,35,TOR,P.J. Tucker,Texas,9,630,18407,4663,3663,904,0.423,0.361,0.749,29.2,7.4,5.8,1.4,33.1,0.086,0.9,13.4
36,36,MIN,Craig Smith,Boston College,6,403,6826,3080,1567,322,0.553,0.037,0.661,16.9,7.6,3.9,0.8,16,0.113,-1.5,0.9
37,37,MIN,Bobby Jones,Washington,2,91,867,288,149,44,0.442,0.306,0.685,9.5,3.2,1.6,0.5,1.1,0.06,-3.5,-0.3
38,38,GSW,Kosta Perović,,1,7,38,10,13,1,0.3,,0.667,5.4,1.4,1.9,0.1,0,0.06,-6.7,0
39,39,MIL,David Noel,UNC,1,68,792,184,123,65,0.367,0.321,0.86,11.6,2.7,1.8,1,0.4,0.024,-3.4,-0.3
40,40,SEA,Denham Brown,UConn,,,,,,,,,,,,,,,,,
41,41,ORL,James Augustine,Illinois,2,27,156,42,33,4,0.514,,0.5,5.8,1.6,1.2,0.1,0.3,0.101,-2.2,0
42,42,CLE,Daniel Gibson,Texas,7,397,9316,3115,792,775,0.402,0.407,0.78,23.5,7.8,2,2,16,0.082,-1,2.3
43,43,NOK,Marcus Vinicius,,2,26,172,50,19,7,0.457,0.421,0.556,6.6,1.9,0.7,0.3,0.2,0.056,-3.6,-0.1
44,44,ORL,Lior Eliyahu,,,,,,,,,,,,,,,,,,
45,45,IND,Alexander Johnson,Florida State,2,102,1302,439,275,30,0.517,,0.672,12.8,4.3,2.7,0.3,1.5,0.056,-4.3,-0.7
46,46,UTA,Dee Brown,Illinois,2,68,711,140,69,119,0.34,0.25,0.643,10.5,2.1,1,1.8,0.1,0.008,-4.1,-0.4
47,47,UTA,Paul Millsap,Louisiana Tech,14,977,28519,13708,7190,2213,0.49,0.339,0.738,29.2,14,7.4,2.3,90.8,0.153,3.1,37
48,48,WAS,Vladimir Veremeenko,,,,,,,,,,,,,,,,,,
49,49,DEN,Leon Powe,California,5,239,3320,1484,911,78,0.515,0,0.682,13.9,6.2,3.8,0.3,12,0.174,-2.3,-0.2
50,50,CHA,Ryan Hollins,UCLA,10,518,6134,1913,1140,151,0.584,0,0.649,11.8,3.7,2.2,0.3,10.4,0.081,-2.6,-1
51,51,LAL,Cheikh Samb,,2,22,114,22,31,1,0.25,0,0.444,5.2,1,1.4,0,-0.1,-0.056,-9.2,-0.2
52,52,LAC,Guillermo Díaz,Miami (FL),1,6,18,5,2,1,0.25,0,0.6,3,0.8,0.3,0.2,0,0.033,-5.9,0
53,53,SEA,Yotam Halperin,,,,,,,,,,,,,,,,,,
54,54,NJN,Hassan Adams,Arizona,2,73,547,185,84,14,0.534,0,0.643,7.5,2.5,1.2,0.2,0.8,0.072,-4.4,-0.3
55,55,CLE,Ejike Ugboaja,,,,,,,,,,,,,,,,,,
56,56,TOR,Edin Bavčić,,,,,,,,,,,,,,,,,,
57,57,MIN,Loukas Mavrokefalidis,,,,,,,,,,,,,,,,,,
58,58,DAL,J.R. Pinnock,George Washington,,,,,,,,,,,,,,,,,
59,59,SAS,Damir Markota,,1,30,170,51,31,6,0.365,0.375,0.636,5.7,1.7,1,0.2,-0.2,-0.07,-9,-0.3
60,60,DET,Will Blalock,Iowa State,1,14,166,25,15,17,0.3,0.2,1,11.9,1.8,1.1,1.2,-0.1,-0.032,-5.7,-0.2
