,,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Year,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2007,1,1,POR,Greg Oden,Ohio State,3,105,2028,840,656,51,0.574,,0.658,19.3,8,6.2,0.5,7.3,0.174,1.1,1.6
2007,2,2,SEA,Kevin Durant,Texas,12,849,31305,22940,5992,3486,0.493,0.381,0.883,36.9,27,7.1,4.1,141.7,0.217,5.1,55.7
2007,3,3,ATL,Al Horford,Florida,13,830,27155,11644,6892,2724,0.521,0.36,0.753,32.7,14,8.3,3.3,89.7,0.158,3.2,35.7
2007,4,4,MEM,Mike Conley,Ohio State,13,816,26464,12085,2410,4623,0.439,0.373,0.818,32.4,14.8,3,5.7,72.3,0.131,1.9,25.7
2007,5,5,BOS,Jeff Green,Georgetown,12,890,26372,11553,3956,1391,0.44,0.333,0.805,29.6,13,4.4,1.6,40.9,0.074,-1.3,4.3
2007,6,6,MIL,Yi Jianlian,,5,272,6038,2148,1339,192,0.404,0.333,0.78,22.2,7.9,4.9,0.7,3.1,0.025,-4.7,-4.1
2007,7,7,MIN,Corey Brewer,Florida,12,814,18738,7092,2279,1248,0.425,0.284,0.713,23,8.7,2.8,1.5,22.5,0.058,-1,4.8
2007,8,8,CHA,Brandan Wright,UNC,10,428,6949,2976,1560,199,0.607,0,0.674,16.2,7,3.6,0.5,26.2,0.181,1.6,6.4
2007,9,9,CHI,Joakim Noah,Florida,12,667,18596,5867,6042,1900,0.491,0,0.7,27.9,8.8,9.1,2.8,61.8,0.16,4.1,28.4
2007,10,10,SAC,Spencer Hawes,Washington,10,684,15541,5932,3893,1271,0.457,0.35,0.716,22.7,8.7,5.7,1.9,22.6,0.07,-0.7,5
2007,11,11,ATL,Acie Law,Texas A&M,4,188,2385,725,195,309,0.413,0.235,0.778,12.7,3.9,1,1.6,1.6,0.032,-5.4,-2
2007,12,12,PHI,Thaddeus Young,Georgia Tech,13,951,28855,12514,5627,1579,0.498,0.33,0.671,30.3,13.2,5.9,1.7,60.9,0.101,0.6,19.2
2007,13,13,NOK,Julian Wright,Kansas,4,231,3049,907,531,182,0.499,0.262,0.584,13.2,3.9,2.3,0.8,3.9,0.061,-1.3,0.5
2007,14,14,LAC,Al Thornton,Florida State,4,296,8274,3527,1233,353,0.452,0.293,0.747,28,11.9,4.2,1.2,6.1,0.035,-3.5,-3.1
2007,15,15,DET,Rodney Stuckey,Eastern Washington,10,651,17890,8185,1912,2333,0.423,0.3,0.824,27.5,12.6,2.9,3.6,28.7,0.077,-1.4,2.7
2007,16,16,WAS,Nick Young,USC,12,720,16419,8194,1427,687,0.418,0.376,0.836,22.8,11.4,2,1,18.6,0.054,-3.4,-5.8
