,,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Year,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2002,1,1,HOU,Yao Ming,,8,486,15818,9247,4494,769,0.524,0.2,0.833,32.5,19,9.2,1.6,65.9,0.2,2.3,17
2002,2,2,CHI,Jay Williams,Duke,1,75,1961,714,195,350,0.399,0.322,0.64,26.1,9.5,2.6,4.7,0.8,0.02,-2.2,-0.1
2002,3,3,GSW,Mike Dunleavy,Duke,15,986,27340,11048,4211,2185,0.441,0.377,0.803,27.7,11.2,4.3,2.2,58.5,0.103,0.3,15.9
2002,4,4,MEM,Drew Gooden,Kansas,14,790,20127,8653,5618,896,0.462,0.257,0.76,25.5,11,7.1,1.1,43.9,0.105,-1.5,2.3
2002,5,5,DEN,Nikoloz Tskitishvili,,4,172,1946,507,307,114,0.304,0.235,0.73,11.3,2.9,1.8,0.7,-1.6,-0.039,-6.3,-2.1
2002,6,6,CLE,Dajuan Wagner,Memphis,4,103,2202,964,142,195,0.366,0.321,0.77,21.4,9.4,1.4,1.9,0,0,-5.6,-2
2002,7,7,NYK,Nenê Hilário,,17,965,25237,10909,5828,1719,0.548,0.132,0.66,26.2,11.3,6,1.8,73.3,0.139,1.8,24.4
2002,8,8,LAC,Chris Wilcox,Maryland,11,628,12474,5150,3076,455,0.541,0,0.643,19.9,8.2,4.9,0.7,26.9,0.103,-1.6,1.2
2002,9,9,PHO,Amar'e Stoudemire,,14,846,26254,15994,6632,1050,0.537,0.236,0.761,31,18.9,7.8,1.2,92.5,0.169,0.5,16.8
2002,10,10,MIA,Caron Butler,UConn,14,881,28333,12430,4387,2007,0.434,0.348,0.847,32.2,14.1,5,2.3,50.9,0.086,0.2,15.9
2002,11,11,WAS,Jared Jeffries,Indiana,11,629,13579,3003,2563,798,0.426,0.25,0.583,21.6,4.8,4.1,1.3,13.1,0.046,-0.9,3.8
2002,12,12,LAC,Melvin Ely,Fresno State,9,375,6005,1992,1215,261,0.46,0,0.625,16,5.3,3.2,0.7,4,0.032,-3.6,-2.4
2002,13,13,MIL,Marcus Haislip,Tennessee,4,89,854,311,131,16,0.437,0.35,0.659,9.6,3.5,1.5,0.2,0.5,0.026,-6.2,-0.9
2002,14,14,IND,Fred Jones,Oregon,7,430,10299,3206,958,990,0.411,0.353,0.809,24,7.5,2.2,2.3,16.5,0.077,-0.9,2.8
2002,15,15,HOU,Boštjan Nachbar,,6,317,5628,2252,836,283,0.406,0.375,0.784,17.8,7.1,2.6,0.9,8.7,0.074,-2.3,-0.4
2002,16,16,PHI,Jiří Welsch,,4,247,4596,1519,602,375,0.403,0.343,0.752,18.6,6.1,2.4,1.5,5.7,0.059,-2.1,-0.1
2002,17,17,WAS,Juan Dixon,Maryland,7,436,8509,3678,816,775,0.413,0.341,0.833,19.5,8.4,1.9,1.8,6.1,0.034,-3,-2.1
2002,18,18,ORL,Curtis Borchardt,Stanford,2,83,1117,258,278,64,0.421,0,0.742,13.5,3.1,3.3,0.8,1,0.041,-2.4,-0.1
2002,19,19,UTA,Ryan Humphrey,Notre Dame,3,85,772,197,189,18,0.344,0,0.539,9.1,2.3,2.2,0.2,-0.4,-0.027,-7.6,-1.1
2002,20,20,TOR,Kareem Rush,Missouri,7,346,5956,2213,572,353,0.4,0.358,0.703,17.2,6.4,1.7,1,1.7,0.013,-4.1,-3.2
2002,21,21,POR,Qyntel Woods,Northeast Mississippi Community College,4,167,2060,691,385,105,0.452,0.357,0.603,12.3,4.1,2.3,0.6,1.4,0.032,-3,-0.5
2002,22,22,PHO,Casey Jacobsen,Stanford,4,287,5320,1488,516,304,0.393,0.352,0.769,18.5,5.2,1.8,1.1,6.2,0.056,-2.3,-0.4
2002,23,23,DET,Tayshaun Prince,Kentucky,14,1017,31576,11272,4332,2406,0.455,0.367,0.756,31,11.1,4.3,2.4,63.1,0.096,0.1,16.6
2002,24,24,NJN,Nenad Krstić,,7,419,10547,4210,2261,346,0.494,0.143,0.73,25.2,10,5.4,0.8,21.5,0.098,-2.6,-1.5
2002,25,25,DEN,Frank Williams,Illinois,3,86,952,253,77,166,0.352,0.3,0.833,11.1,2.9,0.9,1.9,0.1,0.003,-5,-0.7
2002,26,26,SAS,John Salmons,Miami (FL),13,895,23672,8292,2603,2183,0.431,0.366,0.799,26.4,9.3,2.9,2.4,33.9,0.069,-1,5.8
2002,27,27,LAL,Chris Jefferies,Fresno State,2,72,861,281,88,29,0.383,0.365,0.667,12,3.9,1.2,0.4,-0.5,-0.03,-6.3,-0.9
2002,28,28,SAC,Dan Dickau,Gonzaga,6,300,4617,1745,405,752,0.401,0.341,0.831,15.4,5.8,1.4,2.5,5.9,0.061,-2.3,-0.4
2002,,,,,,Minnesota forfeited the 29th overall pick.,,,,,,,,,,,,,,,,
2002,30,30,GSW,Steve Logan,Cincinnati,,,,,,,,,,,,,,,,,
2002,31,31,CHI,Roger Mason,Virginia,10,518,9147,3289,897,677,0.408,0.383,0.866,17.7,6.3,1.7,1.3,13,0.068,-1.8,0.5
2002,32,32,MEM,Robert Archibald,Illinois,2,44,328,51,69,16,0.283,,0.429,7.5,1.2,1.6,0.4,0,-0.004,-5,-0.2
2002,33,33,DEN,Vincent Yarbrough,Tennessee,1,59,1381,406,162,130,0.393,0.269,0.79,23.4,6.9,2.7,2.2,1,0.035,-2.4,-0.1
2002,34,34,MIL,Dan Gadzuric,UCLA,10,527,7793,2465,2326,196,0.5,0,0.498,14.8,4.7,4.4,0.4,15.8,0.097,-1.3,1.3
2002,35,35,CLE,Carlos Boozer,Duke,13,861,26901,13976,8192,1928,0.521,0.071,0.722,31.2,16.2,9.5,2.2,80.3,0.143,1.2,22.1
2002,36,36,NYK,Milos Vujanic,,,,,,,,,,,,,,,,,,
2002,37,37,ATL,David Andersen,,2,103,1264,501,292,57,0.44,0.347,0.674,12.3,4.9,2.8,0.6,1.5,0.059,-4.2,-0.7
2002,38,38,HOU,Tito Maddox,Fresno State,1,9,35,11,7,5,0.25,0,0.625,3.9,1.2,0.8,0.6,0,-0.011,-2.2,0
2002,39,39,WAS,Rod Grizzard,Alabama,,,,,,,,,,,,,,,,,
2002,40,40,WAS,Juan Carlos Navarro,,1,82,2117,896,210,177,0.402,0.361,0.849,25.8,10.9,2.6,2.2,1.4,0.031,-2.3,-0.1
2002,41,41,LAC,Mario Kasun,,2,73,569,198,188,11,0.467,0,0.636,7.8,2.7,2.6,0.2,0.8,0.069,-5.9,-0.6
2002,42,42,MIL,Ronald Murray,Shaw,8,487,11077,4817,1006,1096,0.414,0.304,0.725,22.7,9.9,2.1,2.3,8.5,0.037,-2.9,-2.6
2002,43,43,POR,Jason Jennings,Arkansas State University,,,,,,,,,,,,,,,,,
2002,44,44,CHI,Lonny Baxter,Maryland,4,162,1884,637,477,40,0.466,0.2,0.657,11.6,3.9,2.9,0.2,2.9,0.075,-5.1,-1.5
2002,45,45,PHI,Sam Clancy,USC,,,,,,,,,,,,,,,,,
2002,46,46,MEM,Matt Barnes,UCLA,14,929,21967,7589,4281,1691,0.436,0.335,0.745,23.6,8.2,4.6,1.8,42.8,0.093,1,16.7
2002,47,47,UTA,Jamal Sampson,California,5,72,631,142,242,26,0.491,0,0.537,8.8,2,3.4,0.4,1.4,0.106,-2.1,0
2002,48,48,MIL,Chris Owens,Texas,1,1,6,4,1,0,0.667,,,6,4,1,0,0,-0.032,-10.7,0
2002,49,49,SEA,Peter Fehse,,,,,,,,,,,,,,,,,,
2002,50,50,BOS,Darius Songaila,Wake Forest,8,495,9229,3415,1689,589,0.499,0.158,0.844,18.6,6.9,3.4,1.2,15.9,0.083,-1.7,0.7
2002,51,51,POR,Federico Kammerichs,,,,,,,,,,,,,,,,,,
2002,52,52,MIN,Marcus Taylor,Michigan State,,,,,,,,,,,,,,,,,
2002,53,53,MIA,Rasual Butler,La Salle,13,809,17219,6092,1934,658,0.403,0.362,0.747,21.3,7.5,2.4,0.8,20.8,0.058,-2.1,-0.4
2002,54,54,NJN,Tamar Slay,Marshall,3,66,517,173,70,31,0.361,0.265,0.538,7.8,2.6,1.1,0.5,-0.3,-0.029,-6,-0.5
2002,55,55,DAL,Mladen Sekularac,,,,,,,,,,,,,,,,,,
2002,56,56,SAS,Luis Scola,,10,743,19001,8882,4941,1194,0.493,0.339,0.74,25.6,12,6.7,1.6,45.7,0.115,-0.5,7.3
2002,57,57,SAS,Randy Holcomb,San Diego State,1,4,11,2,1,0,1,,,2.8,0.5,0.3,0,0,0.15,-1.8,0
2002,58,58,SAC,Corsley Edwards,Central Connecticut State University,1,10,110,27,25,3,0.323,,0.583,11,2.7,2.5,0.3,0.1,0.026,-5.2,-0.1
