,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,LeBron James,,17,1243,47804,33677,9225,9144,0.504,0.343,0.735,38.5,27.1,7.4,7.4,233.5,0.234,9.1,134
2,2,DET,Darko Miličić,,10,468,8638,2813,1971,405,0.46,0,0.574,18.5,6,4.2,0.9,7.1,0.04,-1.6,0.8
3,3,DEN,Carmelo Anthony,Syracuse,17,1097,39202,26073,7158,3217,0.448,0.348,0.812,35.7,23.8,6.5,2.9,101.8,0.125,0.8,27.7
4,4,TOR,Chris Bosh,Georgia Tech,13,893,31936,17189,7592,1795,0.494,0.335,0.799,35.8,19.2,8.5,2,106,0.159,1.4,27.5
5,5,MIA,Dwyane Wade,Marquette,16,1054,35773,23165,4933,5701,0.48,0.293,0.765,33.9,22,4.7,5.4,120.7,0.162,4.5,58.4
6,6,LAC,Chris Kaman,Central Michigan University,13,735,19642,8208,5582,921,0.489,0.042,0.743,26.7,11.2,7.6,1.3,24.6,0.06,-2,0
7,7,CHI,Kirk Hinrich,Kansas,13,879,27015,9594,2576,4245,0.411,0.375,0.8,30.7,10.9,2.9,4.8,52.5,0.093,0.2,14.7
8,8,MIL,T.J. Ford,Texas,8,429,11882,4797,1331,2495,0.433,0.289,0.815,27.7,11.2,3.1,5.8,16.9,0.068,-0.8,3.6
9,9,NYK,Mike Sweetney,Georgetown,4,233,3610,1516,1045,145,0.485,0,0.689,15.5,6.5,4.5,0.6,7.8,0.103,-2.1,-0.1
10,10,WAS,Jarvis Hayes,Georgia,7,427,9898,3553,1330,459,0.415,0.356,0.798,23.2,8.3,3.1,1.1,10.2,0.049,-2.9,-2.2
11,11,GSW,Mickaël Piétrus,,10,557,11950,4629,1723,445,0.425,0.355,0.665,21.5,8.3,3.1,0.8,19.7,0.079,-0.9,3.4
12,12,SEA,Nick Collison,Kansas,14,910,18603,5359,4701,939,0.534,0.208,0.723,20.4,5.9,5.2,1,44.5,0.115,0.4,11.3
13,13,MEM,Marcus Banks,UNLV,8,348,5571,2061,519,728,0.432,0.327,0.768,16,5.9,1.5,2.1,6.6,0.057,-2.4,-0.6
14,14,SEA,Luke Ridnour,Oregon,12,830,21623,7740,1877,3713,0.431,0.349,0.862,26.1,9.3,2.3,4.5,36,0.08,-0.9,5.8
15,15,ORL,Reece Gaines,Louisville,3,71,605,123,53,50,0.324,0.269,0.606,8.5,1.7,0.7,0.7,-0.6,-0.049,-7.7,-0.9
16,16,BOS,Troy Bell,Boston College,1,6,34,11,4,4,0.222,0,1,5.7,1.8,0.7,0.7,-0.2,-0.326,-14.4,-0.1
17,17,PHO,Žarko Čabarkapa,,3,150,1550,640,312,85,0.427,0.273,0.733,10.3,4.3,2.1,0.6,1.1,0.035,-5.2,-1.3
18,18,NOH,David West,Xavier,15,1034,29144,14034,6590,2273,0.495,0.265,0.817,28.2,13.6,6.4,2.2,85.9,0.141,1.5,25.8
