,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,WAS,Kwame Brown,,12,607,13389,4035,3333,554,0.492,0.111,0.57,22.1,6.6,5.5,0.9,20.8,0.074,-2.1,-0.4
2,2,LAC,Tyson Chandler,,19,1159,31617,9509,10467,967,0.597,0,0.644,27.3,8.2,9,0.8,102.1,0.155,1.4,27.4
3,3,ATL,Pau Gasol,,18,1226,41001,20894,11305,3925,0.507,0.368,0.753,33.4,17,9.2,3.2,144.1,0.169,3.5,56.8
4,4,CHI,Eddy Curry,,11,527,13109,6820,2725,287,0.545,1,0.642,24.9,12.9,5.2,0.5,21.7,0.08,-3.5,-5
5,5,GSW,Jason Richardson,Michigan State,13,857,29241,14644,4245,2284,0.438,0.37,0.707,34.1,17.1,5,2.7,59.1,0.097,1.3,24.4
6,6,MEM,Shane Battier,Duke,13,977,30004,8408,4082,1717,0.437,0.384,0.743,30.7,8.6,4.2,1.8,75.7,0.121,2.9,37
7,7,NJN,Eddie Griffin,Seton Hall,5,303,6729,2171,1744,236,0.377,0.315,0.671,22.2,7.2,5.8,0.8,10.9,0.078,-1,1.7
8,8,CLE,DeSagana Diop,,12,601,8403,1185,2219,270,0.427,0.167,0.467,14,2,3.7,0.4,12.8,0.073,0,4.3
9,9,DET,Rodney White,UNC Charlotte,4,218,3354,1540,485,237,0.424,0.314,0.749,15.4,7.1,2.2,1.1,1.8,0.026,-3.8,-1.5
10,10,BOS,Joe Johnson,Arkansas,17,1276,44234,20405,5059,5001,0.441,0.371,0.802,34.7,16,4,3.9,82.8,0.09,0.4,26.4
11,11,BOS,Kedrick Brown,Okaloosa-Walton Community College,4,143,1935,509,347,103,0.405,0.274,0.64,13.5,3.6,2.4,0.7,3,0.074,-2.2,-0.1
12,12,SEA,Vladimir Radmanović,,12,737,16164,5879,2784,998,0.415,0.378,0.758,21.9,8,3.8,1.4,26.5,0.079,-0.1,7.7
13,13,HOU,Richard Jefferson,Arizona,17,1181,34293,14904,4720,2412,0.464,0.376,0.768,29,12.6,4,2,83,0.116,0.3,19.8
14,14,GSW,Troy Murphy,Notre Dame,12,729,19921,7860,5708,1088,0.445,0.388,0.785,27.3,10.8,7.8,1.5,50.3,0.121,-0.1,9.5
15,15,ORL,Steven Hunter,DePaul,8,400,5993,1817,1264,79,0.56,0,0.485,15,4.5,3.2,0.2,10.6,0.085,-2.8,-1.3
16,16,CHH,Kirk Haston,Indiana,2,27,134,32,27,8,0.232,0,0.5,5,1.2,1,0.3,-0.5,-0.197,-13.5,-0.4
17,17,TOR,Michael Bradley,Villanova,5,173,2016,483,591,93,0.477,0.143,0.511,11.7,2.8,3.4,0.5,2,0.047,-3.7,-0.9
18,18,HOU,Jason Collins,Stanford,13,735,14974,2621,2706,626,0.411,0.206,0.647,20.4,3.6,3.7,0.9,20.1,0.064,-2,0.2
19,19,POR,Zach Randolph,Michigan State,17,1116,34616,18578,10208,2049,0.471,0.273,0.764,31,16.6,9.1,1.8,81.1,0.112,-0.4,13.6
20,20,CLE,Brendan Haywood,UNC,13,816,18680,5538,4875,442,0.528,0,0.587,22.9,6.8,6,0.5,43.8,0.113,-0.2,8.4
21,21,BOS,Joseph Forte,UNC,2,25,125,30,17,17,0.234,0,0.8,5,1.2,0.7,0.7,-0.4,-0.166,-10.1,-0.3
22,22,ORL,Jeryl Sasser,SMU,2,82,1061,204,191,67,0.303,0.295,0.687,12.9,2.5,2.3,0.8,0.7,0.032,-2.9,-0.2
23,23,HOU,Brandon Armstrong,Pepperdine,3,108,699,239,63,24,0.352,0.333,0.6,6.5,2.2,0.6,0.2,-0.6,-0.039,-8.6,-1.2
24,24,UTA,Raül López,,2,113,2135,733,194,428,0.429,0.346,0.853,18.9,6.5,1.7,3.8,2.1,0.047,-3.5,-0.8
25,25,SAC,Gerald Wallace,Alabama,14,832,24731,9933,4838,1725,0.469,0.312,0.709,29.7,11.9,5.8,2.1,59.7,0.116,2.4,27.3
26,26,PHI,Samuel Dalembert,Seton Hall,13,886,21646,6814,6942,465,0.521,0.083,0.706,24.4,7.7,7.8,0.5,51.3,0.114,-0.7,7.2
27,27,MEM,Jamaal Tinsley,Iowa State,11,547,14443,4652,1605,3330,0.393,0.299,0.716,26.4,8.5,2.9,6.1,17.2,0.057,-0.4,5.7
28,28,SAS,Tony Parker,,18,1254,38279,19473,3396,7036,0.491,0.324,0.751,30.5,15.5,2.7,5.6,111.3,0.14,0.7,25.7
,,,,,Minnesota forfeited the 29th overall pick.,,,,,,,,,,,,,,,,
30,30,CHI,Trenton Hassell,Austin Peay State University,9,644,16278,3741,1826,1132,0.445,0.318,0.765,25.3,5.8,2.8,1.8,13.8,0.041,-2.3,-1.3
31,31,GSW,Gilbert Arenas,Arizona,11,552,19351,11402,2168,2909,0.421,0.351,0.803,35.1,20.7,3.9,5.3,51.3,0.127,2.9,24.1
32,32,ORL,Omar Cook,St. John's,2,22,213,37,13,46,0.333,0,0.5,9.7,1.7,0.6,2.1,-0.1,-0.021,-6.1,-0.2
33,33,MEM,Will Solomon,Clemson,2,115,1584,584,132,225,0.378,0.298,0.692,13.8,5.1,1.1,2,0,0,-4.7,-1.1
34,34,ATL,Terence Morris,Maryland,3,139,1934,472,377,93,0.407,0.196,0.711,13.9,3.4,2.7,0.7,1,0.025,-3.6,-0.8
35,35,NJN,Brian Scalabrine,USC,11,520,6772,1594,1034,436,0.39,0.344,0.783,13,3.1,2,0.8,7.6,0.054,-2.6,-1.1
36,36,CLE,Jeff Trepagnier,USC,3,31,270,88,43,22,0.337,0.462,0.7,8.7,2.8,1.4,0.7,-0.2,-0.038,-4.8,-0.2
37,37,PHI,Damone Brown,Syracuse,4,39,351,108,52,19,0.336,0.286,0.667,9,2.8,1.3,0.5,-0.7,-0.1,-10.3,-0.7
38,38,DET,Mehmet Okur,,10,634,18429,8561,4436,1089,0.458,0.375,0.797,29.1,13.5,7,1.7,54.7,0.142,1.4,15.7
39,39,NYK,Michael Wright,Arizona,,,,,,,,,,,,,,,,,
40,40,SEA,Earl Watson,UCLA,13,878,19494,5593,1985,3871,0.411,0.324,0.703,22.2,6.4,2.3,4.4,19.2,0.047,-1.8,1
41,41,IND,Jamison Brewer,Auburn,4,54,468,89,50,56,0.372,0.25,0.393,8.7,1.6,0.9,1,0,-0.001,-4.4,-0.3
42,42,SEA,Bobby Simmons,DePaul,10,466,11513,4189,1791,710,0.437,0.396,0.823,24.7,9,3.8,1.5,20.1,0.084,-0.1,5.4
43,43,NYK,Eric Chenowith,Kansas,,,,,,,,,,,,,,,,,
44,44,DAL,Kyle Hill,Eastern Illinois University,,,,,,,,,,,,,,,,,
45,45,CHI,Sean Lampley,California,2,45,550,203,94,33,0.463,0,0.691,12.2,4.5,2.1,0.7,1.1,0.096,-3.2,-0.2
46,46,MIN,Loren Woods,Arizona,6,215,2428,555,682,74,0.419,0.143,0.642,11.3,2.6,3.2,0.3,3.1,0.062,-2.9,-0.6
47,47,DEN,Ousmane Cisse,,,,,,,,,,,,,,,,,,
48,48,MEM,Antonis Fotsis,,1,28,320,108,62,10,0.404,0.304,0.85,11.4,3.9,2.2,0.4,0.1,0.017,-4.9,-0.2
49,49,MIA,Ken Johnson,Ohio State,1,16,156,32,32,0,0.405,,0.333,9.8,2,2,0,0,-0.002,-10,-0.3
50,50,POR,Ruben Boumtje-Boumtje,Georgetown,3,44,276,43,57,6,0.368,,0.556,6.3,1,1.3,0.1,0.2,0.027,-4.5,-0.2
51,51,PHO,Alton Ford,Houston,3,73,524,186,124,11,0.507,,0.697,7.2,2.5,1.7,0.2,0.8,0.074,-6.5,-0.6
52,52,MIL,Andre Hutson,Michigan State,,,,,,,,,,,,,,,,,
53,53,UTA,Jarron Collins,Stanford,10,542,8542,2095,1579,419,0.455,0,0.699,15.8,3.9,2.9,0.8,15.7,0.088,-1.8,0.5
54,54,DAL,Kenny Satterfield,Cincinnati,2,75,1062,321,95,176,0.335,0.218,0.746,14.2,4.3,1.3,2.3,-1.1,-0.051,-6.1,-1.1
55,55,SAC,Maurice Jeffers,Saint Louis,,,,,,,,,,,,,,,,,
56,56,SAS,Robertas Javtokas,,,,,,,,,,,,,,,,,,
57,57,PHI,Alvin Jones,Georgia Tech,1,23,126,26,36,3,0.4,,0.5,5.5,1.1,1.6,0.1,0.1,0.034,-4.5,-0.1
58,58,SAS,Bryan Bracey,Oregon,,,,,,,,,,,,,,,,,
