,,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Year,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2012,1,1,NOH,Anthony Davis,Kentucky,8,506,17496,12128,5277,1112,0.516,0.314,0.801,34.6,24,10.4,2.2,79.5,0.218,5,30.8
2012,2,2,CHA,Michael Kidd-Gilchrist,Kentucky,8,433,10857,3738,2388,511,0.475,0.28,0.715,25.1,8.6,5.5,1.2,21.1,0.093,-1.2,2.2
2012,3,3,WAS,Bradley Beal,Florida,8,528,18198,10832,2107,2080,0.452,0.378,0.805,34.5,20.5,4,3.9,39.9,0.105,1,13.9
2012,4,4,CLE,Dion Waiters,Syracuse,8,412,11670,5422,1095,1146,0.412,0.348,0.692,28.3,13.2,2.7,2.8,8.7,0.036,-2.5,-1.6
2012,5,5,SAC,Thomas Robinson,Kansas,5,313,4204,1528,1507,190,0.47,0,0.505,13.4,4.9,4.8,0.6,4.6,0.053,-3.2,-1.3
2012,6,6,POR,Damian Lillard,Weber State,8,596,21653,14290,2498,3847,0.436,0.37,0.889,36.3,24,4.2,6.5,78.6,0.174,4.2,33.8
2012,7,7,GSW,Harrison Barnes,UNC,8,588,18268,8026,2876,929,0.446,0.371,0.795,31.1,13.6,4.9,1.6,32.6,0.086,-1.4,2.7
2012,8,8,TOR,Terrence Ross,Washington,8,538,13140,5778,1504,581,0.42,0.368,0.823,24.4,10.7,2.8,1.1,20.9,0.077,-0.9,3.6
2012,9,9,DET,Andre Drummond,UConn,8,588,18261,8454,8145,752,0.541,0.124,0.46,31.1,14.4,13.9,1.3,60,0.158,1.9,17.8
2012,10,10,NOH,Austin Rivers,Duke,8,528,12963,4836,1097,1225,0.418,0.347,0.64,24.6,9.2,2.1,2.3,10.7,0.04,-2.8,-2.5
2012,11,11,POR,Meyers Leonard,Illinois,8,440,7038,2462,1699,390,0.484,0.391,0.818,16,5.6,3.9,0.9,15.6,0.107,-1.3,1.2
2012,12,12,HOU,Jeremy Lamb,UConn,8,472,9974,4937,1757,756,0.444,0.337,0.855,21.1,10.5,3.7,1.6,23.1,0.111,-0.4,4
2012,13,13,PHO,Kendall Marshall,UNC,4,160,3083,802,253,779,0.399,0.37,0.611,19.3,5,1.6,4.9,1,0.015,-5.6,-2.8
2012,14,14,MIL,John Henson,UNC,8,431,8500,3286,2302,478,0.538,0.239,0.57,19.7,7.6,5.3,1.1,20.1,0.113,0.6,5.6
2012,15,15,PHI,Maurice Harkless,St. John's,8,522,12036,3746,1944,484,0.478,0.324,0.612,23.1,7.2,3.7,0.9,21.2,0.085,0.3,7.1
2012,16,16,HOU,Royce White,Iowa State,1,3,9,0,0,0,0,,,3,0,0,0,0,-0.121,-10.4,0
2012,17,17,DAL,Tyler Zeller,UNC,7,412,7250,2871,1816,367,0.509,0.286,0.764,17.6,7,4.4,0.9,17.1,0.113,-1.6,0.8
2012,18,18,HOU,Terrence Jones,Kentucky,6,234,5562,2431,1334,238,0.501,0.297,0.621,23.8,10.4,5.7,1,14.7,0.127,0.1,3
2012,19,19,ORL,Andrew Nicholson,St. Bonaventure,5,285,4080,1700,857,126,0.467,0.321,0.773,14.3,6,3,0.4,3.8,0.045,-5.3,-3.4
2012,20,20,DEN,Evan Fournier,,8,504,14259,7039,1387,1309,0.448,0.374,0.806,28.3,14,2.8,2.6,23,0.077,-0.9,4
2012,21,21,BOS,Jared Sullinger,Ohio State,5,269,6532,2893,2006,477,0.436,0.272,0.723,24.3,10.8,7.5,1.8,15.3,0.113,0.5,4.1
2012,22,22,BOS,Fab Melo,Syracuse,1,6,36,7,3,0,0.5,,0.25,6,1.2,0.5,0,0,0.021,-5.8,0
2012,23,23,ATL,John Jenkins,Vanderbilt,6,171,2183,855,250,138,0.441,0.367,0.847,12.8,5,1.5,0.8,3,0.065,-3.8,-1
2012,24,24,CLE,Jared Cunningham,Oregon State,4,84,605,197,56,39,0.347,0.306,0.674,7.2,2.3,0.7,0.5,0.2,0.017,-5.9,-0.6
2012,25,25,MEM,Tony Wroten,Washington,4,145,3076,1604,363,437,0.413,0.231,0.647,21.2,11.1,2.5,3,-1.3,-0.021,-4.1,-1.6
2012,26,26,IND,Miles Plumlee,Duke,7,346,5658,1697,1562,178,0.542,,0.543,16.4,4.9,4.5,0.5,10.6,0.09,-1.6,0.5
2012,27,27,MIA,Arnett Moultrie,Mississippi State,2,59,729,210,180,12,0.547,,0.667,12.4,3.6,3.1,0.2,1.7,0.113,-3,-0.2
2012,28,28,OKC,Perry Jones,Baylor,3,143,1675,488,252,54,0.42,0.293,0.66,11.7,3.4,1.8,0.4,1.7,0.048,-4.6,-1.1
2012,29,29,CHI,Marquis Teague,Kentucky,3,91,909,217,90,134,0.343,0.222,0.661,10,2.4,1,1.5,-0.9,-0.045,-8,-1.4
2012,30,30,GSW,Festus Ezeli,Vanderbilt,3,170,2394,712,725,63,0.513,,0.557,14.1,4.2,4.3,0.4,5.9,0.119,-1.1,0.6
2012,31,31,CHA,Jeffery Taylor,Vanderbilt,3,132,2566,807,263,107,0.409,0.319,0.665,19.4,6.1,2,0.8,1.3,0.024,-3.9,-1.2
2012,32,32,WAS,Tomáš Satoranský,,4,261,5987,1906,782,1049,0.478,0.379,0.815,22.9,7.3,3,4,13.6,0.109,-0.3,2.6
2012,33,33,CLE,Bernard James,Florida State,3,92,761,203,212,13,0.497,0,0.68,8.3,2.2,2.3,0.1,1.9,0.117,-1.1,0.2
2012,34,34,CLE,Jae Crowder,Marquette,8,587,14450,5580,2393,892,0.419,0.334,0.779,24.6,9.5,4.1,1.5,30.2,0.1,0.6,9.4
2012,35,35,GSW,Draymond Green,Michigan State,8,569,16031,5128,3926,2801,0.435,0.319,0.709,28.2,9,6.9,4.9,44.2,0.132,3.4,21.9
2012,36,36,SAC,Orlando Johnson,UC Santa Barbara,3,103,1112,329,180,69,0.358,0.311,0.727,10.8,3.2,1.7,0.7,1.4,0.059,-3.8,-0.5
2012,37,37,TOR,Quincy Acy,Baylor,7,337,5392,1642,1179,217,0.444,0.35,0.759,16,4.9,3.5,0.6,8.7,0.078,-1.8,0.2
2012,38,38,DEN,Quincy Miller,Baylor,3,69,934,295,169,37,0.35,0.292,0.706,13.5,4.3,2.4,0.5,-0.1,-0.003,-4,-0.5
2012,39,39,DET,Khris Middleton,Texas A&M,8,496,15617,7959,2259,1634,0.457,0.393,0.872,31.5,16,4.6,3.3,36.5,0.112,0.5,9.8
2012,40,40,POR,Will Barton,Memphis,8,484,11731,5307,2021,1209,0.432,0.345,0.785,24.2,11,4.2,2.5,20.3,0.083,-0.3,4.9
2012,41,41,POR,Tyshawn Taylor,Kansas,2,61,491,174,33,57,0.354,0.36,0.684,8,2.9,0.5,0.9,-0.9,-0.088,-8.8,-0.8
2012,42,42,MIL,Doron Lamb,Kentucky,2,100,1272,345,95,75,0.381,0.394,0.7,12.7,3.5,1,0.8,0.1,0.005,-5.9,-1.2
2012,43,43,ATL,Mike Scott,Virginia,8,485,7989,3387,1525,432,0.458,0.359,0.761,16.5,7,3.1,0.9,14.8,0.089,-2.5,-0.9
2012,44,44,DET,Kim English,Missouri,1,41,407,119,37,26,0.375,0.28,0.724,9.9,2.9,0.9,0.6,0.2,0.021,-4.2,-0.2
2012,45,45,PHI,Justin Hamilton,LSU,3,113,1961,687,403,91,0.464,0.309,0.798,17.4,6.1,3.6,0.8,3.7,0.091,-0.3,0.8
2012,46,46,NOH,Darius Miller,Kentucky,5,253,5161,1524,423,346,0.418,0.382,0.83,20.4,6,1.7,1.4,5.9,0.055,-1.7,0.4
2012,47,47,UTA,Kevin Murphy,Tennessee Technological University,1,17,52,15,4,2,0.25,0.2,,3.1,0.9,0.2,0.1,-0.3,-0.272,-17.6,-0.2
2012,48,48,NYK,Kostas Papanikolaou,,2,69,1089,249,158,101,0.354,0.297,0.688,15.8,3.6,2.3,1.5,0.3,0.015,-2.8,-0.2
2012,49,49,ORL,Kyle O'Quinn,Norfolk State,8,464,6618,2536,2127,623,0.517,0.228,0.742,14.3,5.5,4.6,1.3,17.4,0.126,1.9,6.4
2012,50,50,DEN,İzzet Türkyılmaz,,,,,,,,,,,,,,,,,,
2012,51,51,BOS,Kris Joseph,Syracuse,1,10,54,9,7,1,0.143,0,0.625,5.4,0.9,0.7,0.1,-0.1,-0.127,-10.5,-0.1
2012,52,52,GSW,Ognjen Kuzmić,,2,37,164,35,38,8,0.52,,0.6,4.4,0.9,1,0.2,0.2,0.061,-2.5,0
2012,53,53,LAC,Furkan Aldemir,,1,41,540,93,176,28,0.513,0,0.481,13.2,2.3,4.3,0.7,1.4,0.122,-0.7,0.2
2012,54,54,PHI,Tornike Shengelia,,2,45,247,59,39,17,0.451,0.125,0.5,5.5,1.3,0.9,0.4,-0.2,-0.032,-6.6,-0.3
2012,55,55,DAL,Darius Johnson-Odom,Marquette,2,7,21,0,6,2,0,0,0,3,0,0.9,0.3,-0.3,-0.597,-23.2,-0.1
2012,56,56,TOR,Tomislav Zubčić,,,,,,,,,,,,,,,,,,
2012,57,57,NJN,İlkan Karaman,,,,,,,,,,,,,,,,,,
2012,58,58,MIN,Robbie Hummel,Purdue,2,98,1397,379,266,50,0.418,0.343,0.867,14.3,3.9,2.7,0.5,1.9,0.066,-2.9,-0.3
2012,59,59,SAS,Marcus Denmon,Missouri,,,,,,,,,,,,,,,,,
2012,60,60,LAL,Robert Sacre,Gonzaga,4,189,2745,787,593,126,0.436,0,0.671,14.5,4.2,3.1,0.7,2.4,0.042,-3.1,-0.8
