win shares,mins played (per game),player,games,year,rank,points(per game),ws/48,box +/-,value overall replacement player,team,college,years,mins played (total),points (total),class,player_id,college_id,word,name,big_conf_flag,assists,blocks,effective_field_goal_percentage,field_goal_percentage,free_throw_attempt_rate,free_throw_percentage,games_played,height,minutes_played,points,steals,three_point_percentage,three_pointers,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_shares_per_40_minutes,assists_per_40,blocks_per_40,points_per_40,steals_per_40,three_pointers_per_40,total_rebounds_per_40,turnovers_per_40
0.0,0.0,Mark Karcher,0,2000,48,0.0,0.0,0.0,0.0,PHI,temple,0,0,0,Bust,mark-karcher-1,temple,temple,Mark Karcher,0,148,9,0.455,0.373,0.265,0.613,67,77,2494.9002375296914,972,110,0.322,149.0,349,0.476,15.219621749408972,177.15248226950354,0.181833531510107,2.372840368904549,0.14429434675770905,15.58378944983258,1.763597571483111,2.38887307409985,5.595414113160052,2.840233522842739
8.6,15.5,Jason Hart,341,2000,49,4.8,0.078,-1.7,0.3,MIL,syracuse,9,5289,1623,Player,jason-hart-1,syracuse,syracuse,Jason Hart,1,709,14,0.445,0.393,0.33,0.712,132,75,3293.0,1503,329,0.326,139.0,433,0.486,21.3,313.0,0.118,8.612207713331308,0.1700576981475858,18.256908593987248,3.9963559064682657,1.6884300030367447,5.259641664136047,3.8020042514424537
0.1,4.5,Kaniel Dickens,19,2000,50,1.2,0.055,-5.0,-0.1,UTA,idaho,3,85,22,Player,kaniel-dickens-1,idaho,idaho,Kaniel Dickens,0,34,39,0.5,0.483,0.554,0.63,55,80,1223.0,514,47,0.351,13.0,316,0.534,18.9,112.0,0.131,1.1120196238757154,1.2755519215044973,16.811120196238758,1.5372035977105478,0.42518397383483236,10.335241210139003,3.6631234668847097
0.0,9.7,Dan McClintock,6,2000,53,3.0,0.006999999999999999,-6.6,-0.1,DEN,northern arizona university,1,58,18,Bust,dan-mcclintock-1,northern arizona,northern,Dan McClintock,0,79,196,0.632,0.632,0.499,0.652,115,84,1716.0,1363,40,0.0,0.0,486,0.642,15.6,155.0,0.256,1.8414918414918415,4.568764568764569,31.771561771561775,0.9324009324009325,0.0,11.32867132867133,3.613053613053613
0.2,22.5,Chris Porter,51,2000,55,8.6,0.008,-4.6,-0.8,GSW,auburn,1,1147,440,Bust,chris-porter-1,auburn,auburn,Chris Porter,1,64,22,0.476,0.467,0.464,0.651,56,79,1617.0,859,116,0.308,12.0,450,0.514,13.0,125.0,0.251,1.583178726035869,0.5442176870748299,21.24922696351268,2.8695114409400126,0.29684601113172543,11.131725417439704,3.0921459492888066
0.0,0.0,Jaquay Walls,0,2000,56,0.0,0.0,0.0,0.0,IND,colorado,0,0,0,Bust,jaquay-walls-1,colorado,colorado,Jaquay Walls,1,273,14,0.483,0.419,0.564,0.746,65,75,2494.9002375296914,929,95,0.356,85.0,205,0.547,15.219621749408972,177.15248226950354,0.181833531510107,4.376928518317175,0.22445787273421408,14.894383126434636,1.5231069935535957,1.3627799416005857,3.2867045650367066,2.840233522842739
0.0,0.0,Scoonie Penn,0,2000,57,0.0,0.0,0.0,0.0,ATL,ohio state,0,0,0,Bust,scoonie-penn-1,ohio state,ohio,Scoonie Penn,1,471,11,0.512,0.42,0.35,0.755,122,70,2494.9002375296914,1813,224,0.338,257.0,456,0.552,15.219621749408972,177.15248226950354,0.181833531510107,7.5514041469867745,0.1763597571483111,29.067294519080725,3.5913259637474253,4.120405235192359,7.310913569057259,2.840233522842739
0.0,0.0,Pete Mickeal,0,2000,58,0.0,0.0,0.0,0.0,DAL,cincinnati,0,0,0,Bust,pete-mickeal-1,cincinnati,cincinnati,Pete Mickeal,0,115,25,0.568,0.545,0.587,0.711,65,78,2494.9002375296914,925,97,0.355,27.0,439,0.607,15.219621749408972,177.15248226950354,0.181833531510107,1.8437610974596157,0.40081762988252523,14.830252305653431,1.5551724039441979,0.4328830402731272,7.038357580737142,2.840233522842739
15.4,14.2,Brian Cardinal,456,2000,44,4.6,0.114,0.7,4.5,DET,purdue,12,6477,2108,Player,brian-cardinal-1,purdue,purdue,Brian Cardinal,1,277,44,0.521,0.461,0.568,0.761,132,80,3693.0,1584,259,0.365,130.0,749,0.581,15.6,253.0,0.184,3.000270782561603,0.47657730842133766,17.156783103168156,2.8053073382074194,1.4080693203357701,8.112645545626862,2.740319523422692
0.2,9.9,Erick Barkley,27,2000,28,2.9,0.027000000000000003,-3.8,-0.1,POR,st. john's,2,266,77,Bust,erick-barkley-1,st johns ny,st,Erick Barkley,1,302,18,0.464,0.396,0.363,0.727,65,73,2261.0,949,167,0.328,107.0,202,0.508,13.4,145.0,0.118,5.3427686864219375,0.31844316674038037,16.789031402034496,2.9544449358690845,1.89296771340115,3.5736399823087126,2.5652366209641753
