win shares,mins played (per game),player,games,year,rank,points(per game),ws/48,box +/-,value overall replacement player,team,college,years,mins played (total),points (total),class,player_id,college_id,word,name,big_conf_flag,assists,blocks,effective_field_goal_percentage,field_goal_percentage,free_throw_attempt_rate,free_throw_percentage,games_played,height,minutes_played,points,steals,three_point_percentage,three_pointers,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_shares_per_40_minutes,assists_per_40,blocks_per_40,points_per_40,steals_per_40,three_pointers_per_40,total_rebounds_per_40,turnovers_per_40
0.0,0.0,Ricky Minard,0,2004,48,0.0,0.0,0.0,0.0,SAC,morehead state university,0,0,0,Bust,ricky-minard-1,morehead state,morehead,Ricky Minard,0,417,71,0.556,0.488,0.393,0.796,114,76,2934.0,2381,245,0.372,226.0,725,0.6,14.9,347.0,0.199,5.6850715746421265,0.9679618268575324,32.46080436264486,3.340149965916837,3.0811179277436946,9.884117246080436,4.730743012951602
45.3,30.9,Emeka Okafor,616,2004,2,12.0,0.114,-0.4,7.6,CHA,uconn,10,19055,7370,Player,emeka-okafor-1,connecticut,uconn,Emeka Okafor,1,81,441,0.59,0.59,0.449,0.564,103,82,3274.0,1426,91,0.3291618569636134,0.0,1091,0.591,14.6,206.0,0.272,0.9896151496640195,5.387904703726329,17.422113622480147,1.1117898594990836,0.0,13.329260843005496,2.516799022602321
33.3,27.4,Ben Gordon,744,2004,3,14.9,0.078,-1.1,4.7,CHI,uconn,11,20366,11084,Player,ben-gordon-1,connecticut,uconn,Ben Gordon,1,437,19,0.531,0.44,0.346,0.795,106,75,3291.0,1795,125,0.423,246.0,415,0.574,16.2,302.0,0.191,5.31145548465512,0.23093284715891826,21.817076876329384,1.5192950470981463,2.9899726526891524,5.044059556365847,3.670616833789122
54.9,24.3,Devin Harris,985,2004,5,10.8,0.11,0.3,13.7,WAS,wisconsin,15,23963,10597,Player,devin-harris-1,wisconsin,wisconsin,Devin Harris,1,295,40,0.542,0.447,0.474,0.778,96,75,3356.0,1425,164,0.375,187.0,391,0.593,12.4,170.0,0.21,3.5160905840286056,0.47675804529201427,16.984505363528008,1.9547079856972585,2.2288438617401667,4.66030989272944,2.026221692491061
25.7,26.7,Josh Childress,391,2004,6,9.1,0.11800000000000001,1.3,8.6,ATL,stanford,8,10432,3548,Player,josh-childress-1,stanford,stanford,Josh Childress,1,155,95,0.497,0.438,0.278,0.755,86,80,2458.0,1061,77,0.335,104.0,583,0.532,13.1,150.0,0.182,2.5223759153783565,1.5459723352318957,17.26606997558991,1.2530512611879576,1.6924328722538649,9.487388120423109,2.441008950366151
74.0,34.3,Luol Deng,902,2004,7,14.8,0.115,0.9,22.6,PHO,duke,15,30941,13361,Player,luol-deng-1,duke,duke,Luol Deng,1,68,39,0.522,0.476,0.313,0.71,37,80,1149.0,558,49,0.36,40.0,255,0.551,14.1,83.0,0.195,2.3672758920800696,1.3577023498694518,19.425587467362924,1.7058311575282856,1.392515230635335,8.87728459530026,2.88946910356832
96.4,33.4,Andre Iguodala,1108,2004,9,12.1,0.125,2.9,45.5,PHI,arizona,15,37034,13456,Player,andre-iguodala-1,arizona,arizona,Andre Iguodala,1,213,29,0.458,0.424,0.427,0.738,62,78,1576.0,594,95,0.274,32.0,409,0.511,18.5,132.0,0.137,5.406091370558376,0.7360406091370558,15.076142131979696,2.4111675126903553,0.8121827411167513,10.380710659898478,3.350253807106599
0.2,9.9,Luke Jackson,73,2004,10,3.5,0.01,-4.4,-0.4,CLE,oregon,4,724,252,Player,luke-jackson-1,oregon,oregon,Luke Jackson,1,424,37,0.524,0.461,0.426,0.849,126,79,3665.0,1970,160,0.402,174.0,746,0.586,14.9,295.0,0.172,4.627557980900409,0.40381991814461116,21.500682128240108,1.7462482946793998,1.8990450204638474,8.141882673942701,3.219645293315143
3.2,14.2,David Harrison,189,2004,29,5.0,0.057,-3.4,-1.0,IND,colorado,4,2686,949,Player,david-harrison-1,colorado,colorado,David Harrison,1,52,225,0.601,0.601,0.754,0.553,88,84,2480.0,1317,54,0.0,0.0,707,0.596,16.1,212.0,0.232,0.8387096774193549,3.629032258064516,21.241935483870968,0.8709677419354839,0.0,11.403225806451614,3.419354838709677
-0.4,11.4,Rafael Araújo,139,2004,8,2.8,-0.013000000000000001,-6.4,-1.8,TOR,byu,3,1585,389,Player,rafael-araujo-1,brigham young,byu,Rafael Araujo,0,75,40,0.575,0.567,0.43,0.691,62,83,1697.0,935,88,0.268,11.0,589,0.601,19.0,182.0,0.251,1.7678255745433116,0.9428403064230996,22.038892162639954,2.074248674130819,0.2592810842663524,13.88332351208014,4.289923394225103
30.3,17.8,Kris Humphries,800,2004,14,6.7,0.102,-2.0,0.1,UTA,minnesota,13,14232,5350,Player,kris-humphries-1,minnesota,minnesota,Kris Humphries,1,20,33,0.461,0.444,0.46,0.742,29,81,990.0,629,27,0.34,17.0,294,0.518,11.9,82.0,0.14,0.8080808080808082,1.3333333333333333,25.41414141414141,1.0909090909090908,0.6868686868686869,11.878787878787879,3.313131313131313
61.3,30.2,Kevin Martin,714,2004,26,17.4,0.13699999999999998,0.1,11.3,SAC,western carolina university,12,21559,12396,Player,kevin-martin-1,western carolina,western,Kevin Martin,0,133,30,0.533,0.462,0.519,0.841,79,79,2515.0,1838,134,0.346,174.0,354,0.602,13.2,232.0,0.218,2.1153081510934393,0.47713717693836977,29.232604373757454,2.131212723658052,2.7673956262425445,5.630218687872763,3.6898608349900597
38.7,22.0,Tony Allen,820,2004,25,8.1,0.10300000000000001,1.0,13.7,BOS,oklahoma state,14,18055,6654,Player,tony-allen-1,oklahoma state,oklahoma,Tony Allen,1,196,54,0.51,0.477,0.449,0.682,67,76,2105.0,1022,134,0.347,52.0,366,0.547,16.8,188.0,0.206,3.7244655581947743,1.0261282660332542,19.420427553444178,2.5463182897862238,0.9881235154394299,6.954869358669834,3.5724465558194773
24.5,27.4,Delonte West,432,2004,24,9.7,0.099,0.5,7.6,BOS,saint joseph's,8,11842,4198,Player,delonte-west-1,saint josephs,saint,Delonte West,0,270,15,0.551,0.489,0.29,0.831,89,76,2384.0,1235,121,0.377,113.0,377,0.59,14.4,176.0,0.216,4.530201342281879,0.25167785234899326,20.721476510067113,2.030201342281879,1.895973154362416,6.325503355704698,2.953020134228188
48.3,27.9,Jameer Nelson,878,2004,20,11.3,0.094,0.0,12.7,DEN,saint joseph's,14,24539,9940,Player,jameer-nelson-1,saint josephs,saint,Jameer Nelson,0,713,10,0.527,0.454,0.377,0.786,125,72,4311.0,2094,250,0.365,229.0,581,0.573,17.2,379.0,0.184,6.615634423567618,0.09278589654372535,19.42936673625609,2.3196474135931338,2.1247970308513104,5.390860589190442,3.516585479007191
4.5,16.8,Kirk Snyder,211,2004,16,6.3,0.061,-2.0,0.0,UTA,nevada,4,3540,1333,Player,kirk-snyder-1,nevada,nevada,Kirk Snyder,0,224,63,0.473,0.426,0.454,0.677,84,78,2586.0,1404,76,0.31,106.0,537,0.516,16.2,263.0,0.153,3.4648105181747875,0.974477958236659,21.7169373549884,1.1755607115235887,1.639597834493426,8.306264501160094,4.068058778035576
0.5,8.5,Chris Taft,17,2005,42,2.8,0.155,-1.3,0.0,GSW,pitt,1,144,47,Bust,chris-taft-1,pittsburgh,pitt,Chris Taft,1,69,110,0.569,0.569,0.427,0.564,65,82,1692.0,778,23,0.3291618569636134,0.0,488,0.573,11.9,92.0,0.269,1.6312056737588654,2.6004728132387704,18.39243498817967,0.5437352245862884,0.0,11.536643026004729,2.1749408983451537
5.6,14.9,Travis Diener,179,2005,38,4.8,0.102,-1.8,0.1,ORL,marquette,5,2660,854,Player,travis-diener-1,marquette,marquette,Travis Diener,1,617,8,0.532,0.416,0.375,0.837,120,73,3770.0,1691,158,0.413,284.0,373,0.585,13.7,230.0,0.17,6.546419098143236,0.08488063660477453,17.94164456233422,1.6763925729442972,3.0132625994694964,3.957559681697613,2.440318302387268
19.2,17.0,Ronny Turiaf,473,2005,37,4.7,0.115,1.0,6.0,LAL,gonzaga,10,8020,2209,Player,ronny-turiaf-1,gonzaga,gonzaga,Ronny Turiaf,0,130,179,0.52,0.518,0.866,0.715,127,82,3239.0,1723,61,0.222,4.0,859,0.588,15.1,261.0,0.231,1.6054337758567458,2.210558814448904,21.27817227539364,0.7533189255943193,0.04939796233405372,10.608212411238036,3.223217042297005
42.8,21.6,Brandon Bass,758,2005,33,8.7,0.125,-1.1,3.7,NOH,lsu,12,16410,6575,Player,brandon-bass-1,louisiana state,lsu,Brandon Bass,1,42,104,0.555,0.54,0.617,0.78,59,80,2020.0,890,45,0.378,17.0,486,0.616,13.1,109.0,0.198,0.8316831683168318,2.0594059405940595,17.623762376237625,0.891089108910891,0.33663366336633666,9.623762376237623,2.1584158415841586
3.3,12.4,Von Wafer,200,2005,39,5.3,0.064,-3.2,-0.7,LAL,florida state,6,2475,1054,Player,von-wafer-1,florida state,florida,Von Wafer,1,84,13,0.508,0.405,0.223,0.669,61,77,1318.0,615,54,0.365,108.0,133,0.526,12.7,85.0,0.101,2.549317147192716,0.3945371775417299,18.664643399089528,1.638846737481032,3.277693474962064,4.036418816388467,2.579666160849772
-0.2,7.8,Alex Acker,30,2005,60,2.7,-0.043,-6.9,-0.3,DET,pepperdine,2,234,81,Bust,alex-acker-1,pepperdine,pepperdine,Alex Acker,0,249,38,0.518,0.457,0.315,0.823,88,77,3023.0,1273,133,0.411,120.0,495,0.563,16.9,230.0,0.119,3.2947403241812765,0.5028117763810784,16.844194508766126,1.7598412173337743,1.5878266622560369,6.549784981806153,3.0433344359907375
19.4,27.6,Ryan Gomes,487,2005,50,10.1,0.069,-1.3,2.3,BOS,providence,8,13463,4926,Player,ryan-gomes-1,providence,providence,Ryan Gomes,1,270,50,0.546,0.519,0.411,0.789,116,79,4077.0,2138,181,0.352,81.0,1028,0.592,12.9,267.0,0.202,2.6490066225165565,0.4905567819475104,20.976207996075544,1.775815550649988,0.794701986754967,10.085847436840814,2.619573215599706
0.0,9.2,Robert Whaley,23,2005,51,2.1,0.004,-3.5,-0.1,UTA,walsh university,1,212,49,Bust,robert-whaley-1,cincinnati,cincinnati,Robert Whaley,0,14,8,0.348,0.348,0.341,0.66,22,82,286.0,127,6,0.0,0.0,54,0.396,13.0,24.0,0.01,1.9580419580419581,1.118881118881119,17.762237762237763,0.8391608391608392,0.0,7.552447552447552,3.3566433566433567
-0.7,11.9,Orien Greene,131,2005,53,2.5,-0.022000000000000002,-3.8,-0.7,BOS,la-lafayette,4,1555,326,Player,orien-greene-1,louisiana lafayette,la-lafayette,Orien Greene,0,326,33,0.486,0.409,0.26,0.726,104,76,2567.0,732,207,0.316,97.0,355,0.516,23.9,223.0,0.128,5.079859758472925,0.514218932606155,11.406310868718348,3.225555122711336,1.5114920140241528,5.531749123490456,3.4748733930658355
0.2,5.8,Dijon Thompson,16,2005,54,2.8,0.102,-4.3,-0.1,NYK,ucla,2,93,45,Bust,dijon-thompson-1,ucla,ucla,Dijon Thompson,1,239,37,0.521,0.464,0.266,0.781,117,79,3252.0,1458,133,0.362,133.0,546,0.554,17.8,285.0,0.119,2.939729397293973,0.45510455104551045,17.933579335793358,1.6359163591635917,1.6359163591635917,6.715867158671587,3.5055350553505535
2.5,13.2,Lawrence Roberts,87,2005,55,3.8,0.106,-1.4,0.2,SEA,mississippi state,2,1150,334,Bust,lawrence-roberts-1,mississippi state,mississippi,Lawrence Roberts,1,177,112,0.479,0.458,0.612,0.659,118,81,3701.0,1942,189,0.302,61.0,1172,0.528,13.2,279.0,0.186,1.9129964874358283,1.2104836530667387,20.98892191299649,2.0426911645501216,0.6592812753309917,12.66684679816266,3.0154012429073225
0.8,13.3,Daniel Ewing,127,2005,32,3.4,0.024,-3.7,-0.7,LAC,duke,2,1683,431,Bust,daniel-ewing-1,duke,duke,Daniel Ewing,1,293,24,0.519,0.432,0.325,0.746,138,75,3827.0,1595,191,0.392,217.0,382,0.554,15.2,258.0,0.141,3.0624510060099297,0.2508492291612229,16.67102168800627,1.9963417820747322,2.268095113666057,3.9926835641494645,2.696629213483146
0.5,12.5,Bracey Wright,26,2005,47,5.0,0.068,-3.7,-0.1,MIN,indiana,2,325,129,Bust,bracey-wright-1,indiana,indiana,Bracey Wright,1,204,47,0.485,0.405,0.416,0.776,85,75,3035.0,1498,79,0.35,186.0,433,0.54,12.5,198.0,0.136,2.688632619439868,0.6194398682042833,19.742998352553542,1.0411861614497528,2.4514003294892914,5.706754530477759,2.609555189456343
2.2,17.0,Salim Stoudamire,157,2005,31,8.0,0.04,-5.1,-2.1,ATL,arizona,3,2672,1260,Player,salim-stoudamire-1,arizona,arizona,Salim Stoudamire,1,256,8,0.602,0.471,0.342,0.87,129,73,3848.0,1960,99,0.458,342.0,283,0.646,14.7,262.0,0.176,2.6611226611226613,0.08316008316008316,20.37422037422037,1.0291060291060292,3.5550935550935554,2.9417879417879416,2.7234927234927238
76.0,29.3,David Lee,829,2005,30,13.5,0.15,1.6,22.3,NYK,florida,12,24293,11232,Player,david-lee-1,florida,florida,David Lee,1,251,109,0.581,0.581,0.55,0.681,127,81,3171.0,1436,113,0.0,0.0,869,0.609,18.2,263.0,0.227,3.1661936297697886,1.3749605802585934,18.114159571113213,1.425417849258909,0.0,10.961841690318511,3.317565436770735
0.9,9.9,Wayne Simien,51,2005,29,3.3,0.083,-4.8,-0.4,MIA,kansas,2,507,169,Bust,wayne-simien-1,kansas,kansas,Wayne Simien,1,93,78,0.561,0.558,0.508,0.784,106,81,2817.0,1593,78,0.24,6.0,884,0.612,12.5,185.0,0.249,1.3205537806176784,1.1075612353567625,22.619808306709267,1.1075612353567625,0.08519701810436636,12.552360667376641,2.6269080582179622
64.1,28.3,Marvin Williams,1053,2005,2,10.3,0.10300000000000001,-0.2,13.2,ATL,unc,15,29796,10891,Player,marvin-williams-1,north carolina,unc,Marvin Williams,1,26,17,0.545,0.506,0.66,0.847,36,81,800.0,407,39,0.432,19.0,236,0.627,14.7,56.0,0.239,1.3,0.8500000000000001,20.35,1.9500000000000002,0.95,11.799999999999999,2.8000000000000003
77.3,34.2,Deron Williams,845,2005,3,16.3,0.129,1.3,23.8,UTA,illinois,12,28865,13804,Player,deron-williams-1,illinois,illinois,Deron Williams,1,594,22,0.508,0.422,0.228,0.685,101,75,3200.0,1111,115,0.374,163.0,334,0.529,18.8,243.0,0.133,7.425000000000001,0.275,13.8875,1.4375,2.0374999999999996,4.175,3.0375
177.7,34.9,Chris Paul,999,2005,4,18.5,0.244,7.2,80.9,NOH,wake forest,15,34900,18436,Player,chris-paul-1,wake forest,wake,Chris Paul,1,395,13,0.545,0.472,0.62,0.838,63,72,2110.0,948,160,0.47,86.0,245,0.622,18.3,171.0,0.178,7.488151658767772,0.24644549763033177,17.971563981042653,3.033175355450237,1.6303317535545023,4.644549763033176,3.241706161137441
40.2,29.7,Raymond Felton,971,2005,5,11.2,0.067,-0.6,9.9,CHA,unc,14,28829,10853,Player,raymond-felton-1,north carolina,unc,Raymond Felton,1,698,27,0.512,0.423,0.361,0.731,101,73,3421.0,1260,192,0.375,174.0,417,0.55,24.0,361.0,0.132,8.1613563285589,0.31569716457176267,14.732534346682256,2.244957614732534,2.034492838351359,4.875767319497223,4.220988015200234
22.6,20.7,Charlie Villanueva,656,2005,7,10.4,0.08,-1.8,0.6,TOR,uconn,11,13578,6808,Player,charlie-villanueva-1,connecticut,uconn,Charlie Villanueva,1,63,105,0.541,0.518,0.389,0.681,63,83,1405.0,707,26,0.393,24.0,425,0.568,14.9,109.0,0.238,1.793594306049822,2.98932384341637,20.12811387900356,0.7402135231316725,0.6832740213523132,12.09964412811388,3.1032028469750887
38.9,22.2,Channing Frye,890,2005,8,8.7,0.094,-0.2,8.9,NYK,arizona,13,19772,7786,Player,channing-frye-1,arizona,arizona,Channing Frye,1,176,258,0.565,0.562,0.387,0.759,133,83,3686.0,1789,86,0.261,6.0,975,0.601,11.4,191.0,0.23,1.9099294628323384,2.7997829625610415,19.413998914812804,0.9332609875203473,0.06511123168746609,10.580575149213239,2.072707542051004
6.5,12.4,Ike Diogu,225,2005,9,6.0,0.11199999999999999,-4.8,-2.0,GSW,arizona state,6,2795,1348,Player,ike-diogu-1,arizona state,arizona,Ike Diogu,1,113,153,0.59,0.571,0.791,0.786,91,80,3190.0,1946,39,0.387,41.0,802,0.655,17.0,305.0,0.257,1.4169278996865202,1.9184952978056427,24.4012539184953,0.4890282131661442,0.5141065830721003,10.056426332288401,3.824451410658307
2.6,15.7,Sean May,119,2005,13,6.9,0.068,-2.4,-0.2,CHA,unc,4,1868,821,Player,sean-may-1,north carolina,unc,Sean May,1,113,94,0.513,0.513,0.532,0.717,77,81,2139.0,1213,100,0.0,0.0,771,0.562,14.6,184.0,0.229,2.113136979897148,1.7578307620383358,22.68349696119682,1.8700327255726976,0.0,14.417952314165499,3.440860215053764
3.6,20.2,Rashad McCants,249,2005,14,10.0,0.035,-2.5,-0.6,MIN,unc,4,5037,2479,Player,rashad-mccants-1,north carolina,unc,Rashad McCants,1,204,61,0.574,0.486,0.298,0.721,98,76,2863.0,1721,145,0.415,221.0,398,0.597,13.2,220.0,0.207,2.8501571777855395,0.8522528815927349,24.044708347886832,2.0258470136220748,3.087670275934334,5.560600768424729,3.0736989172196996
50.6,28.1,Andrew Bogut,706,2005,1,9.6,0.122,2.3,21.6,MIL,utah,14,19862,6808,Player,andrew-bogut-1,utah,utah,Andrew Bogut,1,155,109,0.612,0.603,0.429,0.674,68,84,2226.0,1126,48,0.361,13.0,753,0.629,17.0,183.0,0.307,2.785265049415993,1.958670260557053,20.23360287511231,0.862533692722372,0.2336028751123091,13.530997304582211,3.288409703504043
7.8,16.2,Joey Graham,377,2005,16,5.9,0.061,-3.8,-2.8,TOR,oklahoma state,6,6117,2239,Player,joey-graham-1,oklahoma state,oklahoma,Joey Graham,1,210,33,0.559,0.527,0.439,0.809,128,79,3337.0,1667,100,0.378,71.0,667,0.609,16.9,279.0,0.193,2.5172310458495657,0.39556487863350315,19.98201977824393,1.1986814504045549,0.851063829787234,7.995205274198382,3.3443212466287084
3.1,19.2,Antoine Wright,297,2005,15,5.4,0.026000000000000002,-3.1,-1.5,NJN,texas a&m,6,5714,1614,Player,antoine-wright-1,texas am,texas,Antoine Wright,1,184,50,0.492,0.412,0.303,0.648,87,79,2793.0,1338,95,0.376,181.0,487,0.516,13.2,198.0,0.121,2.63515932688865,0.7160759040458288,19.16219119226638,1.360544217687075,2.5921947726459003,6.974579305406373,2.8356605800214822
13.6,20.0,Linas Kleiza,409,2005,27,8.7,0.08,-2.4,-0.9,POR,missouri,7,8185,3561,Player,linas-kleiza-1,missouri,missouri,Linas Kleiza,1,66,14,0.448,0.413,0.535,0.707,49,80,1408.0,707,27,0.287,39.0,385,0.508,14.3,116.0,0.109,1.875,0.3977272727272727,20.08522727272727,0.7670454545454546,1.1079545454545454,10.9375,3.2954545454545454
20.3,18.4,Jason Maxiell,618,2005,26,5.6,0.086,-2.0,0.1,DET,cincinnati,10,11379,3481,Player,jason-maxiell-1,cincinnati,cincinnati,Jason Maxiell,0,87,251,0.508,0.507,0.608,0.653,129,79,3563.0,1566,91,0.286,2.0,908,0.548,11.7,189.0,0.251,0.9767050238563009,2.817850126298063,17.580690429413416,1.0216110019646365,0.022452989054167836,10.193657030592199,2.1218074656188604
14.7,22.4,Luther Head,348,2005,24,8.2,0.09,-0.4,3.2,HOU,illinois,6,7797,2842,Player,luther-head-1,illinois,illinois,Luther Head,1,326,23,0.582,0.473,0.253,0.752,128,75,3250.0,1295,158,0.382,209.0,403,0.605,15.5,197.0,0.186,4.012307692307692,0.28307692307692306,15.938461538461539,1.9446153846153846,2.572307692307692,4.96,2.4246153846153846
18.2,21.6,Francisco García,549,2005,23,7.9,0.07400000000000001,-0.3,4.9,SAC,louisville,10,11853,4323,Player,francisco-garcia-1,louisville,louisville,Francisco Garcia,1,346,134,0.535,0.448,0.353,0.849,98,79,2757.0,1413,145,0.369,180.0,379,0.587,16.2,233.0,0.261,5.019949220166849,1.9441421835328254,20.500544069640917,2.1037359448676094,2.6115342763873777,5.498730504171201,3.380486035545883
27.8,22.5,Nate Robinson,618,2005,21,11.0,0.096,0.2,7.8,PHO,washington,11,13878,6807,Player,nate-robinson-1,washington,washington,Nate Robinson,1,285,9,0.523,0.457,0.342,0.793,89,69,2510.0,1283,140,0.348,127.0,345,0.566,13.3,174.0,0.149,4.541832669322709,0.14342629482071714,20.44621513944223,2.231075697211155,2.0239043824701195,5.49800796812749,2.7729083665338643
0.0,4.3,Julius Hodge,23,2005,20,1.2,0.003,-4.5,-0.1,DEN,nc state,2,98,28,Bust,julius-hodge-1,north carolina state,nc,Julius Hodge,1,454,82,0.513,0.473,0.557,0.76,129,79,4258.0,2040,161,0.329,114.0,773,0.573,15.7,332.0,0.176,4.264913104744012,0.7703147017379052,19.163926726162515,1.5124471582902772,1.0709253170502584,7.261625176139033,3.1188351338656646
20.4,20.2,Hakim Warrick,526,2005,19,9.4,0.092,-3.1,-2.9,MEM,syracuse,8,10624,4947,Player,hakim-warrick-1,syracuse,syracuse,Hakim Warrick,1,207,128,0.539,0.536,0.561,0.659,135,81,4186.0,2073,131,0.25,10.0,1025,0.572,14.7,313.0,0.199,1.9780219780219779,1.2231247013855708,19.808886765408506,1.2517916865742953,0.09555661729574774,9.794553272814143,2.9909221213569035
48.5,31.5,Danny Granger,586,2005,17,16.8,0.126,1.5,16.1,IND,new mexico,10,18487,9855,Player,danny-granger-1,new mexico,new,Danny Granger,0,154,180,0.533,0.496,0.561,0.753,95,80,2695.0,1586,148,0.366,78.0,781,0.587,13.8,217.0,0.272,2.2857142857142856,2.6716141001855287,23.539888682745826,2.196660482374768,1.157699443413729,11.591836734693876,3.220779220779221
36.8,27.8,Jarrett Jack,867,2005,22,10.8,0.073,-1.2,5.1,DEN,georgia tech,13,24140,9349,Player,jarrett-jack-1,georgia tech,georgia,Jarrett Jack,1,543,11,0.532,0.478,0.532,0.796,101,75,3260.0,1265,183,0.359,93.0,450,0.594,23.8,332.0,0.175,6.662576687116565,0.13496932515337423,15.521472392638035,2.245398773006135,1.1411042944785275,5.521472392638037,4.07361963190184
0.0,0.0,Denham Brown,0,2006,40,0.0,0.0,0.0,0.0,SEA,uconn,0,0,0,Bust,denham-brown-1,connecticut,uconn,Denham Brown,1,175,27,0.488,0.429,0.267,0.776,135,78,3256.0,1267,94,0.354,127.0,530,0.525,14.6,206.0,0.12,2.14987714987715,0.33169533169533166,15.565110565110565,1.1547911547911547,1.5601965601965604,6.511056511056511,2.5307125307125307
16.0,23.5,Daniel Gibson,397,2006,42,7.8,0.08199999999999999,-1.0,2.3,CLE,texas,7,9316,3115,Player,daniel-gibson-1,texas,texas,Daniel Gibson,1,237,20,0.533,0.411,0.324,0.741,68,74,2246.0,935,104,0.387,175.0,245,0.566,16.6,165.0,0.165,4.220837043633125,0.3561887800534283,16.651825467497773,1.8521816562778273,3.116651825467498,4.363312555654497,2.9385574354407833
0.3,5.8,James Augustine,27,2006,41,1.6,0.10099999999999999,-2.2,0.0,ORL,illinois,2,156,42,Bust,james-augustine-1,illinois,illinois,James Augustine,1,148,139,0.621,0.617,0.52,0.687,137,82,3717.0,1383,141,0.333,6.0,1023,0.641,15.6,199.0,0.282,1.5926822706483723,1.4958299704062417,14.882970137207426,1.5173527037933818,0.0645682001614205,11.008878127522195,2.1415119720204463
0.4,11.6,David Noel,68,2006,39,2.7,0.024,-3.4,-0.3,MIL,unc,1,792,184,Bust,david-noel-1,north carolina,unc,David Noel,1,247,60,0.581,0.532,0.306,0.587,127,78,2948.0,880,137,0.354,64.0,549,0.586,22.6,219.0,0.142,3.3514246947082764,0.814111261872456,11.940298507462686,1.8588873812754407,0.8683853459972862,7.449118046132972,2.9715061058344636
5.0,11.0,Solomon Jones,281,2006,33,3.0,0.078,-2.9,-0.7,ATL,south florida,8,3092,839,Player,solomon-jones-1,south florida,south,Solomon Jones,0,61,153,0.505,0.505,0.502,0.693,59,82,1838.0,581,38,0.0,0.0,470,0.548,23.3,161.0,0.142,1.3275299238302503,3.329706202393907,12.64417845484222,0.8269858541893362,0.0,10.228509249183894,3.503808487486398
1.1,9.5,Bobby Jones,91,2006,37,3.2,0.06,-3.5,-0.3,MIN,washington,2,867,288,Bust,bobby-jones-2,washington,unc,Bobby Jones,1,153,59,0.539,0.501,0.523,0.707,125,79,3013.0,1226,134,0.367,65.0,617,0.58,13.7,168.0,0.162,2.0311981413873217,0.7832724858944573,16.27613674078991,1.7789578493196152,0.86292731496847,8.19117158977763,2.230335214072353
16.0,16.9,Craig Smith,403,2006,36,7.6,0.113,-1.5,0.9,MIN,boston college,6,6826,3080,Player,craig-smith-1,boston college,boston,Craig Smith,1,245,100,0.563,0.558,0.463,0.643,130,79,4415.0,2349,167,0.239,16.0,1114,0.583,12.7,293.0,0.212,2.2197055492638733,0.9060022650056625,21.28199320498301,1.5130237825594564,0.144960362400906,10.09286523216308,2.654586636466591
33.1,29.2,P.J. Tucker,630,2006,35,7.4,0.086,0.9,13.4,TOR,texas,9,18407,4663,Player,pj-tucker-1,texas,texas,P.J. Tucker,1,170,23,0.528,0.526,0.492,0.711,87,77,2518.0,1169,116,0.5,2.0,714,0.57,15.7,191.0,0.218,2.7005559968228754,0.3653693407466243,18.570293884034946,1.8427323272438443,0.03177124702144559,11.342335186656076,3.034154090548054
0.5,8.6,Paul Davis,82,2006,34,2.6,0.035,-4.7,-0.5,LAC,michigan state,4,702,217,Player,paul-davis-1,michigan state,michigan,Paul Davis,1,178,87,0.543,0.538,0.547,0.763,130,83,3349.0,1718,146,0.271,13.0,910,0.597,15.8,270.0,0.213,2.1260077635114962,1.0391161540758436,20.51955807703792,1.7438041206330248,0.15527022991937892,10.868916094356525,3.2248432367871005
1.5,12.8,Alexander Johnson,102,2006,45,4.3,0.055999999999999994,-4.3,-0.7,IND,florida state,2,1302,439,Bust,alexander-johnson-1,florida state,florida,Alexander Johnson,1,64,66,0.53,0.52,0.703,0.667,92,81,1935.0,900,81,0.308,12.0,482,0.573,23.3,238.0,0.186,1.3229974160206717,1.3643410852713178,18.6046511627907,1.6744186046511627,0.24806201550387597,9.963824289405686,4.919896640826874
0.0,3.0,Guillermo Díaz,6,2006,52,0.8,0.033,-5.9,0.0,LAC,miami (fl),1,18,5,Bust,guillermo-diaz-1,miami fl,miami,Guillermo Diaz,1,238,25,0.523,0.448,0.318,0.74,93,74,3032.0,1477,123,0.38,174.0,313,0.557,12.7,193.0,0.148,3.1398416886543536,0.32981530343007914,19.485488126649077,1.6226912928759896,2.2955145118733506,4.129287598944591,2.546174142480211
90.8,29.2,Paul Millsap,977,2006,47,14.0,0.153,3.1,37.0,UTA,louisiana tech,14,28519,13708,Player,paul-millsap-1,louisiana tech,louisiana,Paul Millsap,0,87,183,0.579,0.577,0.546,0.62,92,80,3240.0,1708,121,0.375,6.0,1172,0.594,13.5,224.0,0.304,1.0740740740740742,2.259259259259259,21.086419753086417,1.4938271604938271,0.07407407407407407,14.469135802469136,2.765432098765432
12.0,13.9,Leon Powe,239,2006,49,6.2,0.174,-2.3,-0.2,DEN,california,5,3320,1484,Player,leon-powe-1,california,california,Leon Powe,1,57,32,0.495,0.492,0.731,0.672,54,80,1757.0,962,43,0.3,3.0,529,0.549,12.0,119.0,0.186,1.2976664769493453,0.7285145133750712,21.900967558338074,0.9789413773477519,0.06829823562891292,12.043255549231644,2.7091633466135456
