win shares,mins played (per game),player,games,year,rank,points(per game),ws/48,box +/-,value overall replacement player,team,college,years,mins played (total),points (total),class,player_id,college_id,word
72.9,33.1,Jimmy Butler,564,2011,30,17.0,0.188,4.1,28.7,CHI,marquette,9,18656,9560,Player,jimmy-butler-1,marquette,marquette
45.4,30.1,Nikola Vučević,573,2011,16,15.9,0.126,1.9,17.0,PHI,usc,9,17274,9101,Player,nikola-vucevic-1,southern california,usc
70.9,31.0,Kawhi Leonard,503,2011,15,18.4,0.21899999999999997,6.2,32.2,IND,san diego state,9,15572,9237,Player,kawhi-leonard-1,san diego state,san
3.0,22.3,Norris Cole,360,2011,28,7.0,0.018000000000000002,-4.0,-4.0,CHI,cleveland state university,6,8018,2506,Player,norris-cole-1,cleveland state,cleveland
0.2,8.3,JaJuan Johnson,36,2011,27,3.2,0.032,-6.3,-0.3,NJN,purdue,1,298,114,Bust,jajuan-johnson-1,purdue,purdue
3.0,13.9,Jordan Hamilton,151,2011,26,5.9,0.069,-1.5,0.3,DAL,texas,5,2100,890,Player,jordan-hamilton-2,texas,lehigh
28.6,25.2,Reggie Jackson,537,2011,24,12.9,0.10099999999999999,-0.1,6.6,OKC,boston college,9,13537,6928,Player,reggie-jackson-1,boston college,boston
3.3,17.3,MarShon Brooks,200,2011,25,8.0,0.046,-2.5,-0.4,BOS,providence,5,3456,1592,Player,marshon-brooks-1,providence,providence
-0.8,9.9,Nolan Smith,84,2011,21,3.3,-0.047,-6.5,-0.9,POR,duke,2,829,277,Bust,nolan-smith-1,duke,duke
44.0,30.7,Tobias Harris,595,2011,19,15.8,0.115,0.2,10.0,CHA,tennessee,9,18281,9388,Player,tobias-harris-1,tennessee,tennessee
2.3,17.6,Chris Singleton,148,2011,18,4.1,0.042,-2.3,-0.2,WAS,florida state,3,2605,612,Player,chris-singleton-1,florida state,florida
12.9,25.0,Iman Shumpert,459,2011,17,7.2,0.054000000000000006,-0.6,4.1,NYK,georgia tech,9,11459,3318,Player,iman-shumpert-1,georgia tech,georgia
38.8,24.5,Kenneth Faried,478,2011,22,11.4,0.159,1.1,9.3,DEN,morehead state university,8,11728,5430,Player,kenneth-faried-1,morehead state,morehead
20.3,24.2,Will Barton,484,2012,40,11.0,0.083,-0.3,4.9,POR,memphis,8,11731,5307,Player,will-barton-1,memphis,memphis
14.8,16.5,Mike Scott,485,2012,43,7.0,0.08900000000000001,-2.5,-0.9,ATL,virginia,8,7989,3387,Player,mike-scott-4,virginia,eastern
0.1,12.7,Doron Lamb,100,2012,42,3.5,0.005,-5.9,-1.2,MIL,kentucky,2,1272,345,Bust,doron-lamb-1,kentucky,kentucky
-0.9,8.0,Tyshawn Taylor,61,2012,41,2.9,-0.08800000000000001,-8.8,-0.8,POR,kansas,2,491,174,Bust,tyshawn-taylor-1,kansas,kansas
36.5,31.5,Khris Middleton,496,2012,39,16.0,0.11199999999999999,0.5,9.8,DET,texas a&m,8,15617,7959,Player,khris-middleton-1,texas am,texas
8.7,16.0,Quincy Acy,337,2012,37,4.9,0.078,-1.8,0.2,TOR,baylor,7,5392,1642,Player,quincy-acy-1,baylor,baylor
1.4,10.8,Orlando Johnson,103,2012,36,3.2,0.059000000000000004,-3.8,-0.5,SAC,uc santa barbara,3,1112,329,Player,orlando-johnson-1,california santa barbara,california
44.2,28.2,Draymond Green,569,2012,35,9.0,0.132,3.4,21.9,GSW,michigan state,8,16031,5128,Player,draymond-green-1,michigan state,michigan
30.2,24.6,Jae Crowder,587,2012,34,9.5,0.1,0.6,9.4,CLE,marquette,8,14450,5580,Player,jae-crowder-1,marquette,marquette
0.2,9.9,Kim English,41,2012,44,2.9,0.021,-4.2,-0.2,DET,missouri,1,407,119,Bust,kim-english-1,missouri,missouri
-0.1,13.5,Quincy Miller,69,2012,38,4.3,-0.003,-4.0,-0.5,DEN,baylor,3,934,295,Player,quincy-miller-1,baylor,baylor
3.7,17.4,Justin Hamilton,113,2012,45,6.1,0.091,-0.3,0.8,PHI,lsu,3,1961,687,Player,justin-hamilton-2,louisiana state,florida
-0.3,3.1,Kevin Murphy,17,2012,47,0.9,-0.272,-17.6,-0.2,UTA,tennessee technological university,1,52,15,Bust,kevin-murphy-1,tennessee tech,tennessee
17.4,14.3,Kyle O'Quinn,464,2012,49,5.5,0.126,1.9,6.4,ORL,norfolk state,8,6618,2536,Player,kyle-oquinn-1,norfolk state,norfolk
-0.1,5.4,Kris Joseph,10,2012,51,0.9,-0.127,-10.5,-0.1,BOS,syracuse,1,54,9,Bust,kris-joseph-1,syracuse,syracuse
-0.3,3.0,Darius Johnson-Odom,7,2012,55,0.0,-0.597,-23.2,-0.1,DAL,marquette,2,21,0,Bust,darius-johnson-odom-1,marquette,marquette
1.9,14.3,Robbie Hummel,98,2012,58,3.9,0.066,-2.9,-0.3,MIN,purdue,2,1397,379,Bust,robbie-hummel-1,purdue,purdue
0.0,0.0,Marcus Denmon,0,2012,59,0.0,0.0,0.0,0.0,SAS,missouri,0,0,0,Bust,marcus-denmon-1,missouri,missouri
5.9,20.4,Darius Miller,253,2012,46,6.0,0.055,-1.7,0.4,NOH,kentucky,5,5161,1524,Player,darius-miller-1,kentucky,kentucky
1.3,19.4,Jeffery Taylor,132,2012,31,6.1,0.024,-3.9,-1.2,CHA,vanderbilt,3,2566,807,Player,jeffery-taylor-1,vanderbilt,vanderbilt
2.4,14.5,Robert Sacre,189,2012,60,4.2,0.042,-3.1,-0.8,LAL,gonzaga,4,2745,787,Player,robert-sacre-1,gonzaga,gonzaga
-0.9,10.0,Marquis Teague,91,2012,29,2.4,-0.045,-8.0,-1.4,CHI,kentucky,3,909,217,Player,marquis-teague-1,kentucky,kentucky
79.5,34.6,Anthony Davis,506,2012,1,24.0,0.218,5.0,30.8,NOH,kentucky,8,17496,12128,Player,anthony-davis-5,kentucky,austin
21.1,25.1,Michael Kidd-Gilchrist,433,2012,2,8.6,0.09300000000000001,-1.2,2.2,CHA,kentucky,8,10857,3738,Player,michael-kidd-gilchrist-1,kentucky,kentucky
39.9,34.5,Bradley Beal,528,2012,3,20.5,0.105,1.0,13.9,WAS,florida,8,18198,10832,Player,bradley-beal-1,florida,florida
8.7,28.3,Dion Waiters,412,2012,4,13.2,0.036000000000000004,-2.5,-1.6,CLE,syracuse,8,11670,5422,Player,dion-waiters-1,syracuse,syracuse
4.6,13.4,Thomas Robinson,313,2012,5,4.9,0.053,-3.2,-1.3,SAC,kansas,5,4204,1528,Player,thomas-robinson-2,kansas,kansas
78.6,36.3,Damian Lillard,596,2012,6,24.0,0.174,4.2,33.8,POR,weber state,8,21653,14290,Player,damian-lillard-1,weber state,weber
32.6,31.1,Harrison Barnes,588,2012,7,13.6,0.086,-1.4,2.7,GSW,unc,8,18268,8026,Player,harrison-barnes-1,north carolina,unc
20.9,24.4,Terrence Ross,538,2012,8,10.7,0.077,-0.9,3.6,TOR,washington,8,13140,5778,Player,terrence-ross-1,washington,washington
60.0,31.1,Andre Drummond,588,2012,9,14.4,0.158,1.9,17.8,DET,uconn,8,18261,8454,Player,andre-drummond-1,connecticut,uconn
10.7,24.6,Austin Rivers,528,2012,10,9.2,0.04,-2.8,-2.5,NOH,duke,8,12963,4836,Player,austin-rivers-1,duke,duke
15.6,16.0,Meyers Leonard,440,2012,11,5.6,0.107,-1.3,1.2,POR,illinois,8,7038,2462,Player,meyers-leonard-1,illinois,illinois
23.1,21.1,Jeremy Lamb,472,2012,12,10.5,0.111,-0.4,4.0,HOU,uconn,8,9974,4937,Player,jeremy-lamb-1,connecticut,uconn
1.0,19.3,Kendall Marshall,160,2012,13,5.0,0.015,-5.6,-2.8,PHO,unc,4,3083,802,Player,kendall-marshall-1,north carolina,unc
20.1,19.7,John Henson,431,2012,14,7.6,0.113,0.6,5.6,MIL,unc,8,8500,3286,Player,john-henson-1,north carolina,unc
5.9,14.1,Festus Ezeli,170,2012,30,4.2,0.11900000000000001,-1.1,0.6,GSW,vanderbilt,3,2394,712,Player,festus-ezeli-1,vanderbilt,vanderbilt
0.0,3.0,Royce White,3,2012,16,0.0,-0.121,-10.4,0.0,HOU,iowa state,1,9,0,Bust,royce-white-1,iowa state,iowa
1.7,11.7,Perry Jones,143,2012,28,3.4,0.048,-4.6,-1.1,OKC,baylor,3,1675,488,Player,perry-jones-1,baylor,baylor
1.7,12.4,Arnett Moultrie,59,2012,27,3.6,0.113,-3.0,-0.2,MIA,mississippi state,2,729,210,Bust,arnett-moultrie-1,mississippi state,mississippi
10.6,16.4,Miles Plumlee,346,2012,26,4.9,0.09,-1.6,0.5,IND,duke,7,5658,1697,Player,miles-plumlee-1,duke,duke
21.2,23.1,Maurice Harkless,522,2012,15,7.2,0.085,0.3,7.1,PHI,st. john's,8,12036,3746,Player,maurice-harkless-1,st johns ny,st
0.2,7.2,Jared Cunningham,84,2012,24,2.3,0.017,-5.9,-0.6,CLE,oregon state,4,605,197,Player,jared-cunningham-2,oregon state,cleveland
3.0,12.8,John Jenkins,171,2012,23,5.0,0.065,-3.8,-1.0,ATL,vanderbilt,6,2183,855,Player,john-jenkins-1,vanderbilt,vanderbilt
-1.3,21.2,Tony Wroten,145,2012,25,11.1,-0.021,-4.1,-1.6,MEM,washington,4,3076,1604,Player,tony-wroten-1,washington,washington
15.3,24.3,Jared Sullinger,269,2012,21,10.8,0.113,0.5,4.1,BOS,ohio state,5,6532,2893,Player,jared-sullinger-1,ohio state,ohio
3.8,14.3,Andrew Nicholson,285,2012,19,6.0,0.045,-5.3,-3.4,ORL,st. bonaventure,5,4080,1700,Player,andrew-nicholson-1,st bonaventure,st
14.7,23.8,Terrence Jones,234,2012,18,10.4,0.127,0.1,3.0,HOU,kentucky,6,5562,2431,Player,terrence-jones-1,kentucky,kentucky
17.1,17.6,Tyler Zeller,412,2012,17,7.0,0.113,-1.6,0.8,DAL,unc,7,7250,2871,Player,tyler-zeller-1,north carolina,unc
0.0,6.0,Fab Melo,6,2012,22,1.2,0.021,-5.8,0.0,BOS,syracuse,1,36,7,Bust,fab-melo-1,syracuse,syracuse
0.0,10.5,Pierre Jackson,8,2013,42,4.4,0.021,-4.4,-0.1,PHI,baylor,1,84,35,Bust,pierre-jackson-1,baylor,baylor
0.0,7.3,Jamaal Franklin,24,2013,41,1.8,-0.006,-5.4,-0.1,MEM,san diego state,2,174,42,Bust,jamaal-franklin-1,san diego state,san
-0.1,6.4,Grant Jerrett,8,2013,40,2.0,-0.128,-8.4,-0.1,POR,arizona,1,51,16,Bust,grant-jerrett-1,arizona,arizona
6.8,10.1,Jeff Withey,206,2013,39,3.2,0.157,0.6,1.4,POR,kansas,5,2072,666,Player,jeff-withey-1,kansas,kansas
0.2,3.8,Tony Mitchell,21,2013,37,1.0,0.151,1.3,0.1,DET,university of north texas,1,79,22,Bust,tony-mitchell-1,north carolina at,north
2.1,18.2,Ray McCallum,154,2013,36,6.0,0.035,-2.8,-0.6,SAC,detroit mercy,3,2808,920,Player,ray-mccallum-2,detroit mercy,ball
-0.2,9.5,Glen Rice,16,2013,35,2.7,-0.065,-7.3,-0.2,PHI,georgia tech,2,152,43,Bust,glen-rice-jr-1,georgia tech,michigan
4.3,20.4,Isaiah Canaan,235,2013,34,8.1,0.043,-3.0,-1.3,HOU,murray state,6,4799,1913,Player,isaiah-canaan-1,murray state,murray
0.0,5.4,Carrick Felix,7,2013,33,2.7,0.057,-4.7,0.0,CLE,arizona state,1,38,19,Bust,carrick-felix-1,arizona state,arizona
12.8,15.6,Mike Muscala,342,2013,44,5.6,0.115,-0.1,2.6,DAL,bucknell,7,5332,1920,Player,mike-muscala-1,bucknell,bucknell
0.9,18.8,Nate Wolters,84,2013,38,5.5,0.027999999999999997,-4.0,-0.8,WAS,south dakota state,3,1575,461,Player,nate-wolters-1,south dakota state,south
-0.2,11.5,Lorenzo Brown,103,2013,52,2.8,-0.006999999999999999,-4.1,-0.6,MIN,nc state,5,1185,293,Player,lorenzo-brown-1,north carolina state,nc
3.0,19.2,Ryan Kelly,163,2013,48,6.0,0.046,-2.2,-0.2,LAL,duke,4,3125,981,Player,ryan-kelly-3,duke,eastern
-0.1,2.6,Erik Murphy,24,2013,49,0.3,-0.055,-8.1,-0.1,CHI,florida,1,62,6,Bust,erik-murphy-1,florida,florida
13.6,19.9,James Ennis,325,2013,50,6.4,0.10099999999999999,-0.6,2.3,ATL,cal state long beach,6,6471,2082,Player,james-ennis-1,long beach state,long
0.0,0.0,Romero Osby,0,2013,51,0.0,0.0,0.0,0.0,ORL,oklahoma,0,0,0,Bust,romero-osby-1,oklahoma,oklahoma
0.0,0.0,Colton Iverson,0,2013,53,0.0,0.0,0.0,0.0,IND,colorado state,0,0,0,Bust,colton-iverson-1,colorado state,colorado
0.0,0.0,Arsalan Kazemi,0,2013,54,0.0,0.0,0.0,0.0,WAS,oregon,0,0,0,Bust,arsalan-kazemi-1,oregon,oregon
-0.2,9.3,Peyton Siva,24,2013,56,2.3,-0.032,-7.3,-0.3,DET,louisville,1,224,54,Bust,peyton-siva-1,louisville,louisville
0.0,0.0,Alex Oriakhi,0,2013,57,0.0,0.0,0.0,0.0,PHO,missouri,0,0,0,Bust,alex-oriakhi-1,missouri,missouri
0.0,0.0,Deshaun Thomas,0,2013,58,0.0,0.0,0.0,0.0,SAS,ohio state,0,0,0,Bust,deshaun-thomas-1,ohio state,ohio
13.9,24.1,Allen Crabbe,376,2013,31,9.1,0.07400000000000001,-1.3,1.6,CLE,california,7,9057,3440,Player,allen-crabbe-1,california,california
0.1,8.7,Erick Green,52,2013,46,3.1,0.011000000000000001,-5.1,-0.3,UTA,virginia tech,2,452,159,Bust,erick-green-1,virginia tech,virginia
1.1,14.5,Archie Goodwin,165,2013,29,6.3,0.022000000000000002,-4.2,-1.3,OKC,kentucky,4,2396,1040,Player,archie-goodwin-1,kentucky,kentucky
0.5,12.6,Anthony Bennett,151,2013,1,4.4,0.013000000000000001,-5.6,-1.7,CLE,unlv,4,1905,658,Player,anthony-bennett-1,nevada las vegas,unlv
24.2,33.2,Victor Oladipo,403,2013,2,17.5,0.087,1.1,10.4,ORL,indiana,7,13381,7037,Player,victor-oladipo-1,indiana,indiana
29.6,26.9,Otto Porter,408,2013,3,11.0,0.129,1.9,10.7,WAS,georgetown,7,10973,4484,Player,otto-porter-1,georgetown,georgetown
26.7,22.9,Cody Zeller,406,2013,4,8.6,0.138,0.7,6.2,CHA,indiana,7,9313,3472,Player,cody-zeller-1,indiana,indiana
17.4,19.8,Alex Len,452,2013,5,8.0,0.09300000000000001,-1.5,1.1,PHO,maryland,7,8945,3624,Player,alex-len-1,maryland,maryland
20.7,22.4,Nerlens Noel,341,2013,6,8.2,0.13,2.2,8.1,NOH,kentucky,6,7635,2786,Player,nerlens-noel-1,kentucky,kentucky
26.8,29.4,Kentavious Caldwell-Pope,517,2013,8,11.7,0.085,0.0,7.8,DET,georgia,7,15185,6050,Player,kentavious-caldwell-pope-1,georgia,georgia
11.2,23.0,Trey Burke,384,2013,9,10.6,0.061,-2.2,-0.4,MIN,michigan,7,8841,4069,Player,trey-burke-1,michigan,michigan
30.4,30.6,CJ McCollum,456,2013,10,18.2,0.105,0.2,7.6,POR,lehigh,7,13932,8299,Player,cj-mccollum-1,lehigh,lehigh
6.0,25.5,Michael Carter-Williams,340,2013,11,10.5,0.033,-0.7,2.9,PHI,syracuse,7,8682,3584,Player,michael-carter-williams-1,syracuse,syracuse
43.5,26.8,Steven Adams,511,2013,12,9.8,0.152,2.0,13.8,OKC,pitt,7,13700,4984,Player,steven-adams-1,pittsburgh,pitt
27.2,21.4,Kelly Olynyk,475,2013,13,9.7,0.128,1.4,8.7,DAL,gonzaga,7,10171,4615,Player,kelly-olynyk-1,gonzaga,gonzaga
6.7,23.7,Ben McLemore,416,2013,7,9.0,0.033,-2.6,-1.5,SAC,kansas,7,9853,3724,Player,ben-mclemore-1,kansas,kansas
8.5,17.2,Shabazz Muhammad,278,2013,14,9.0,0.085,-4.1,-2.5,UTA,ucla,5,4772,2504,Player,shabazz-muhammad-1,ucla,ucla
12.7,22.5,Andre Roberson,295,2013,26,4.6,0.092,0.6,4.4,MIN,colorado,5,6651,1356,Player,andre-roberson-1,colorado,colorado
10.1,19.6,Reggie Bullock,287,2013,25,7.0,0.087,-0.8,1.7,LAC,unc,7,5616,2002,Player,reggie-bullock-2,north carolina,morgan
17.6,26.1,Tim Hardaway,448,2013,24,13.2,0.07200000000000001,-1.7,0.9,NYK,michigan,7,11715,5903,Player,tim-hardaway-jr-1,michigan,texas
33.5,21.7,Mason Plumlee,514,2013,22,8.4,0.14400000000000002,2.5,12.5,BRK,duke,7,11170,4306,Player,mason-plumlee-1,duke,duke
10.4,22.2,Solomon Hill,352,2013,23,5.9,0.064,-0.7,2.5,IND,arizona,7,7799,2079,Player,solomon-hill-1,arizona,arizona
15.3,22.2,Tony Snell,485,2013,20,6.4,0.068,-1.8,0.6,CHI,new mexico,7,10776,3106,Player,tony-snell-1,new mexico,new
4.4,19.1,Shane Larkin,256,2013,18,5.5,0.044000000000000004,-2.5,-0.6,ATL,miami (fl),4,4880,1399,Player,shane-larkin-1,miami fl,miami
26.6,22.2,Gorgui Dieng,495,2013,21,7.9,0.11599999999999999,1.6,10.0,UTA,louisville,7,10996,3919,Player,gorgui-dieng-1,louisville,louisville
1.1,15.9,Markel Brown,113,2014,44,5.2,0.028999999999999998,-2.8,-0.4,MIN,oklahoma state,3,1794,584,Player,markel-brown-1,oklahoma state,oklahoma
6.6,17.4,Glenn Robinson,265,2014,40,5.8,0.069,-2.4,-0.4,MIN,michigan,6,4603,1531,Player,glenn-robinson-2,michigan,purdue
-0.1,9.4,Nick Johnson,28,2014,42,2.6,-0.02,-7.3,-0.3,HOU,arizona,1,262,74,Bust,nick-johnson-1,arizona,arizona
21.3,24.3,Jerami Grant,432,2014,39,9.1,0.09699999999999999,-1.0,2.6,PHI,syracuse,6,10485,3915,Player,jerami-grant-1,syracuse,syracuse
12.9,23.9,Joe Harris,308,2014,33,10.0,0.084,-0.5,2.7,CLE,virginia,6,7366,3074,Player,joe-harris--1,virginia,central
0.0,0.0,DeAndre Daniels,0,2014,37,0.0,0.0,0.0,0.0,TOR,uconn,0,0,0,Bust,deandre-daniels-1,connecticut,uconn
0.2,11.5,Johnny O'Bryant,147,2014,36,3.5,0.006,-6.4,-1.9,MIL,lsu,4,1684,509,Player,johnny-obryant-1,louisiana state,lsu
0.6,5.4,Jarnell Stokes,28,2014,35,2.4,0.20199999999999999,1.0,0.1,UTA,tennessee,3,151,67,Player,jarnell-stokes-1,tennessee,tennessee
-0.6,14.3,Cleanthony Early,56,2014,34,4.3,-0.039,-5.7,-0.8,NYK,wichita state,2,801,241,Bust,cleanthony-early-1,wichita state,wichita
26.1,18.7,Dwight Powell,371,2014,45,7.7,0.18,2.2,7.4,CHH,stanford,6,6956,2867,Player,dwight-powell-1,stanford,stanford
17.0,25.4,Spencer Dinwiddie,300,2014,38,12.6,0.107,-0.5,3.0,DET,colorado,6,7631,3789,Player,spencer-dinwiddie-1,colorado,colorado
0.9,10.0,Cory Jefferson,58,2014,60,3.5,0.071,-4.6,-0.4,SAS,baylor,2,581,205,Bust,cory-jefferson-1,baylor,baylor
0.0,0.0,Xavier Thames,0,2014,59,0.0,0.0,0.0,0.0,TOR,san diego state,0,0,0,Bust,xavier-thames-1,san diego state,san
-0.2,4.9,Russ Smith,27,2014,47,2.0,-0.068,-6.4,-0.1,PHI,louisville,2,131,53,Bust,russ-smith-1,louisville,louisville
0.1,10.9,Lamar Patterson,40,2014,48,2.3,0.006,-5.5,-0.4,MIL,pitt,2,435,93,Bust,lamar-patterson-1,pittsburgh,pitt
-0.1,4.6,Cameron Bairstow,36,2014,49,1.2,-0.021,-7.7,-0.2,CHI,new mexico,2,167,44,Bust,cameron-bairstow-1,new mexico,new
0.0,0.0,Alec Brown,0,2014,50,0.0,0.0,0.0,0.0,PHO,green bay,0,0,0,Bust,alec-brown-1,green bay,green
0.1,15.2,Semaj Christon,64,2014,55,2.9,0.006,-6.3,-1.1,MIA,xavier,1,973,183,Bust,semaj-christon-1,xavier,xavier
-0.3,10.4,Devyn Marble,44,2014,56,2.2,-0.027999999999999997,-5.0,-0.3,DEN,iowa,2,457,97,Bust,roy-devyn-marble-1,iowa,iowa
1.6,13.6,Jordan McRae,115,2014,58,6.9,0.049,-4.0,-0.8,SAS,tennessee,4,1566,790,Player,jordan-mcrae-1,tennessee,tennessee
1.3,14.1,K.J. McDaniels,148,2014,32,5.3,0.03,-3.3,-0.7,PHI,clemson,3,2092,782,Player,kj-mcdaniels-1,clemson,clemson
13.1,27.2,Jordan Clarkson,429,2014,46,14.7,0.054000000000000006,-1.6,1.1,WAS,missouri,6,11652,6316,Player,jordan-clarkson-1,missouri,missouri
-0.6,13.1,Adreian Payne,107,2014,15,4.0,-0.019,-5.5,-1.2,ATL,michigan state,4,1403,429,Player,adreian-payne-1,michigan state,michigan
0.7,14.1,Josh Huestis,76,2014,29,2.5,0.03,-3.8,-0.5,OKC,stanford,3,1068,187,Player,josh-huestis-1,stanford,stanford
16.6,19.3,Kyle Anderson,343,2014,30,5.3,0.121,1.9,6.5,SAS,ucla,6,6624,1820,Player,kyle-anderson-3,ucla,ucla
14.9,35.9,Andrew Wiggins,439,2014,1,19.7,0.045,-2.3,-1.4,CLE,kansas,6,15741,8662,Player,andrew-wiggins-1,kansas,kansas
12.9,29.3,Jabari Parker,279,2014,2,15.1,0.076,-1.4,1.2,MIL,duke,6,8178,4204,Player,jabari-parker-1,duke,duke
21.2,30.8,Joel Embiid,191,2014,3,24.1,0.17300000000000001,3.4,8.1,PHI,kansas,4,5876,4603,Player,joel-embiid-1,kansas,kansas
19.7,28.3,Aaron Gordon,383,2014,4,12.5,0.08800000000000001,0.1,5.6,ORL,arizona,6,10831,4806,Player,aaron-gordon-1,arizona,arizona
19.2,28.7,Marcus Smart,379,2014,6,9.6,0.085,0.7,7.5,BOS,oklahoma state,6,10882,3642,Player,marcus-smart-1,oklahoma state,oklahoma
3.8,19.9,Nik Stauskas,335,2014,8,6.8,0.027999999999999997,-3.2,-2.1,SAC,michigan,5,6662,2272,Player,nik-stauskas-1,michigan,michigan
9.3,17.2,Noah Vonleh,328,2014,9,5.0,0.079,-2.5,-0.7,CHH,indiana,6,5642,1647,Player,noah-vonleh-1,indiana,indiana
14.0,29.3,Elfrid Payton,373,2014,10,10.9,0.061,-0.4,4.5,PHI,la-lafayette,6,10929,4075,Player,elfrid-payton-1,louisiana lafayette,la-lafayette
13.0,20.1,Doug McDermott,389,2014,11,8.1,0.08,-2.8,-1.5,DEN,creighton,6,7807,3160,Player,doug-mcdermott-1,creighton,creighton
11.8,30.6,Zach LaVine,344,2014,13,17.4,0.054000000000000006,-1.1,2.5,MIN,ucla,6,10530,5989,Player,zach-lavine-1,ucla,ucla
19.3,29.0,Julius Randle,358,2014,7,15.9,0.08900000000000001,-0.4,4.1,LAL,kentucky,6,10373,5676,Player,julius-randle-1,kentucky,kentucky
17.1,28.4,T.J. Warren,309,2014,14,15.0,0.09300000000000001,-1.1,2.1,PHO,nc state,6,8787,4636,Player,tj-warren-1,north carolina state,nc
0.9,18.0,P.J. Hairston,111,2014,26,6.0,0.021,-3.9,-1.0,MIA,unc,2,2000,664,Bust,pj-hairston-1,north carolina,unc
7.7,16.8,Shabazz Napier,323,2014,24,6.7,0.068,-1.5,0.7,CHH,uconn,6,5435,2174,Player,shabazz-napier-1,connecticut,uconn
17.2,27.3,Rodney Hood,341,2014,23,12.5,0.08800000000000001,-1.0,2.4,UTA,duke,6,9326,4247,Player,rodney-hood-1,duke,duke
0.1,5.7,C.J. Wilcox,66,2014,28,2.0,0.006999999999999999,-5.2,-0.3,LAC,washington,3,376,132,Player,cj-wilcox-1,washington,washington
1.3,10.7,Mitch McGary,52,2014,21,4.4,0.10800000000000001,-3.1,-0.2,OKC,michigan,2,557,227,Bust,mitch-mcgary-1,michigan,michigan
17.8,28.9,Gary Harris,352,2014,19,12.2,0.084,-0.2,4.7,CHI,michigan state,6,10171,4307,Player,gary-harris-1,michigan state,michigan
1.3,12.6,Tyler Ennis,186,2014,18,4.2,0.026000000000000002,-4.6,-1.5,PHO,syracuse,4,2336,779,Player,tyler-ennis-1,syracuse,syracuse
0.8,8.5,James Young,95,2014,17,2.3,0.046,-4.0,-0.4,BOS,kentucky,4,812,219,Player,james-young-1,kentucky,kentucky
0.4,8.2,Jordan Adams,32,2014,22,3.2,0.07,-0.5,0.1,MEM,ucla,2,263,101,Bust,jordan-adams-1,ucla,ucla
0.0,0.0,Marcus Thornton,0,2015,45,0.0,0.0,0.0,0.0,BOS,college of william & mary,0,0,0,Bust,marcus-thornton-3,william mary,lsu
3.2,20.6,Andrew Harrison,145,2015,44,7.0,0.051,-2.7,-0.5,PHO,kentucky,3,2987,1012,Player,andrew-harrison-1,kentucky,kentucky
0.4,8.5,Joe Young,127,2015,43,3.4,0.016,-5.3,-0.9,IND,oregon,3,1077,429,Player,joseph-young-1,oregon,canisius
0.0,0.0,Olivier Hanlan,0,2015,42,0.0,0.0,0.0,0.0,UTA,boston college,0,0,0,Bust,olivier-hanlan-1,boston college,boston
8.6,15.3,Pat Connaughton,260,2015,41,4.7,0.10400000000000001,-0.4,1.6,BRK,notre dame,5,3989,1209,Player,pat-connaughton-1,notre dame,notre
17.7,30.8,Josh Richardson,297,2015,40,12.5,0.09300000000000001,0.5,5.8,MIA,tennessee,5,9147,3703,Player,josh-richardson-2,tennessee,north
0.5,7.5,Rakeem Christmas,30,2015,36,2.1,0.105,-4.0,-0.1,MIN,syracuse,2,225,63,Bust,rakeem-christmas-1,syracuse,syracuse
0.3,9.4,Darrun Hilliard,91,2015,38,3.2,0.016,-5.1,-0.7,DET,villanova,3,859,295,Player,darrun-hilliard-1,villanova,villanova
17.0,18.7,Richaun Holmes,263,2015,37,8.4,0.166,1.6,4.5,PHI,bowling green,5,4912,2213,Player,richaun-holmes-1,bowling green state,bowling
-0.2,18.6,Anthony Brown,41,2015,34,3.9,-0.016,-4.8,-0.5,LAL,stanford,3,762,161,Player,anthony-brown-5,stanford,oklahoma
0.5,7.5,Jordan Mickey,64,2015,33,2.4,0.05,-4.8,-0.3,BOS,lsu,3,482,152,Player,jordan-mickey-1,louisiana state,lsu
10.7,18.3,Norman Powell,293,2015,46,8.2,0.096,-0.8,1.6,MIL,ucla,5,5353,2391,Player,norman-powell-1,ucla,ucla
0.6,5.2,Dakari Johnson,31,2015,48,1.8,0.17800000000000002,0.3,0.1,OKC,kentucky,1,161,55,Bust,dakari-johnson-1,kentucky,kentucky
0.0,0.0,Aaron White,0,2015,49,0.0,0.0,0.0,0.0,WAS,iowa,0,0,0,Bust,aaron-white-3,iowa,texas
0.0,0.0,Tyler Harvey,0,2015,51,0.0,0.0,0.0,0.0,ORL,eastern washington,0,0,0,Bust,tyler-harvey-1,eastern washington,eastern
0.0,0.0,Sir'Dominic Pointer,0,2015,53,0.0,0.0,0.0,0.0,CLE,st. john's,0,0,0,Bust,sirdominic-pointer-1,st johns ny,st
0.0,0.0,Cady Lalanne,0,2015,55,0.0,0.0,0.0,0.0,SAS,umass,0,0,0,Bust,cady-lalanne-1,massachusetts,umass
0.0,4.8,Branden Dawson,6,2015,56,0.8,0.069,-6.6,0.0,NOP,michigan state,1,29,5,Bust,branden-dawson-1,michigan state,michigan
0.0,0.0,J.P. Tokoto,0,2015,58,0.0,0.0,0.0,0.0,PHI,unc,0,0,0,Bust,jp-tokoto-1,north carolina,unc
24.2,20.7,Montrezl Harrell,302,2015,32,12.5,0.18600000000000003,2.5,7.0,HOU,louisville,5,6244,3772,Player,montrezl-harrell-1,louisville,louisville
