win shares,mins played (per game),player,games,year,rank,points(per game),ws/48,box +/-,value overall replacement player,team,college,years,mins played (total),points (total),class,player_id,college_id,word
-1.1,22.9,Jonny Flynn,163,2009,6,9.2,-0.015,-4.9,-2.7,MIN,syracuse,3,3738,1504,Player,jonny-flynn-1,syracuse,syracuse
103.1,34.3,Stephen Curry,698,2009,7,23.5,0.20600000000000002,6.5,51.2,GSW,davidson,11,23971,16396,Player,stephen-curry-1,davidson,davidson
16.4,18.8,Jordan Hill,409,2009,8,7.9,0.102,-2.0,0.0,NYK,arizona,8,7692,3232,Player,jordan-hill-1,arizona,arizona
65.6,34.2,DeMar DeRozan,799,2009,9,20.0,0.115,-0.3,11.5,TOR,usc,11,27291,16014,Player,demar-derozan-1,southern california,usc
-0.2,19.1,Terrence Williams,153,2009,11,7.1,-0.004,-3.8,-1.4,NJN,louisville,4,2922,1085,Player,terrence-williams-1,louisville,louisville
18.3,25.9,Gerald Henderson,535,2009,12,11.2,0.063,-2.2,-0.9,CHA,duke,8,13854,5987,Player,gerald-henderson-2,duke,virginia
20.2,16.9,Tyler Hansbrough,428,2009,13,6.7,0.134,-2.5,-1.0,IND,unc,7,7233,2881,Player,tyler-hansbrough-1,north carolina,unc
2.9,13.9,Earl Clark,261,2009,14,4.4,0.038,-3.6,-1.5,PHO,louisville,6,3630,1138,Player,earl-clark-1,louisville,louisville
4.5,14.1,Austin Daye,293,2009,15,5.2,0.053,-2.6,-0.6,DET,gonzaga,6,4132,1522,Player,austin-daye-1,gonzaga,gonzaga
75.3,34.8,Blake Griffin,622,2009,1,21.7,0.16699999999999998,3.8,32.0,LAC,oklahoma,10,21671,13479,Player,blake-griffin-1,oklahoma,oklahoma
41.5,33.2,Jrue Holiday,692,2009,17,15.8,0.087,1.3,19.2,PHI,ucla,11,22997,10946,Player,jrue-holiday-1,ucla,ucla
17.7,21.0,Wayne Ellington,669,2009,28,8.0,0.06,-2.1,-0.3,MIN,unc,11,14058,5373,Player,wayne-ellington-1,north carolina,unc
29.2,23.8,DeMarre Carroll,569,2009,27,9.0,0.10400000000000001,0.6,8.9,MEM,missouri,11,13520,5096,Player,demarre-carroll-1,missouri,missouri
51.4,25.3,Taj Gibson,783,2009,26,9.6,0.124,0.1,10.3,CHI,usc,11,19828,7486,Player,taj-gibson-1,southern california,usc
23.9,20.6,James Johnson,619,2009,16,7.9,0.09,1.0,9.7,CHI,wake forest,11,12728,4883,Player,james-johnson-2,wake forest,quinnipiac
0.6,18.2,Byron Mullens,189,2009,24,7.4,0.008,-4.6,-2.3,DAL,ohio state,5,3446,1398,Player,bj-mullens-1,ohio state,ohio
49.9,29.4,Darren Collison,708,2009,21,12.5,0.115,0.1,11.1,NOH,ucla,10,20796,8857,Player,darren-collison-1,ucla,ucla
3.3,14.6,Eric Maynor,267,2009,20,4.3,0.040999999999999995,-4.7,-2.7,UTA,virginia commonwealth,5,3896,1141,Player,eric-maynor-1,virginia commonwealth,virginia
50.5,27.7,Jeff Teague,753,2009,19,12.7,0.11599999999999999,-0.1,9.7,ATL,wake forest,11,20836,9539,Player,jeff-teague-1,wake forest,wake
42.1,29.2,Ty Lawson,551,2009,18,12.7,0.126,0.7,10.9,MIN,unc,8,16088,6977,Player,ty-lawson-1,north carolina,unc
1.7,7.6,Jerome Jordan,65,2010,44,2.8,0.168,0.0,0.2,MIL,tulsa,2,491,180,Bust,jerome-jordan-1,tulsa,tulsa
0.5,11.3,Devin Ebanks,63,2010,43,3.6,0.035,-4.7,-0.5,LAL,west virginia,3,711,224,Player,devin-ebanks-1,west virginia,west
0.0,0.0,Da'Sean Butler,0,2010,42,0.0,0.0,0.0,0.0,MIA,west virginia,0,0,0,Bust,dasean-butler-1,west virginia,west
0.7,10.7,Jarvis Varnado,37,2010,41,2.9,0.08900000000000001,-1.9,0.0,MIA,mississippi state,2,397,107,Bust,jarvis-varnado-1,mississippi state,mississippi
16.7,23.4,Lance Stephenson,508,2010,40,8.6,0.068,-0.8,3.6,IND,cincinnati,9,11866,4354,Player,lance-stephenson-1,cincinnati,cincinnati
42.9,26.6,Hassan Whiteside,388,2010,33,13.7,0.2,0.8,7.4,SAC,marshall,8,10309,5300,Player,hassan-whiteside-1,marshall,marshall
-0.2,4.8,Andy Rautins,5,2010,38,1.6,-0.314,-16.0,-0.1,NYK,syracuse,1,24,8,Bust,andy-rautins-1,syracuse,syracuse
-0.2,7.8,Darington Hobson,5,2010,37,0.8,-0.225,-14.1,-0.1,MIL,new mexico,1,39,4,Bust,darington-hobson-1,new mexico,new
0.0,0.0,Terrico White,0,2010,36,0.0,0.0,0.0,0.0,DET,ole miss,0,0,0,Bust,terrico-white-1,mississippi,ole
-0.1,8.5,Armon Johnson,47,2010,34,3.3,-0.015,-6.2,-0.4,POR,nevada,2,401,157,Bust,armon-johnson-1,nevada,nevada
10.5,23.6,Landry Fields,255,2010,39,6.8,0.084,-0.1,2.8,NYK,stanford,5,6010,1731,Player,landry-fields-1,stanford,stanford
0.0,2.0,Gani Lawal,1,2010,46,0.0,-0.009000000000000001,-4.9,0.0,PHO,georgia tech,1,2,0,Bust,gani-lawal-1,georgia tech,georgia
0.0,7.0,Solomon Alabi,26,2010,50,1.5,0.01,-5.4,-0.2,DAL,florida state,2,181,39,Bust,solomon-alabi-1,florida state,florida
0.0,0.0,Magnum Rolle,0,2010,51,0.0,0.0,0.0,0.0,OKC,louisiana tech,0,0,0,Bust,magnum-rolle-1,louisiana tech,louisiana
0.9,12.4,Luke Harangody,70,2010,52,3.6,0.048,-3.3,-0.3,BOS,notre dame,2,871,253,Bust,luke-harangody-1,notre dame,notre
0.2,7.1,Willie Warren,19,2010,54,1.9,0.065,-4.5,-0.1,LAC,oklahoma,1,134,37,Bust,willie-warren-1,oklahoma,oklahoma
8.2,10.5,Jeremy Evans,250,2010,55,3.5,0.15,1.0,2.0,UTA,western kentucky,7,2626,879,Player,jeremy-evans-1,western kentucky,western
0.0,4.8,Hamady N'Diaye,33,2010,56,0.6,0.013000000000000001,-4.9,-0.1,MIN,rutgers university,3,157,20,Player,hamady-ndiaye-1,rutgers,rutgers
0.1,3.4,Ryan Reid,5,2010,57,1.6,0.142,-5.5,0.0,IND,florida state,1,17,8,Bust,ryan-reid-1,florida state,florida
0.3,5.2,Derrick Caracter,41,2010,58,2.0,0.057,-4.9,-0.2,LAL,texas-el paso,1,215,81,Bust,derrick-caracter-1,texas el paso,texas
0.0,0.0,Stanley Robinson,0,2010,59,0.0,0.0,0.0,0.0,ORL,uconn,0,0,0,Bust,stanley-robinson-1,connecticut,uconn
0.0,0.0,Dwayne Collins,0,2010,60,0.0,0.0,0.0,0.0,PHO,miami (fl),0,0,0,Bust,dwayne-collins-1,miami fl,miami
0.5,6.9,Dexter Pittman,50,2010,32,2.3,0.068,-6.0,-0.4,MIA,texas,4,347,116,Player,dexter-pittman-1,texas,texas
